name,card_id,rare,stock
溶岩魔神ラヴァ・ゴーレム,RC04-JP001,nomal,0
ローンファイア・ブロッサム,RC04-JP002,nomal,0
エフェクト・ヴェーラー,RC04-JP003,nomal,0
Ｖ・ＨＥＲＯ ファリス,RC04-JP004,nomal,0
増殖するＧ,RC04-JP005,Ultra,0
魔界発現世行きデスガイド,RC04-JP006,nomal,0
アーティファクト－ロンギヌス,RC04-JP007,nomal,0
ラーの翼神竜－球体形,RC04-JP008,Ultra,0
灰流うらら,RC04-JP009,Ultra,0
灰流うらら,RC04-JP009,Holographic,0
妖精伝姫－カグヤ,RC04-JP010,Ultra,0
インスペクト・ボーダー,RC04-JP011,Ultra,0
屋敷わらし,RC04-JP012,nomal,0
ＢＦ－毒風のシムーン,RC04-JP013,nomal,0
未界域のジャッカロープ,RC04-JP014,nomal,0
ディメンション・アトラクター,RC04-JP015,Ultra,0
原始生命態ニビル,RC04-JP016,Ultra,0
原始生命態ニビル,RC04-JP016,Holographic,0
深淵の青眼龍,RC04-JP017,nomal,0
銀河眼の残光竜,RC04-JP018,nomal,0
風霊媒師ウィン,RC04-JP019,nomal,0
黄金卿エルドリッチ,RC04-JP020,Ultra,0
教導の聖女エクレシア,RC04-JP021,nomal,0
アルバスの落胤,RC04-JP022,nomal,0
獣王アルファ,RC04-JP023,nomal,0
妖眼の相剣師,RC04-JP024,nomal,0
サイバー・エンジェル－弁天－,RC04-JP025,nomal,0
Ｍ・ＨＥＲＯ ダーク・ロウ,RC04-JP026,nomal,0
旧神ヌトス,RC04-JP027,Ultra,0
捕食植物ドラゴスタペリア,RC04-JP028,nomal,0
沼地のドロゴン,RC04-JP029,nomal,0
神・スライム,RC04-JP030,nomal,0
エンシェント・フェアリー・ドラゴン,RC04-JP031,Ultra,0
虹光の宣告者,RC04-JP032,nomal,0
ジャンク・スピーダー,RC04-JP033,nomal,0
ヴァレルロード・Ｓ・ドラゴン,RC04-JP034,nomal,0
フルール・ド・バロネス,RC04-JP035,Ultra,0
ダウナード・マジシャン,RC04-JP036,Ultra,0
ゴーストリックの駄天使,RC04-JP037,nomal,0
ギャラクシーアイズ ＦＡ・フォトン・ドラゴン,RC04-JP038,nomal,0
真紅眼の鋼炎竜,RC04-JP039,nomal,0
Ｎｏ.１００ ヌメロン・ドラゴン,RC04-JP040,nomal,0
宵星の機神ディンギルス,RC04-JP041,nomal,0
クロノダイバー・リダン,RC04-JP042,nomal,0
彼岸の黒天使 ケルビーニ,RC04-JP043,Ultra,0
トロイメア・ユニコーン,RC04-JP044,Ultra,0
双穹の騎士アストラム,RC04-JP045,nomal,0
コード・トーカー・インヴァート,RC04-JP046,nomal,0
ストライカー・ドラゴン,RC04-JP047,nomal,0
神聖魔皇后セレーネ,RC04-JP048,nomal,0
デコード・トーカー・ヒートソウル,RC04-JP049,nomal,0
聖魔の乙女アルテミス,RC04-JP050,nomal,0
心変わり,RC04-JP051,Ultra,0
増援,RC04-JP052,nomal,0
名推理,RC04-JP053,nomal,0
化石調査,RC04-JP054,nomal,0
魔導書の神判,RC04-JP055,nomal,0
儀式の下準備,RC04-JP056,Ultra,0
強欲で貪欲な壺,RC04-JP057,nomal,0
墓穴の指名者,RC04-JP058,Ultra,0
円融魔術,RC04-JP059,nomal,0
強欲で金満な壺,RC04-JP060,nomal,0
冥王結界波,RC04-JP061,nomal,0
ライトニング・ストーム,RC04-JP062,Ultra,0
天底の使徒,RC04-JP063,nomal,0
三戦の才,RC04-JP064,Ultra,0
禁じられた一滴,RC04-JP065,Ultra,0
混沌領域,RC04-JP066,Ultra,0
金満で謙虚な壺,RC04-JP067,Ultra,0
スモール・ワールド,RC04-JP068,Ultra,0
マジシャンズ・サルベーション,RC04-JP069,nomal,0
強制脱出装置,RC04-JP070,nomal,0
サモンリミッター,RC04-JP071,nomal,0
氷結界,RC04-JP072,nomal,0
次元障壁,RC04-JP073,nomal,0
ハーピィの羽根吹雪,RC04-JP074,nomal,0
拮抗勝負,RC04-JP075,nomal,0
無限泡影,RC04-JP076,Ultra,0
ドラグマ・パニッシュメント,RC04-JP077,Ultra,0
影依の偽典,RC04-JP078,nomal,0
天龍雪獄,RC04-JP079,nomal,0
鉄獣の抗戦,RC04-JP080,nomal,0
