name,card_id,rare,stock
魔法剣士トランス,REDU-JP001,Rare,0
ダメージ・メイジ,REDU-JP002,nomal,0
ＺＷ－不死鳥弩弓,REDU-JP003,Rare,0
フォトン・カイザー,REDU-JP004,nomal,0
Ｈ・Ｃ スパルタス,REDU-JP005,nomal,0
Ｈ・Ｃ ウォー・ハンマー,REDU-JP006,nomal,0
Ｈ・Ｃ ソード・シールド,REDU-JP007,nomal,0
Ｈ・Ｃ ダブル・ランス,REDU-JP008,Rare,0
先史遺産マヤン・マシーン,REDU-JP009,nomal,0
先史遺産コロッサル・ヘッド,REDU-JP010,nomal,0
先史遺産ゴールデン・シャトル,REDU-JP011,nomal,0
先史遺産クリスタル・ボーン,REDU-JP012,Rare,0
先史遺産クリスタル・スカル,REDU-JP013,nomal,0
先史遺産モアイ,REDU-JP014,nomal,0
魔導書士 バテル,REDU-JP015,Super,0
魔導弓士 ラムール,REDU-JP016,nomal,0
魔導召喚士 テンペル,REDU-JP017,Rare,0
魔導戦士 フォルス,REDU-JP018,nomal,0
魔導剣士 シャリオ,REDU-JP019,nomal,0
魔導法士 ジュノン,REDU-JP020,Super,0
マドルチェ・ミィルフィーヤ,REDU-JP021,nomal,0
マドルチェ・メェプル,REDU-JP022,nomal,0
マドルチェ・シューバリエ,REDU-JP023,nomal,0
マドルチェ・マジョレーヌ,REDU-JP024,Rare,0
マドルチェ・バトラスク,REDU-JP025,nomal,0
マドルチェ・プディンセス,REDU-JP026,Super,0
ギアギアーノ Ｍｋ－ＩＩ,REDU-JP027,nomal,0
ギアギアクセル,REDU-JP028,nomal,0
ギアギアーセナル,REDU-JP029,nomal,0
ギアギアーマー,REDU-JP030,Rare,0
森の聖獣 ユニフォリア,REDU-JP031,nomal,0
リトルトルーパー,REDU-JP032,nomal,0
白銀のスナイパー,REDU-JP033,nomal,0
砂塵の騎士,REDU-JP034,Rare,0
ブロック・ゴーレム,REDU-JP035,nomal,0
海皇の突撃兵,REDU-JP036,nomal,0
イリュージョン・スナッチ,REDU-JP037,Rare,0
地霊神グランソイル,REDU-JP038,Super,0
針三千本,REDU-JP039,N-Rare,0
ゴブリン切り込み部隊,REDU-JP040,N-Rare,0
Ｈ－Ｃ エクスカリバー,REDU-JP041,Ultra,0
Ｈ－Ｃ エクスカリバー,REDU-JP041,Ultimate,0
Ｈ－Ｃ エクスカリバー,REDU-JP041,Holographic,0
先史遺産クリスタル・エイリアン,REDU-JP042,Ultra,0
先史遺産クリスタル・エイリアン,REDU-JP042,Ultimate,0
Ｎｏ.３３ 先史遺産－超兵器マシュ＝マック,REDU-JP043,Ultra,0
Ｎｏ.３３ 先史遺産－超兵器マシュ＝マック,REDU-JP043,Ultimate,0
超次元ロボ ギャラクシー・デストロイヤー,REDU-JP044,Ultra,0
超次元ロボ ギャラクシー・デストロイヤー,REDU-JP044,Ultimate,0
魔導法皇 ハイロン,REDU-JP045,Ultra,0
魔導法皇 ハイロン,REDU-JP045,Ultimate,0
ギアギガント Ｘ,REDU-JP046,Super,0
アルケミック・マジシャン,REDU-JP047,Super,0
銀嶺の巨神,REDU-JP048,Super,0
妖精王 アルヴェルド,REDU-JP049,Rare,0
ソードブレイカー,REDU-JP050,Rare,0
ガガガリベンジ,REDU-JP051,Super,0
オーバーレイ・リジェネレート,REDU-JP052,Rare,0
ヒロイック・チャンス,REDU-JP053,nomal,0
先史遺産技術,REDU-JP054,nomal,0
先史遺産－ピラミッド・アイ・タブレット,REDU-JP055,nomal,0
ギャラクシー・クィーンズ・ライト,REDU-JP056,Rare,0
グリモの魔導書,REDU-JP057,Rare,0
ヒュグロの魔導書,REDU-JP058,nomal,0
ネクロの魔導書,REDU-JP059,nomal,0
トーラの魔導書,REDU-JP060,nomal,0
マドルチェ・シャトー,REDU-JP061,nomal,0
ワンチャン！？,REDU-JP062,nomal,0
ジェネレーション・フォース,REDU-JP063,Rare,0
岩投げエリア,REDU-JP064,nomal,0
大寒気,REDU-JP065,N-Rare,0
攻撃の無敵化,REDU-JP066,nomal,0
ガガガラッシュ,REDU-JP067,Rare,0
ヒロイック・リベンジ・ソード,REDU-JP068,nomal,0
ストーンヘンジ・メソッド,REDU-JP069,nomal,0
マドルチェ・マナー,REDU-JP070,nomal,0
マドルチェ・ワルツ,REDU-JP071,nomal,0
マドルチェ・ティーブレイク,REDU-JP072,nomal,0
エクシーズ・ソウル,REDU-JP073,nomal,0
強制退出装置,REDU-JP074,Rare,0
手のひら返し,REDU-JP075,nomal,0
煉獄の落とし穴,REDU-JP076,Super,0
スリーカード,REDU-JP077,nomal,0
ソウルドレイン,REDU-JP078,Rare,0
リ・バウンド,REDU-JP079,nomal,0
ラッキーパンチ,REDU-JP080,N-Rare,0
