name,card_id,rare,stock
人造木人１８,RDS-JP001,nomal,0
マイティガード,RDS-JP002,nomal,0
魔貨物車両 ボコイチ,RDS-JP003,nomal,0
ハーピィ・ガール,RDS-JP004,nomal,0
創世神,RDS-JP005,Ultra,0
創世神,RDS-JP005,Ultimate,0
創世者の化身,RDS-JP006,nomal,0
アルティメット・インセクト ＬＶ３,RDS-JP007,Rare,0
ミスティック・ソードマン ＬＶ６,RDS-JP008,Ultra,0
ミスティック・ソードマン ＬＶ６,RDS-JP008,Ultimate,0
サイレント・ソードマン ＬＶ３,RDS-JP009,Ultra,0
サイレント・ソードマン ＬＶ３,RDS-JP009,Ultimate,0
ペンギン・ナイトメア,RDS-JP010,nomal,0
強化支援メカ・ヘビーウェポン,RDS-JP011,nomal,0
パーフェクト機械王,RDS-JP012,Ultra,0
パーフェクト機械王,RDS-JP012,Ultimate,0
エレメント・マジシャン,RDS-JP013,nomal,0
エレメント・ザウルス,RDS-JP014,nomal,0
霞の谷の大怪鳥,RDS-JP015,nomal,0
一撃必殺侍,RDS-JP016,Rare,0
ハーピィ・レディ１,RDS-JP017,nomal,0
ハーピィ・レディ２,RDS-JP018,nomal,0
ハーピィ・レディ３,RDS-JP019,nomal,0
逆巻く炎の精霊,RDS-JP020,nomal,0
炎帝テスタロス,RDS-JP021,Super,0
炎帝テスタロス,RDS-JP021,Ultimate,0
イーグル・アイ,RDS-JP022,nomal,0
華麗なる潜入工作員,RDS-JP023,nomal,0
侵略の炎,RDS-JP024,nomal,0
忍び寄るデビルマンタ,RDS-JP025,nomal,0
漆黒の戦士 ワーウルフ,RDS-JP026,nomal,0
ミラージュ・ドラゴン,RDS-JP027,nomal,0
爆炎集合体 ガイヤ・ソウル,RDS-JP028,Rare,0
きつね火,RDS-JP029,nomal,0
巨大戦艦 ビッグ・コア,RDS-JP030,Super,0
巨大戦艦 ビッグ・コア,RDS-JP030,Ultimate,0
可変機獣 ガンナードラゴン,RDS-JP031,Rare,0
魔装機関車 デコイチ,RDS-JP032,Rare,0
トラップ処理班 Ａチーム,RDS-JP033,Rare,0
錬金生物 ホムンクルス,RDS-JP034,nomal,0
闇魔界の竜騎士 ダークソード,RDS-JP035,Rare,0
キング・もけもけ,RDS-JP036,nomal,0
連続魔法,RDS-JP037,Rare,0
ハーピィの狩場,RDS-JP038,nomal,0
トライアングル・Ｘ・スパーク,RDS-JP039,Super,0
トライアングル・Ｘ・スパーク,RDS-JP039,Ultimate,0
与奪の首飾り,RDS-JP040,Rare,0
機械複製術,RDS-JP041,Rare,0
フリント,RDS-JP042,Rare,0
怒れるもけもけ,RDS-JP043,nomal,0
振り出し,RDS-JP044,nomal,0
死者転生,RDS-JP045,Super,0
死者転生,RDS-JP045,Ultimate,0
城壁壊しの大槍,RDS-JP046,nomal,0
軽量化,RDS-JP047,nomal,0
邪気退散,RDS-JP048,nomal,0
断頭台の惨劇,RDS-JP049,Super,0
断頭台の惨劇,RDS-JP049,Ultimate,0
天罰,RDS-JP050,Super,0
天罰,RDS-JP050,Ultimate,0
心鎮壷,RDS-JP051,nomal,0
レアメタル化・魔法反射装甲,RDS-JP052,Rare,0
コザッキーの研究成果,RDS-JP053,nomal,0
マインド・ハック,RDS-JP054,nomal,0
風林火山,RDS-JP055,nomal,0
連鎖炸薬,RDS-JP056,Rare,0
ピケルの魔法陣,RDS-JP057,Super,0
ピケルの魔法陣,RDS-JP057,Ultimate,0
魔力浄化,RDS-JP058,nomal,0
アストラルバリア,RDS-JP059,nomal,0
援護射撃,RDS-JP060,Rare,0
