name,card_id,rare,stock
キャシー・イヴＬ２,SAST-JP001,nomal,0
サイバース・シンクロン,SAST-JP002,Rare,0
転生炎獣ウルヴィー,SAST-JP003,nomal,0
転生炎獣パロー,SAST-JP004,nomal,0
転生炎獣フォクサー,SAST-JP005,nomal,0
スピードローダー・ドラゴン,SAST-JP006,nomal,0
ヴァレット・シンクロン,SAST-JP007,Rare,0
ネオスペース・コネクター,SAST-JP008,nomal,0
ＴＧ スクリュー・サーペント,SAST-JP009,Rare,0
ＴＧ ブースター・ラプトル,SAST-JP010,nomal,0
ＴＧ タンク・ラーヴァ,SAST-JP011,nomal,0
守護竜ユスティア,SAST-JP012,nomal,0
守護竜ガルミデス,SAST-JP013,nomal,0
守護竜プロミネシス,SAST-JP014,nomal,0
守護竜アンドレイク,SAST-JP015,Rare,0
星遺物－『星櫃』,SAST-JP016,Rare,0
逢魔ノ妖刀－不知火,SAST-JP017,Rare,0
不知火の師範,SAST-JP018,nomal,0
不知火の武部,SAST-JP019,nomal,0
幻創龍ファンタズメイ,SAST-JP020,Ultra,0
幻創龍ファンタズメイ,SAST-JP020,Ultimate,0
幻創龍ファンタズメイ,SAST-JP020,Secret,0
オルフェゴール・トロイメア,SAST-JP021,Rare,0
プランキッズ・ロック,SAST-JP022,nomal,0
マドルチェ・プティンセスール,SAST-JP023,Rare,0
サイコウィールダー,SAST-JP024,nomal,0
サイコトラッカー,SAST-JP025,nomal,0
封狼雷坊,SAST-JP026,Super,0
封狼雷坊,SAST-JP026,Secret,0
彩宝龍,SAST-JP027,Rare,0
炎天禍サンバーン,SAST-JP028,nomal,0
隅烏賊,SAST-JP029,nomal,0
孤高除獣,SAST-JP030,N-Rare,0
エキストラケアトップス,SAST-JP031,N-Rare,0
魔神儀－カリスライム,SAST-JP032,Rare,0
トリックスターバンド・ギタースイート,SAST-JP033,Rare,0
転生炎獣ヴァイオレットキマイラ,SAST-JP034,Rare,0
Ｅ・ＨＥＲＯ ブレイヴ・ネオス,SAST-JP035,Rare,0
Ｅ・ＨＥＲＯ コスモ・ネオス,SAST-JP036,Ultra,0
Ｅ・ＨＥＲＯ コスモ・ネオス,SAST-JP036,Ultimate,0
Ｅ・ＨＥＲＯ コスモ・ネオス,SAST-JP036,Secret,0
ヴァレルロード・Ｓ・ドラゴン,SAST-JP037,Ultra,0
ヴァレルロード・Ｓ・ドラゴン,SAST-JP037,Ultimate,0
ヴァレルロード・Ｓ・ドラゴン,SAST-JP037,Secret,0
ヴァレルロード・Ｓ・ドラゴン,SAST-JP037,Holographic,0
サイバース・クアンタム・ドラゴン,SAST-JP038,Ultra,0
サイバース・クアンタム・ドラゴン,SAST-JP038,Ultimate,0
サイバース・クアンタム・ドラゴン,SAST-JP038,Secret,0
ＴＧ スター・ガーディアン,SAST-JP039,Super,0
ＴＧ スター・ガーディアン,SAST-JP039,Secret,0
業神－不知火,SAST-JP040,nomal,0
妖神－不知火,SAST-JP041,nomal,0
ハイパーサイコライザー,SAST-JP042,Rare,0
サイバース・インテグレーター,SAST-JP043,nomal,0
サイバース・ウィキッド,SAST-JP044,nomal,0
アップデートジャマー,SAST-JP045,nomal,0
デトネイト・デリーター,SAST-JP046,nomal,0
クロック・リザード,SAST-JP047,nomal,0
転生炎獣サンライトウルフ,SAST-JP048,Super,0
転生炎獣サンライトウルフ,SAST-JP048,Secret,0
トリックスター・ディーヴァリディス,SAST-JP049,nomal,0
ＴＧ トライデント・ランチャー,SAST-JP050,Ultra,0
ＴＧ トライデント・ランチャー,SAST-JP050,Ultimate,0
ＴＧ トライデント・ランチャー,SAST-JP050,Secret,0
守護竜エルピィ,SAST-JP051,Super,0
守護竜エルピィ,SAST-JP051,Secret,0
守護竜ピスティ,SAST-JP052,Super,0
守護竜ピスティ,SAST-JP052,Secret,0
守護竜アガーペイン,SAST-JP053,Super,0
守護竜アガーペイン,SAST-JP053,Secret,0
麗神－不知火,SAST-JP054,Ultra,0
麗神－不知火,SAST-JP054,Ultimate,0
麗神－不知火,SAST-JP054,Secret,0
閃刀姫－カイナ,SAST-JP055,Super,0
閃刀姫－カイナ,SAST-JP055,Secret,0
灼熱の火霊使いヒータ,SAST-JP056,Super,0
灼熱の火霊使いヒータ,SAST-JP056,Secret,0
フュージョン・オブ・ファイア,SAST-JP057,Rare,0
トリックスター・ライブステージ,SAST-JP058,nomal,0
トリックスター・フュージョン,SAST-JP059,nomal,0
ネオス・フュージョン,SAST-JP060,Super,0
ネオス・フュージョン,SAST-JP060,Secret,0
守護竜の結界,SAST-JP061,nomal,0
星遺物の守護竜,SAST-JP062,Rare,0
逢華妖麗譚－不知火語,SAST-JP063,Rare,0
不知火流 伝承の陣,SAST-JP064,nomal,0
魔神儀の祝誕,SAST-JP065,nomal,0
ユニゾン・チューン,SAST-JP066,nomal,0
強欲で金満な壺,SAST-JP067,Super,0
強欲で金満な壺,SAST-JP067,Secret,0
土俵間際,SAST-JP068,nomal,0
大胆無敵,SAST-JP069,nomal,0
サモンオーバー,SAST-JP070,N-Rare,0
ＮＥＸＴ,SAST-JP071,nomal,0
守護竜の核醒,SAST-JP072,nomal,0
崩界の守護竜,SAST-JP073,nomal,0
不知火流 才華の陣,SAST-JP074,nomal,0
逢魔ノ刻,SAST-JP075,nomal,0
オルフェゴール・リリース,SAST-JP076,nomal,0
サブテラーの継承,SAST-JP077,nomal,0
闇の増産工場,SAST-JP078,Rare,0
魔女の一撃,SAST-JP079,nomal,0
ロスタイム,SAST-JP080,N-Rare,0
