name,card_id,rare,stock
閃術兵器－Ｈ.Ａ.Ｍ.Ｐ.,SSB1-JPS01,Secret,0
閃刀起動－リンケージ,SSB1-JPS02,Secret,0
垂氷の魔妖－雪女,SSB1-JPS03,Secret,0
逢華妖麗譚－魔妖不知火語,SSB1-JPS04,Secret,0
ウィッチクラフト・バイスマスター,SSB1-JPS05,Secret,0
ウィッチクラフト・コンフュージョン,SSB1-JPS06,Secret,0
閃術兵器－Ｈ.Ａ.Ｍ.Ｐ.,SSB1-JP001,Super,0
閃刀起動－リンケージ,SSB1-JP002,Super,0
垂氷の魔妖－雪女,SSB1-JP003,Super,0
逢華妖麗譚－魔妖不知火語,SSB1-JP004,Super,0
ウィッチクラフト・バイスマスター,SSB1-JP005,Super,0
ウィッチクラフト・コンフュージョン,SSB1-JP006,Super,0
閃刀姫－レイ,SSB1-JP007,N-Parallel,0
閃刀姫－レイ,SSB1-JP007,Secret,0
閃刀姫－シズク,SSB1-JP008,N-Parallel,0
閃刀姫－シズク,SSB1-JP008,Secret,0
閃刀姫－ハヤテ,SSB1-JP009,N-Parallel,0
閃刀姫－ハヤテ,SSB1-JP009,Secret,0
閃刀術式－アフターバーナー,SSB1-JP010,N-Parallel,0
閃刀術式－アフターバーナー,SSB1-JP010,Secret,0
閃刀機関－マルチロール,SSB1-JP011,N-Parallel,0
閃刀機関－マルチロール,SSB1-JP011,Secret,0
麗の魔妖－妲姫,SSB1-JP012,N-Parallel,0
麗の魔妖－妲姫,SSB1-JP012,Secret,0
翼の魔妖－波旬,SSB1-JP013,N-Parallel,0
翼の魔妖－波旬,SSB1-JP013,Secret,0
氷の魔妖－雪娘,SSB1-JP014,N-Parallel,0
氷の魔妖－雪娘,SSB1-JP014,Secret,0
氷の魔妖－雪女,SSB1-JP015,N-Parallel,0
氷の魔妖－雪女,SSB1-JP015,Secret,0
魔妖廻天,SSB1-JP016,N-Parallel,0
魔妖廻天,SSB1-JP016,Secret,0
ウィッチクラフト・シュミッタ,SSB1-JP017,N-Parallel,0
ウィッチクラフト・シュミッタ,SSB1-JP017,Secret,0
ウィッチクラフト・ハイネ,SSB1-JP018,N-Parallel,0
ウィッチクラフト・ハイネ,SSB1-JP018,Secret,0
ウィッチクラフト・ジェニー,SSB1-JP019,N-Parallel,0
ウィッチクラフト・ジェニー,SSB1-JP019,Secret,0
ウィッチクラフト・クリエイション,SSB1-JP020,N-Parallel,0
ウィッチクラフト・クリエイション,SSB1-JP020,Secret,0
ウィッチクラフト・デモンストレーション,SSB1-JP021,N-Parallel,0
ウィッチクラフト・デモンストレーション,SSB1-JP021,Secret,0
馬頭鬼,SSB1-JP022,nomal,0
不知火の隠者,SSB1-JP023,nomal,0
死霊王 ドーハスーラ,SSB1-JP024,nomal,0
屍界のバンシー,SSB1-JP025,nomal,0
ジャック・ア・ボーラン,SSB1-JP026,nomal,0
結晶の大賢者サンドリヨン,SSB1-JP027,nomal,0
ミレニアム・アイズ・サクリファイス,SSB1-JP028,nomal,0
サクリファイス・アニマ,SSB1-JP029,nomal,0
トロイメア・フェニックス,SSB1-JP030,nomal,0
トロイメア・ケルベロス,SSB1-JP031,nomal,0
ヴァンパイア・サッカー,SSB1-JP032,nomal,0
灼熱の火霊使いヒータ,SSB1-JP033,nomal,0
簡易融合,SSB1-JP034,nomal,0
アンデットワールド,SSB1-JP035,nomal,0
魔法族の里,SSB1-JP036,nomal,0
魔術師の右手,SSB1-JP037,nomal,0
魔術師の左手,SSB1-JP038,nomal,0
魔術師の再演,SSB1-JP039,nomal,0
逢魔ノ刻,SSB1-JP040,nomal,0
