name,card_id,rare,stock
神炎皇ウリア,SOI-JP001,Ultra,0
神炎皇ウリア,SOI-JP001,Ultimate,0
降雷皇ハモン,SOI-JP002,Ultra,0
降雷皇ハモン,SOI-JP002,Ultimate,0
幻魔皇ラビエル,SOI-JP003,Ultra,0
幻魔皇ラビエル,SOI-JP003,Ultimate,0
Ｅ・ＨＥＲＯ バブルマン・ネオ,SOI-JP004,nomal,0
ヒーロー・キッズ,SOI-JP005,nomal,0
サイバー・バリア・ドラゴン,SOI-JP006,Super,0
サイバー・バリア・ドラゴン,SOI-JP006,Ultimate,0
サイバー・レーザー・ドラゴン,SOI-JP007,Ultra,0
サイバー・レーザー・ドラゴン,SOI-JP007,Ultimate,0
古代の歯車,SOI-JP008,nomal,0
古代の機械砲台,SOI-JP009,nomal,0
プロト・サイバー・ドラゴン,SOI-JP010,Rare,0
瞬着ボマー,SOI-JP011,Rare,0
機械王－プロトタイプ,SOI-JP012,nomal,0
巨大戦艦 カバード・コア,SOI-JP013,Super,0
巨大戦艦 カバード・コア,SOI-JP013,Ultimate,0
異次元への案内人,SOI-JP014,nomal,0
チェイン・スラッシャー,SOI-JP015,nomal,0
封魔の伝承者,SOI-JP016,nomal,0
天下人 紫炎,SOI-JP017,nomal,0
寄生体ダニー,SOI-JP018,nomal,0
ゴキポン,SOI-JP019,nomal,0
静寂虫,SOI-JP020,nomal,0
電動刃虫,SOI-JP021,Rare,0
オオアリクイクイアリ,SOI-JP022,nomal,0
セイバー・ビートル,SOI-JP023,nomal,0
デビルドーザー,SOI-JP024,Rare,0
黄泉ガエル,SOI-JP025,Rare,0
悪魔ガエル,SOI-JP026,nomal,0
魔法の国の王女－ピケル,SOI-JP027,Rare,0
魔法の国の王女－クラン,SOI-JP028,Rare,0
記憶破壊者,SOI-JP029,Rare,0
増幅する悪意,SOI-JP030,nomal,0
グラスファントム,SOI-JP031,nomal,0
サンドモス,SOI-JP032,nomal,0
神竜－エクセリオン,SOI-JP033,Super,0
神竜－エクセリオン,SOI-JP033,Ultimate,0
破滅の女神ルイン,SOI-JP034,Super,0
破滅の女神ルイン,SOI-JP034,Ultimate,0
終焉の王デミス,SOI-JP035,Super,0
終焉の王デミス,SOI-JP035,Ultimate,0
ガエル・サンデス,SOI-JP036,nomal,0
ヒーローハート,SOI-JP037,nomal,0
磁力の召喚円 ＬＶ２,SOI-JP038,nomal,0
古代の機械工場,SOI-JP039,nomal,0
古代の採掘機,SOI-JP040,nomal,0
幻魔の殉教者,SOI-JP041,Rare,0
サイクロン・ブーメラン,SOI-JP042,Rare,0
継承の印,SOI-JP043,nomal,0
王女の試練,SOI-JP044,nomal,0
フォトン・ジェネレーター・ユニット,SOI-JP045,nomal,0
エンド・オブ・ザ・ワールド,SOI-JP046,nomal,0
古代の機械城,SOI-JP047,Super,0
古代の機械城,SOI-JP047,Ultimate,0
輪廻転生,SOI-JP048,nomal,0
スーパージュニア対決！,SOI-JP049,nomal,0
ミラクル・キッズ,SOI-JP050,nomal,0
アタック・リフレクター・ユニット,SOI-JP051,nomal,0
ダメージ・コンデンサー,SOI-JP052,Super,0
ダメージ・コンデンサー,SOI-JP052,Ultimate,0
因果切断,SOI-JP053,Rare,0
ロスト・ネクスト,SOI-JP054,nomal,0
ジェネレーション・チェンジ,SOI-JP055,nomal,0
全弾発射,SOI-JP056,nomal,0
成功確率０％,SOI-JP057,nomal,0
オプションハンター,SOI-JP058,Rare,0
ゴブリンのその場しのぎ,SOI-JP059,Rare,0
誤作動,SOI-JP060,Rare,0
