name,card_id,rare,stock
クロック・ワイバーン,SOFU-JP001,Rare,0
転生炎獣ミーア,SOFU-JP002,nomal,0
転生炎獣フォクシー,SOFU-JP003,nomal,0
転生炎獣ファルコ,SOFU-JP004,nomal,0
転生炎獣Ｊジャガー,SOFU-JP005,Rare,0
ダイナレスラー・カパプテラ,SOFU-JP006,nomal,0
ダイナレスラー・カポエラプトル,SOFU-JP007,nomal,0
ダイナレスラー・システゴ,SOFU-JP008,nomal,0
ダイナレスラー・パンクラトプス,SOFU-JP009,nomal,0
銀河の修道師,SOFU-JP010,nomal,0
銀河剣聖,SOFU-JP011,nomal,0
墓守の神職,SOFU-JP012,nomal,0
墓守の霊術師,SOFU-JP013,nomal,0
オルフェゴール・カノーネ,SOFU-JP014,nomal,0
オルフェゴール・スケルツォン,SOFU-JP015,nomal,0
オルフェゴール・ディヴェル,SOFU-JP016,nomal,0
星遺物－『星杖』,SOFU-JP017,Rare,0
雷源龍－サンダー・ドラゴン,SOFU-JP018,nomal,0
雷電龍－サンダー・ドラゴン,SOFU-JP019,Rare,0
雷鳥龍－サンダー・ドラゴン,SOFU-JP020,nomal,0
雷獣龍－サンダー・ドラゴン,SOFU-JP021,nomal,0
雷劫龍－サンダー・ドラゴン,SOFU-JP022,Rare,0
魔神儀－ペンシルベル,SOFU-JP023,nomal,0
魔神儀－ブックストーン,SOFU-JP024,nomal,0
混源龍レヴィオニア,SOFU-JP025,Ultra,0
混源龍レヴィオニア,SOFU-JP025,Ultimate,0
混源龍レヴィオニア,SOFU-JP025,Secret,0
幻妖フルドラ,SOFU-JP026,Super,0
幻妖フルドラ,SOFU-JP026,Secret,0
光の精霊 ディアーナ,SOFU-JP027,nomal,0
失楽の魔女,SOFU-JP028,Super,0
失楽の魔女,SOFU-JP028,Secret,0
クマモール,SOFU-JP029,nomal,0
ゴキポール,SOFU-JP030,Rare,0
トークンコレクター,SOFU-JP031,N-Rare,0
通販売員,SOFU-JP032,N-Rare,0
転生炎獣エメラルド・イーグル,SOFU-JP033,Rare,0
サイバース・クロック・ドラゴン,SOFU-JP034,Ultra,0
サイバース・クロック・ドラゴン,SOFU-JP034,Ultimate,0
サイバース・クロック・ドラゴン,SOFU-JP034,Secret,0
サイバース・クロック・ドラゴン,SOFU-JP034,Holographic,0
墓守の異能者,SOFU-JP035,Rare,0
超雷龍－サンダー・ドラゴン,SOFU-JP036,Super,0
超雷龍－サンダー・ドラゴン,SOFU-JP036,Secret,0
雷神龍－サンダー・ドラゴン,SOFU-JP037,Ultra,0
雷神龍－サンダー・ドラゴン,SOFU-JP037,Ultimate,0
雷神龍－サンダー・ドラゴン,SOFU-JP037,Secret,0
ダイプレクサ・キマイラ,SOFU-JP038,nomal,0
クロック・スパルトイ,SOFU-JP039,Rare,0
転生炎獣ヒートライオ,SOFU-JP040,Super,0
転生炎獣ヒートライオ,SOFU-JP040,Secret,0
ダイナレスラー・キング・Ｔレッスル,SOFU-JP041,nomal,0
銀河眼の煌星竜,SOFU-JP042,Ultra,0
銀河眼の煌星竜,SOFU-JP042,Ultimate,0
銀河眼の煌星竜,SOFU-JP042,Secret,0
オルフェゴール・ガラテア,SOFU-JP043,Rare,0
オルフェゴール・ロンギルス,SOFU-JP044,Super,0
オルフェゴール・ロンギルス,SOFU-JP044,Secret,0
オルフェゴール・オーケストリオン,SOFU-JP045,Ultra,0
オルフェゴール・オーケストリオン,SOFU-JP045,Ultimate,0
オルフェゴール・オーケストリオン,SOFU-JP045,Secret,0
ヴェルスパーダ・パラディオン,SOFU-JP046,nomal,0
空牙団の大義 フォルゴ,SOFU-JP047,Ultra,0
空牙団の大義 フォルゴ,SOFU-JP047,Ultimate,0
空牙団の大義 フォルゴ,SOFU-JP047,Secret,0
竜絶蘭,SOFU-JP048,Rare,0
常夏のカミナリサマー,SOFU-JP049,Super,0
常夏のカミナリサマー,SOFU-JP049,Secret,0
サイバネット・フュージョン,SOFU-JP050,Rare,0
転生炎獣の聖域,SOFU-JP051,nomal,0
転生炎獣の降臨,SOFU-JP052,nomal,0
転生炎獣の意志,SOFU-JP053,Rare,0
ワールド・ダイナ・レスリング,SOFU-JP054,nomal,0
ネクロバレーの玉座,SOFU-JP055,nomal,0
銀河天翔,SOFU-JP056,Rare,0
オルフェゴール・バベル,SOFU-JP057,Rare,0
オルフェゴール・プライム,SOFU-JP058,Rare,0
オルフェゴール・アインザッツ,SOFU-JP059,nomal,0
雷龍融合,SOFU-JP060,nomal,0
閃刀術式－ベクタードブラスト,SOFU-JP061,Super,0
閃刀術式－ベクタードブラスト,SOFU-JP061,Secret,0
Ｇ・ボールパーク,SOFU-JP062,nomal,0
深淵の宣告者,SOFU-JP063,Super,0
深淵の宣告者,SOFU-JP063,Secret,0
コンセントレイト,SOFU-JP064,nomal,0
おろかな重葬,SOFU-JP065,Super,0
おろかな重葬,SOFU-JP065,Secret,0
パラレル・パンツァー,SOFU-JP066,N-Rare,0
サラマングレイト・ギフト,SOFU-JP067,nomal,0
ネクロバレーの神殿,SOFU-JP068,nomal,0
永遠なる銀河,SOFU-JP069,nomal,0
オルフェゴール・アタック,SOFU-JP070,nomal,0
オルフェゴール・コア,SOFU-JP071,nomal,0
百雷のサンダー・ドラゴン,SOFU-JP072,nomal,0
雷龍放電,SOFU-JP073,nomal,0
クローラー・パラディオン,SOFU-JP074,nomal,0
死魂融合,SOFU-JP075,Rare,0
インヴィンシブル・ヘイロー,SOFU-JP076,Rare,0
通行増税,SOFU-JP077,nomal,0
トラップトリック,SOFU-JP078,Super,0
トラップトリック,SOFU-JP078,Secret,0
一色即発,SOFU-JP079,nomal,0
素早きは三文の徳,SOFU-JP080,N-Rare,0
