name,card_id,rare,stock
大木炭１８,SOD-JP001,Rare,0
ネオアクア・マドール,SOD-JP002,nomal,0
骨犬マロン,SOD-JP003,nomal,0
スカゴブリン,SOD-JP004,nomal,0
アルティメット・インセクト ＬＶ１,SOD-JP005,Rare,0
ホルスの黒炎竜 ＬＶ４,SOD-JP006,Rare,0
ホルスの黒炎竜 ＬＶ６,SOD-JP007,Super,0
ホルスの黒炎竜 ＬＶ６,SOD-JP007,Ultimate,0
ホルスの黒炎竜 ＬＶ８,SOD-JP008,Ultra,0
ホルスの黒炎竜 ＬＶ８,SOD-JP008,Ultimate,0
暗黒のミミック ＬＶ１,SOD-JP009,nomal,0
暗黒のミミック ＬＶ３,SOD-JP010,Rare,0
ミスティック・ソードマン ＬＶ２,SOD-JP011,Rare,0
ミスティック・ソードマン ＬＶ４,SOD-JP012,Ultra,0
ミスティック・ソードマン ＬＶ４,SOD-JP012,Ultimate,0
アームド・ドラゴン ＬＶ３,SOD-JP013,nomal,0
アームド・ドラゴン ＬＶ５,SOD-JP014,Rare,0
アームド・ドラゴン ＬＶ７,SOD-JP015,Ultra,0
アームド・ドラゴン ＬＶ７,SOD-JP015,Ultimate,0
ホルスのしもべ,SOD-JP016,nomal,0
黒竜の雛,SOD-JP017,nomal,0
怨念のキラードール,SOD-JP018,nomal,0
忍者マスター ＳＡＳＵＫＥ,SOD-JP019,Rare,0
幻惑のラフレシア,SOD-JP020,Rare,0
超熱血球児,SOD-JP021,nomal,0
氷帝メビウス,SOD-JP022,Super,0
氷帝メビウス,SOD-JP022,Ultimate,0
エレメント・ドラゴン,SOD-JP023,nomal,0
エレメント・ソルジャー,SOD-JP024,nomal,0
共鳴虫,SOD-JP025,nomal,0
仮面竜,SOD-JP026,nomal,0
マインド・オン・エア,SOD-JP027,Rare,0
ヒゲアンコウ,SOD-JP028,nomal,0
トロイホース,SOD-JP029,nomal,0
使徒喰い虫,SOD-JP030,nomal,0
激昂のムカムカ,SOD-JP031,nomal,0
派手ハネ,SOD-JP032,nomal,0
月の女戦士,SOD-JP033,Super,0
月の女戦士,SOD-JP033,Ultimate,0
おジャマ・キング,SOD-JP034,Rare,0
マスター・オブ・ＯＺ,SOD-JP035,Rare,0
クリッチー,SOD-JP036,nomal,0
闇の量産工場,SOD-JP037,nomal,0
ハンマーシュート,SOD-JP038,Rare,0
記憶抹消,SOD-JP039,nomal,0
深淵の指名者,SOD-JP040,nomal,0
レベルアップ！,SOD-JP041,nomal,0
黒炎弾,SOD-JP042,Ultra,0
黒炎弾,SOD-JP042,Ultimate,0
エクトプラズマー,SOD-JP043,Super,0
エクトプラズマー,SOD-JP043,Ultimate,0
四次元の墓,SOD-JP044,nomal,0
ツーマンセルバトル,SOD-JP045,nomal,0
大波小波,SOD-JP046,nomal,0
フュージョン・ウェポン,SOD-JP047,nomal,0
リチュアル・ウェポン,SOD-JP048,nomal,0
挑発,SOD-JP049,nomal,0
絶体絶命,SOD-JP050,nomal,0
スピリットバリア,SOD-JP051,Rare,0
忍法 空蝉の術,SOD-JP052,nomal,0
衰弱の霧,SOD-JP053,Rare,0
大暴落,SOD-JP054,nomal,0
グリード,SOD-JP055,Super,0
グリード,SOD-JP055,Ultimate,0
マインドクラッシュ,SOD-JP056,nomal,0
無効,SOD-JP057,Super,0
無効,SOD-JP057,Ultimate,0
ゴーゴンの眼,SOD-JP058,nomal,0
セメタリー・ボム,SOD-JP059,nomal,0
ホーリーライフバリアー,SOD-JP060,Super,0
ホーリーライフバリアー,SOD-JP060,Ultimate,0
