name,card_id,rare,stock
救世竜 セイヴァー・ドラゴン,SOVR-JP001,Rare,0
スターダスト・シャオロン,SOVR-JP002,nomal,0
マックス・ウォリアー,SOVR-JP003,Super,0
クイック・シンクロン,SOVR-JP004,nomal,0
レベル・スティーラー,SOVR-JP005,Rare,0
ゼロ・ガードナー,SOVR-JP006,nomal,0
レグルス,SOVR-JP007,nomal,0
インフェルニティ・ネクロマンサー,SOVR-JP008,nomal,0
フォーチュンレディ・ウインディー,SOVR-JP009,Rare,0
フォーチュンレディ・ウォーテリー,SOVR-JP010,Rare,0
フォーチュンレディ・ダルキー,SOVR-JP011,Rare,0
フォーチュンレディ・アーシー,SOVR-JP012,Rare,0
ソリテア・マジカル,SOVR-JP013,nomal,0
カトブレパスと運命の魔女,SOVR-JP014,Super,0
ダーク・スパイダー,SOVR-JP015,nomal,0
グランド・スパイダー,SOVR-JP016,nomal,0
サクリファイス・スパイダー,SOVR-JP017,nomal,0
スパイダー・スパイダー,SOVR-JP018,Rare,0
マザー・スパイダー,SOVR-JP019,Rare,0
レプティレス・ゴルゴーン,SOVR-JP020,Rare,0
レプティレス・メデューサ,SOVR-JP021,nomal,0
レプティレス・スキュラ,SOVR-JP022,nomal,0
レプティレス・バイパー,SOVR-JP023,nomal,0
地縛神 Ｃｃａｒａｙｈｕａ,SOVR-JP024,Ultra,0
地縛神 Ｃｃａｒａｙｈｕａ,SOVR-JP024,Ultimate,0
地縛神 Ｕｒｕ,SOVR-JP025,Ultra,0
地縛神 Ｕｒｕ,SOVR-JP025,Ultimate,0
地縛神 Ｗｉｒａｑｏｃｈａ Ｒａｓｃａ,SOVR-JP026,Ultra,0
地縛神 Ｗｉｒａｑｏｃｈａ Ｒａｓｃａ,SOVR-JP026,Ultimate,0
コアキメイル・シーパンサー,SOVR-JP027,Rare,0
コアキメイル・ルークロード,SOVR-JP028,Super,0
チューンド・マジシャン,SOVR-JP029,nomal,0
クルセイダー・オブ・エンディミオン,SOVR-JP030,Super,0
樹海の射手,SOVR-JP031,nomal,0
紅蓮魔闘士,SOVR-JP032,nomal,0
エナジー・ブレイブ,SOVR-JP033,nomal,0
鬼ガエル,SOVR-JP034,nomal,0
ロードブリティッシュ,SOVR-JP035,Rare,0
オシャレオン,SOVR-JP036,nomal,0
儀式魔人リリーサー,SOVR-JP037,nomal,0
儀式魔人プレサイダー,SOVR-JP038,nomal,0
救世の美神ノースウェムコ,SOVR-JP039,Super,0
セイヴァー・スター・ドラゴン,SOVR-JP040,Ultra,0
セイヴァー・スター・ドラゴン,SOVR-JP040,Ultimate,0
セイヴァー・スター・ドラゴン,SOVR-JP040,Holographic,0
ＢＦ－孤高のシルバー・ウィンド,SOVR-JP041,Ultra,0
ＢＦ－孤高のシルバー・ウィンド,SOVR-JP041,Ultimate,0
レプティレス・ラミア,SOVR-JP042,Super,0
ブラック・ブルドラゴ,SOVR-JP043,Super,0
エクスプローシブ・マジシャン,SOVR-JP044,Super,0
スパイダー・ウェブ,SOVR-JP045,nomal,0
地縛旋風,SOVR-JP046,nomal,0
サベージ・コロシアム,SOVR-JP047,Rare,0
アタック・フェロモン,SOVR-JP048,nomal,0
モルティング・エスケープ,SOVR-JP049,nomal,0
レプティレス・スポーン,SOVR-JP050,nomal,0
フォーチュンフューチャー,SOVR-JP051,nomal,0
タイムパッセージ,SOVR-JP052,nomal,0
鋼核収納,SOVR-JP053,nomal,0
金剛真力,SOVR-JP054,nomal,0
デュアルスパーク,SOVR-JP055,Rare,0
救世の儀式,SOVR-JP056,nomal,0
儀式の準備,SOVR-JP057,Rare,0
強欲なウツボ,SOVR-JP058,N-Rare,0
神聖なる森,SOVR-JP059,nomal,0
狂植物の氾濫,SOVR-JP060,Rare,0
無視加護,SOVR-JP061,nomal,0
悪魔への貢物,SOVR-JP062,N-Rare,0
スリップ・サモン,SOVR-JP063,Rare,0
シンクロ・バリアー,SOVR-JP064,nomal,0
未来王の予言,SOVR-JP065,nomal,0
運命湾曲,SOVR-JP066,nomal,0
フォーチュン・インハーリット,SOVR-JP067,nomal,0
スパイダー・エッグ,SOVR-JP068,nomal,0
無抵抗の真相,SOVR-JP069,nomal,0
地縛波,SOVR-JP070,nomal,0
地縛神の咆哮,SOVR-JP071,nomal,0
極限への衝動,SOVR-JP072,nomal,0
インフェルニティ・フォース,SOVR-JP073,nomal,0
能力吸収コア,SOVR-JP074,Rare,0
ヴィクティム・カウンター,SOVR-JP075,Rare,0
デュアル・ブースター,SOVR-JP076,nomal,0
リチュアルバスター,SOVR-JP077,nomal,0
デビリアン・ソング,SOVR-JP078,N-Rare,0
破邪の刻印,SOVR-JP079,Super,0
紅蓮の指名者,SOVR-JP080,N-Rare,0
