name,card_id,rare,stock
クラスター・ペンデュラム,STOR-JP001,nomal,0
ドッペル・ウォリアー,STOR-JP002,Rare,0
スターダスト・ファントム,STOR-JP003,Rare,0
異次元の精霊,STOR-JP004,Super,0
トップ・ランナー,STOR-JP005,nomal,0
バリア・リゾネーター,STOR-JP006,nomal,0
ＢＦ－尖鋭のボーラ,STOR-JP007,Rare,0
ＢＦ－追い風のアリゼ,STOR-JP008,nomal,0
ＢＦ－陽炎のカーム,STOR-JP009,nomal,0
極星獣タングリスニ,STOR-JP010,nomal,0
極星獣グルファクシ,STOR-JP011,Rare,0
極星獣ガルム,STOR-JP012,nomal,0
極星獣タングニョースト,STOR-JP013,Rare,0
極星霊リョースアールヴ,STOR-JP014,nomal,0
極星霊デックアールヴ,STOR-JP015,Rare,0
極星霊ドヴェルグ,STOR-JP016,Rare,0
極星天ヴァルキュリア,STOR-JP017,Super,0
極星天ミーミル,STOR-JP018,nomal,0
極星將テュール,STOR-JP019,Rare,0
真六武衆－キザン,STOR-JP020,Super,0
真六武衆－エニシ,STOR-JP021,Super,0
真六武衆－カゲキ,STOR-JP022,Rare,0
真六武衆－シナイ,STOR-JP023,nomal,0
真六武衆－ミズホ,STOR-JP024,nomal,0
六武衆の影武者,STOR-JP025,nomal,0
紫炎の寄子,STOR-JP026,nomal,0
カラクリ守衛 参壱参,STOR-JP027,nomal,0
カラクリ忍者 九壱九,STOR-JP028,nomal,0
スクラップ・ワーム,STOR-JP029,Rare,0
スクラップ・シャーク,STOR-JP030,nomal,0
エレキンメダイ,STOR-JP031,Rare,0
エレキンモグラ,STOR-JP032,nomal,0
音響戦士ベーシス,STOR-JP033,nomal,0
音響戦士ドラムス,STOR-JP034,nomal,0
音響戦士ピアーノ,STOR-JP035,nomal,0
マジオシャレオン,STOR-JP036,N-Rare,0
夜叉,STOR-JP037,N-Rare,0
極神皇トール,STOR-JP038,Ultra,0
極神皇トール,STOR-JP038,Ultimate,0
極神皇ロキ,STOR-JP039,Ultra,0
極神皇ロキ,STOR-JP039,Ultimate,0
極神聖帝オーディン,STOR-JP040,Ultra,0
極神聖帝オーディン,STOR-JP040,Ultimate,0
極神聖帝オーディン,STOR-JP040,Holographic,0
真六武衆－シエン,STOR-JP041,Super,0
カラクリ大将軍 無零怒,STOR-JP042,Ultra,0
カラクリ大将軍 無零怒,STOR-JP042,Ultimate,0
アトミック・スクラップ・ドラゴン,STOR-JP043,Ultra,0
アトミック・スクラップ・ドラゴン,STOR-JP043,Ultimate,0
エレキリム,STOR-JP044,Super,0
極星宝ドラウプニル,STOR-JP045,nomal,0
神々の黄昏,STOR-JP046,nomal,0
最後の進軍,STOR-JP047,nomal,0
紫炎の狼煙,STOR-JP048,Rare,0
六武式三段衝,STOR-JP049,nomal,0
六武衆の荒行,STOR-JP050,Rare,0
六武院,STOR-JP051,nomal,0
借カラクリ蔵,STOR-JP052,nomal,0
カラクリ粉,STOR-JP053,nomal,0
エレキー,STOR-JP054,nomal,0
星屑のきらめき,STOR-JP055,Super,0
リゾネーター・エンジン,STOR-JP056,nomal,0
トークン復活祭,STOR-JP057,nomal,0
おろかな転生,STOR-JP058,Rare,0
霞の谷の神風,STOR-JP059,nomal,0
ヴァイロン・マター,STOR-JP060,nomal,0
禁じられた聖槍,STOR-JP061,Super,0
端末世界,STOR-JP062,N-Rare,0
活路への希望,STOR-JP063,Rare,0
ゼロ・フォース,STOR-JP064,nomal,0
ブラック・ブースト,STOR-JP065,nomal,0
ミョルニルの魔槌,STOR-JP066,nomal,0
神の威光,STOR-JP067,nomal,0
極星宝ブリージンガ・メン,STOR-JP068,nomal,0
極星宝レーヴァテイン,STOR-JP069,nomal,0
極星宝グングニル,STOR-JP070,Rare,0
フリッグのリンゴ,STOR-JP071,Super,0
オーディンの眼,STOR-JP072,nomal,0
神の桎梏グレイプニル,STOR-JP073,Rare,0
六尺瓊勾玉,STOR-JP074,Rare,0
紫炎の計略,STOR-JP075,nomal,0
暴走闘君,STOR-JP076,nomal,0
心鎮壷のレプリカ,STOR-JP077,N-Rare,0
暴君の暴言,STOR-JP078,nomal,0
カース・オブ・スタチュー,STOR-JP079,nomal,0
ソウル・オブ・スタチュー,STOR-JP080,nomal,0
