name,card_id,rare,stock
結束と絆の超魔導剣士,SUDA-JP000,Quarter Century Secret,0
Ｅ－ＨＥＲＯ トキシック・バブル,SUDA-JP001,Super,0
Ｅ－ＨＥＲＯ トキシック・バブル,SUDA-JP001,Secret,0
Ｅ－ＨＥＲＯ デス・プリズン,SUDA-JP002,Rare,0
Ｅ－ＨＥＲＯ ヘル・ライダー,SUDA-JP003,nomal,0
アルカナフォースＶ－ＴＨＥ ＨＩＥＲＯＰＨＡＮＴ,SUDA-JP004,nomal,0
アルカナフォースＸＩＸ－ＴＨＥ ＳＵＮ,SUDA-JP005,Rare,0
ＳＲクラッカーネル,SUDA-JP006,nomal,0
ＳＲウィング・シンクロン,SUDA-JP007,Rare,0
白き森の聖徒リゼット,SUDA-JP008,Super,0
白き森の聖徒リゼット,SUDA-JP008,Secret,0
アザミナの妖魔,SUDA-JP009,Rare,0
ＡＲＧ☆Ｓ－栄冠のアドラ,SUDA-JP010,Super,0
ＡＲＧ☆Ｓ－栄冠のアドラ,SUDA-JP010,Secret,0
マテリアクトル・エクサレプト,SUDA-JP011,nomal,0
マテリアクトル・ゼプトウィング,SUDA-JP012,nomal,0
ジェット・シャーク,SUDA-JP013,nomal,0
鋼炎の剣士,SUDA-JP014,Rare,0
原石竜アナザー・ベリル,SUDA-JP015,Rare,0
轟海皇 ポセイドラ,SUDA-JP016,Rare,0
剣闘獣ギステル,SUDA-JP017,nomal,0
スレイブベアー,SUDA-JP018,Rare,0
水晶機巧－トリスタロス,SUDA-JP019,Super,0
水晶機巧－トリスタロス,SUDA-JP019,Secret,0
水晶機巧－サルファドール,SUDA-JP020,nomal,0
天威龍－スールヤ,SUDA-JP021,Super,0
天威龍－スールヤ,SUDA-JP021,Secret,0
暗黒海龍－ドライアグル,SUDA-JP022,nomal,0
叛逆者エト,SUDA-JP023,Ultra,0
叛逆者エト,SUDA-JP023,Ultimate,0
叛逆者エト,SUDA-JP023,Secret,0
大紅蓮魔闘士,SUDA-JP024,nomal,0
マルチャミー・ニャルス,SUDA-JP025,Rare,0
イタズラの大精霊ハロ,SUDA-JP026,Rare,0
お菓子の大精霊ウィーン,SUDA-JP027,Rare,0
テンプレート・スキッパー,SUDA-JP028,nomal,0
表裏の女神,SUDA-JP029,N-Rare,0
運否の天賦羅－ＥＢＩ,SUDA-JP030,N-Rare,0
Ｅ－ＨＥＲＯ ネオス・ロード,SUDA-JP031,Ultra,0
Ｅ－ＨＥＲＯ ネオス・ロード,SUDA-JP031,Ultimate,0
Ｅ－ＨＥＲＯ ネオス・ロード,SUDA-JP031,Secret,0
Ｅ－ＨＥＲＯ ネオス・ロード,SUDA-JP031,Holographic,0
Ｅ－ＨＥＲＯ インフェルノ・ウィング－ヘルバック・ファイア,SUDA-JP032,Super,0
Ｅ－ＨＥＲＯ インフェルノ・ウィング－ヘルバック・ファイア,SUDA-JP032,Secret,0
Ｅ－ＨＥＲＯ ダーク・ナイト,SUDA-JP033,nomal,0
アルカナフォースＥＸ－ＴＨＥ ＣＨＡＯＳ ＲＵＬＥＲ,SUDA-JP034,Ultra,0
アルカナフォースＥＸ－ＴＨＥ ＣＨＡＯＳ ＲＵＬＥＲ,SUDA-JP034,Ultimate,0
アルカナフォースＥＸ－ＴＨＥ ＣＨＡＯＳ ＲＵＬＥＲ,SUDA-JP034,Secret,0
蛇眼の原罪龍,SUDA-JP035,Ultra,0
蛇眼の原罪龍,SUDA-JP035,Ultimate,0
蛇眼の原罪龍,SUDA-JP035,Secret,0
聖アザミナ,SUDA-JP036,Super,0
聖アザミナ,SUDA-JP036,Secret,0
刻まれし魔レクストレメンデ,SUDA-JP037,Ultra,0
刻まれし魔レクストレメンデ,SUDA-JP037,Ultimate,0
刻まれし魔レクストレメンデ,SUDA-JP037,Secret,0
剣闘獣クラウディウス,SUDA-JP038,Ultra,0
剣闘獣クラウディウス,SUDA-JP038,Ultimate,0
剣闘獣クラウディウス,SUDA-JP038,Secret,0
クリスタルクリアウィング・オーバー・シンクロ・ドラゴン,SUDA-JP039,Ultra,0
クリスタルクリアウィング・オーバー・シンクロ・ドラゴン,SUDA-JP039,Ultimate,0
クリスタルクリアウィング・オーバー・シンクロ・ドラゴン,SUDA-JP039,Secret,0
ＨＳＲグライダー２,SUDA-JP040,Rare,0
水晶機巧－エレスケルタス,SUDA-JP041,Rare,0
天威龍－ムーラ・アーダラ,SUDA-JP042,Ultra,0
天威龍－ムーラ・アーダラ,SUDA-JP042,Ultimate,0
天威龍－ムーラ・アーダラ,SUDA-JP042,Secret,0
ライトストーム・ドラゴン,SUDA-JP043,N-Rare,0
百鬼羅刹唯我独尊,SUDA-JP044,Super,0
百鬼羅刹唯我独尊,SUDA-JP044,Secret,0
マテリアクトル・エクサガルド,SUDA-JP045,Super,0
マテリアクトル・エクサガルド,SUDA-JP045,Secret,0
海皇精 アビストリーテ,SUDA-JP046,Rare,0
蝕の双仔,SUDA-JP047,Rare,0
剣闘獣ダレイオス,SUDA-JP048,Rare,0
光なき影 ア＝バオ・ア・クゥー,SUDA-JP049,Ultra,0
光なき影 ア＝バオ・ア・クゥー,SUDA-JP049,Ultimate,0
光なき影 ア＝バオ・ア・クゥー,SUDA-JP049,Secret,0
機械仕掛けの騎士,SUDA-JP050,Super,0
機械仕掛けの騎士,SUDA-JP050,Secret,0
ダーク・コンタクト,SUDA-JP051,nomal,0
イービル・アサルト,SUDA-JP052,Rare,0
光の波動,SUDA-JP053,nomal,0
アルカナスプレッド,SUDA-JP054,nomal,0
白き森の罪宝,SUDA-JP055,nomal,0
プレイ・ザ・ディアベル,SUDA-JP056,nomal,0
ライク・ザ・ディアベル,SUDA-JP057,nomal,0
