name,card_id,rare,stock
魔轟神獣ベヒルモス,TW02-JP001,N-Parallel,0
魔轟神獣ベヒルモス,TW02-JP001,Ultra-Parallel,0
魔轟神ガミュジン,TW02-JP002,N-Parallel,0
魔轟神ガミュジン,TW02-JP002,Ultra-Parallel,0
魔轟神レヴェルゼブル,TW02-JP003,N-Parallel,0
魔轟神レヴェルゼブル,TW02-JP003,Ultra-Parallel,0
魔轟神レヴェルゼブル,TW02-JP003,Quarter Century Secret,0
魔轟神界の復活,TW02-JP004,N-Parallel,0
魔轟神界の復活,TW02-JP004,Ultra-Parallel,0
魔轟神レイヴン,TW02-JP005,nomal,0
魔轟神ルリー,TW02-JP006,N-Parallel,0
魔轟神ルリー,TW02-JP006,Quarter Century Secret,0
魔轟神グリムロ,TW02-JP007,N-Parallel,0
魔轟神グリムロ,TW02-JP007,Ultra-Parallel,0
魔轟神グリムロ,TW02-JP007,Quarter Century Secret,0
魔轟神クシャノ,TW02-JP008,N-Parallel,0
魔轟神クシャノ,TW02-JP008,Super-Parallel,0
魔轟神クルス,TW02-JP009,N-Parallel,0
魔轟神クルス,TW02-JP009,Super-Parallel,0
魔轟神トピー,TW02-JP010,nomal,0
魔轟神ソルキウス,TW02-JP011,nomal,0
魔轟神獣チャワ,TW02-JP012,nomal,0
魔轟神獣キャシー,TW02-JP013,nomal,0
魔轟神獣ケルベラル,TW02-JP014,N-Parallel,0
魔轟神獣ケルベラル,TW02-JP014,Super-Parallel,0
魔轟神獣ガナシア,TW02-JP015,nomal,0
魔轟神獣ノズチ,TW02-JP016,nomal,0
魔轟神ディアネイラ,TW02-JP017,nomal,0
魔轟神マルコシア,TW02-JP018,N-Parallel,0
魔轟神マルコシア,TW02-JP018,Super-Parallel,0
魔轟神獣アバンク,TW02-JP019,nomal,0
魔轟神ヴァルキュルス,TW02-JP020,nomal,0
魔轟神レヴュアタン,TW02-JP021,N-Parallel,0
魔轟神レヴュアタン,TW02-JP021,Super-Parallel,0
魔轟神レイジオン,TW02-JP022,N-Parallel,0
魔轟神レイジオン,TW02-JP022,Super-Parallel,0
魔轟神獣ユニコール,TW02-JP023,N-Parallel,0
魔轟神獣ユニコール,TW02-JP023,Super-Parallel,0
魔轟神アンドレイス,TW02-JP024,nomal,0
魔轟神界の階,TW02-JP025,nomal,0
弑逆の魔轟神,TW02-JP026,nomal,0
ジュラック・メガロ,TW02-JP027,N-Parallel,0
ジュラック・メガロ,TW02-JP027,Ultra-Parallel,0
ジュラック・スティゴ,TW02-JP028,N-Parallel,0
ジュラック・スティゴ,TW02-JP028,Ultra-Parallel,0
ジュラック・アステロ,TW02-JP029,N-Parallel,0
ジュラック・アステロ,TW02-JP029,Ultra-Parallel,0
ジュラック・アステロ,TW02-JP029,Quarter Century Secret,0
ジュラック・ヴォルケーノ,TW02-JP030,N-Parallel,0
ジュラック・ヴォルケーノ,TW02-JP030,Ultra-Parallel,0
ジュラック・ヴォルケーノ,TW02-JP030,Quarter Century Secret,0
ジュラック・ヴェロー,TW02-JP031,nomal,0
ジュラック・モノロフ,TW02-JP032,nomal,0
ジュラック・タイタン,TW02-JP033,N-Parallel,0
ジュラック・タイタン,TW02-JP033,Super-Parallel,0
ジュラック・グアイバ,TW02-JP034,N-Parallel,0
ジュラック・グアイバ,TW02-JP034,Super-Parallel,0
ジュラック・デイノ,TW02-JP035,nomal,0
ジュラック・ガリム,TW02-JP036,nomal,0
ジュラック・アウロ,TW02-JP037,N-Parallel,0
ジュラック・アウロ,TW02-JP037,Super-Parallel,0
ジュラック・ギガノト,TW02-JP038,nomal,0
ジュラック・ヴェルヒプト,TW02-JP039,nomal,0
ジュラック・メテオ,TW02-JP040,N-Parallel,0
ジュラック・メテオ,TW02-JP040,Ultra-Parallel,0
ジュラック・メテオ,TW02-JP040,Quarter Century Secret,0
ジュラック・インパクト,TW02-JP041,N-Parallel,0
ジュラック・インパクト,TW02-JP041,Super-Parallel,0
ジェムナイトマスター・ダイヤ－ディスパージョン,TW02-JP042,N-Parallel,0
ジェムナイトマスター・ダイヤ－ディスパージョン,TW02-JP042,Ultra-Parallel,0
ジェムナイトマスター・ダイヤ－ディスパージョン,TW02-JP042,Quarter Century Secret,0
ジェムナイト・ネピリム,TW02-JP043,N-Parallel,0
ジェムナイト・ネピリム,TW02-JP043,Ultra-Parallel,0
ジェムナイト・ネピリム,TW02-JP043,Quarter Century Secret,0
ジェムナイト・ヴォイドルーツ,TW02-JP044,N-Parallel,0
ジェムナイト・ヴォイドルーツ,TW02-JP044,Ultra-Parallel,0
ジェムナイト・ディスパージョン,TW02-JP045,N-Parallel,0
ジェムナイト・ディスパージョン,TW02-JP045,Ultra-Parallel,0
ジェムナイト・ルマリン,TW02-JP046,nomal,0
ジェムナイト・クリスタ,TW02-JP047,nomal,0
