name,card_id,rare,stock
氷霊山の龍祖 ランセア,TW01-JP001,Ultra,0
氷霊山の龍祖 ランセア,TW01-JP001,Quarter Century Secret,0
氷結界の剣士 ゲオルギアス,TW01-JP002,Ultra,0
氷結界の鏡魔師,TW01-JP003,Ultra,0
氷結界に至る晶域,TW01-JP004,Ultra,0
氷結界の番人 ブリズド,TW01-JP005,nomal,0
ブリザード・ウォリアー,TW01-JP006,nomal,0
氷結界の術者,TW01-JP007,nomal,0
氷弾使いレイス,TW01-JP008,nomal,0
氷結界のロイヤル・ナイト,TW01-JP009,nomal,0
氷結界に住む魔酔虫,TW01-JP010,nomal,0
氷結界の大僧正,TW01-JP011,nomal,0
氷結界の交霊師,TW01-JP012,nomal,0
氷結界の修験者,TW01-JP013,nomal,0
氷結界の風水師,TW01-JP014,nomal,0
氷結界の決起隊,TW01-JP015,nomal,0
氷結界の武士,TW01-JP016,nomal,0
氷結界の水影,TW01-JP017,nomal,0
氷結界の輸送部隊,TW01-JP018,nomal,0
氷結界の封魔団,TW01-JP019,nomal,0
氷結界の虎将 グルナード,TW01-JP020,nomal,0
氷結界の守護陣,TW01-JP021,nomal,0
氷結界の破術師,TW01-JP022,nomal,0
氷結界の神精霊,TW01-JP023,nomal,0
氷結界の虎将 ライホウ,TW01-JP024,Super,0
氷結界の軍師,TW01-JP025,nomal,0
氷結界の御庭番,TW01-JP026,nomal,0
氷結界の虎将 ガンターラ,TW01-JP027,nomal,0
氷結界の舞姫,TW01-JP028,nomal,0
氷結界の伝道師,TW01-JP029,nomal,0
氷結界の虎将 ウェイン,TW01-JP030,nomal,0
氷結界の照魔師,TW01-JP031,Super,0
氷結界の依巫,TW01-JP032,Super,0
氷結界の霜精,TW01-JP033,Super,0
氷結界の随身,TW01-JP034,nomal,0
氷結界の浄玻璃,TW01-JP035,nomal,0
氷結界の龍 ブリューナク,TW01-JP036,Super,0
氷結界の虎王 ドゥローレン,TW01-JP037,Super,0
氷結界の龍 グングニール,TW01-JP038,Super,0
氷結界の龍 トリシューラ,TW01-JP039,Ultra,0
氷結界の龍 トリシューラ,TW01-JP039,Quarter Century Secret,0
氷結界の還零龍 トリシューラ,TW01-JP040,Ultra,0
氷結界の三方陣,TW01-JP041,nomal,0
氷結界の紋章,TW01-JP042,Super,0
氷結界の紋章,TW01-JP042,Quarter Century Secret,0
氷結界の鏡,TW01-JP043,nomal,0
氷結界に至る晴嵐,TW01-JP044,Super,0
氷結界の晶壁,TW01-JP045,nomal,0
戦火の残滓,TW01-JP046,nomal,0
トリシューラの鼓動,TW01-JP047,nomal,0
煉獄の落とし穴,TW01-JP048,nomal,0
天龍雪獄,TW01-JP049,nomal,0
Ａ・Ｏ・Ｇ リターンゼロ,TW01-JP050,Ultra,0
Ａ・Ｏ・Ｇ リターンゼロ,TW01-JP050,Quarter Century Secret,0
リペア・ジェネクス・コントローラー,TW01-JP051,Ultra,0
リペア・ジェネクス・コントローラー,TW01-JP051,Quarter Century Secret,0
レアル・ジェネクス・ウンディーネ,TW01-JP052,Ultra,0
レアル・ジェネクス・チューリング,TW01-JP053,Ultra,0
ジェネクス・コントローラー,TW01-JP054,Ultra,0
ジェネクス・ウンディーネ,TW01-JP055,Super,0
ジェネクス・パワー・プランナー,TW01-JP056,Super,0
ジェネクス・サーチャー,TW01-JP057,nomal,0
ジェネクス・ワーカー,TW01-JP058,nomal,0
ジェネクス・ニュートロン,TW01-JP059,nomal,0
ジェネクス・ヒート,TW01-JP060,nomal,0
ジェネクス・ガイア,TW01-JP061,nomal,0
スペア・ジェネクス,TW01-JP062,nomal,0
タービン・ジェネクス,TW01-JP063,nomal,0
ジェネクス・ドクター,TW01-JP064,nomal,0
ソーラー・ジェネクス,TW01-JP065,nomal,0
ジェネクス・ブラスト,TW01-JP066,nomal,0
リサイクル・ジェネクス,TW01-JP067,nomal,0
アーミー・ジェネクス,TW01-JP068,nomal,0
