name,card_id,rare,stock
ワンショット・ブースター,TDGS-JP001,nomal,0
ニトロ・シンクロン,TDGS-JP002,Super,0
ボルト・ヘッジホッグ,TDGS-JP003,Super,0
デッド・ガードナー,TDGS-JP004,nomal,0
シールド・ウォリアー,TDGS-JP005,Rare,0
スモール・ピース・ゴーレム,TDGS-JP006,nomal,0
ミッド・ピース・ゴーレム,TDGS-JP007,Rare,0
ビッグ・ピース・ゴーレム,TDGS-JP008,Super,0
ダーク・スプロケッター,TDGS-JP009,Super,0
ダーク・リゾネーター,TDGS-JP010,nomal,0
ダブル・プロテクター,TDGS-JP011,nomal,0
ジュッテ・ナイト,TDGS-JP012,nomal,0
手錠龍,TDGS-JP013,Rare,0
モンタージュ・ドラゴン,TDGS-JP014,Super,0
ゴロゴル,TDGS-JP015,nomal,0
メンタルマスター,TDGS-JP016,Rare,0
カバリスト,TDGS-JP017,Rare,0
クレボンス,TDGS-JP018,nomal,0
メンタルプロテクター,TDGS-JP019,nomal,0
サイコ・コマンダー,TDGS-JP020,nomal,0
サイコ・ウォールド,TDGS-JP021,Rare,0
テレキアタッカー,TDGS-JP022,nomal,0
ディストラクター,TDGS-JP023,Rare,0
剣闘獣エクイテ,TDGS-JP024,nomal,0
ライトロード・プリースト ジェニス,TDGS-JP025,nomal,0
闇霊使いダルク,TDGS-JP026,nomal,0
メカウサー,TDGS-JP027,nomal,0
オイスターマイスター,TDGS-JP028,nomal,0
ツインバレル・ドラゴン,TDGS-JP029,Rare,0
伊弉凪,TDGS-JP030,nomal,0
くノ一ウォリアー,TDGS-JP031,nomal,0
ファラオの化身,TDGS-JP032,nomal,0
ダーク・アサシン,TDGS-JP033,N-Rare,0
金華猫,TDGS-JP034,nomal,0
大和神,TDGS-JP035,Rare,0
寂々虫,TDGS-JP036,nomal,0
騒々虫,TDGS-JP037,nomal,0
マルチ・ピース・ゴーレム,TDGS-JP038,Super,0
ニトロ・ウォリアー,TDGS-JP039,Ultra,0
ニトロ・ウォリアー,TDGS-JP039,Ultimate,0
スターダスト・ドラゴン,TDGS-JP040,Ultra,0
スターダスト・ドラゴン,TDGS-JP040,Ultimate,0
スターダスト・ドラゴン,TDGS-JP040,Holographic,0
レッド・デーモンズ・ドラゴン,TDGS-JP041,Ultra,0
レッド・デーモンズ・ドラゴン,TDGS-JP041,Ultimate,0
ゴヨウ・ガーディアン,TDGS-JP042,Ultra,0
ゴヨウ・ガーディアン,TDGS-JP042,Ultimate,0
マジカル・アンドロイド,TDGS-JP043,nomal,0
メンタルスフィア・デーモン,TDGS-JP044,Ultra,0
メンタルスフィア・デーモン,TDGS-JP044,Ultimate,0
ファイティング・スピリッツ,TDGS-JP045,Rare,0
ドミノ,TDGS-JP046,Rare,0
ジャンク・アタック,TDGS-JP047,Rare,0
イージーチューニング,TDGS-JP048,nomal,0
シンクロキャンセル,TDGS-JP049,Super,0
ライトニング・チューン,TDGS-JP050,nomal,0
サイキックブレイク,TDGS-JP051,nomal,0
サイキック・インパルス,TDGS-JP052,Rare,0
緊急テレポート,TDGS-JP053,nomal,0
草薙剣,TDGS-JP054,nomal,0
八尺勾玉,TDGS-JP055,nomal,0
八汰鏡,TDGS-JP056,nomal,0
歯車街,TDGS-JP057,nomal,0
召喚制限－パワーフィルター,TDGS-JP058,N-Rare,0
ライトロード・レイピア,TDGS-JP059,nomal,0
進化する人類,TDGS-JP060,Rare,0
バッテリーリサイクル,TDGS-JP061,nomal,0
皆既日蝕の書,TDGS-JP062,nomal,0
イクイップ・シュート,TDGS-JP063,nomal,0
エンジェル・リフト,TDGS-JP064,Super,0
ガード・ブロック,TDGS-JP065,Super,0
悲劇の引き金,TDGS-JP066,nomal,0
スターゲート,TDGS-JP067,Rare,0
シンクロン・リフレクト,TDGS-JP068,Rare,0
ブロークン・ブロッカー,TDGS-JP069,nomal,0
サイコ・チャージ,TDGS-JP070,Rare,0
サイコ・ヒーリング,TDGS-JP071,nomal,0
念導力,TDGS-JP072,nomal,0
ブローニング・パワー,TDGS-JP073,nomal,0
剣闘獣の戦車,TDGS-JP074,nomal,0
ライトロード・バリア,TDGS-JP075,nomal,0
インターセプト,TDGS-JP076,Rare,0
雷の裁き,TDGS-JP077,nomal,0
フィッシャーチャージ,TDGS-JP078,nomal,0
針虫の巣窟,TDGS-JP079,N-Rare,0
オーバースペック,TDGS-JP080,N-Rare,0
