name,card_id,rare,stock
ワタポン,GDB1-JP001,nomal,0
ダンディライオン,GDB1-JP002,nomal,0
マシュマロン,GDB1-JP003,nomal,0
人造人間－サイコ・ショッカー,GDB1-JP004,nomal,0
封印されしエクゾディア,GDB1-JP005,nomal,0
クリッター,GDB1-JP006,nomal,0
サイバー・ドラゴン,GDB1-JP007,nomal,0
風帝ライザー,GDB1-JP008,nomal,0
オネスト,GDB1-JP009,nomal,0
氷結界の龍 ブリューナク,GDB1-JP010,nomal,0
サイクロン,GDB1-JP011,nomal,0
光の護封剣,GDB1-JP012,nomal,0
死者蘇生,GDB1-JP013,nomal,0
大嵐,GDB1-JP014,nomal,0
スケープ・ゴート,GDB1-JP015,nomal,0
激流葬,GDB1-JP016,nomal,0
聖なるバリア －ミラーフォース－,GDB1-JP017,nomal,0
王宮のお触れ,GDB1-JP018,nomal,0
奈落の落とし穴,GDB1-JP019,nomal,0
死のデッキ破壊ウイルス,GDB1-JP020,nomal,0
神獣王バルバロス,GDB1-JP021,nomal,0
マジシャンズ・ヴァルキリア,GDB1-JP022,nomal,0
メタモルポット,GDB1-JP023,nomal,0
魂を削る死霊,GDB1-JP024,nomal,0
氷帝メビウス,GDB1-JP025,nomal,0
魔導戦士 ブレイカー,GDB1-JP026,nomal,0
ならず者傭兵部隊,GDB1-JP027,nomal,0
ダーク・アームド・ドラゴン,GDB1-JP028,nomal,0
裁きの龍,GDB1-JP029,nomal,0
Ａ・Ｏ・Ｊ カタストル,GDB1-JP030,nomal,0
月の書,GDB1-JP031,nomal,0
洗脳－ブレインコントロール,GDB1-JP032,nomal,0
地割れ,GDB1-JP033,nomal,0
ライトニング・ボルテックス,GDB1-JP034,nomal,0
ハリケーン,GDB1-JP035,nomal,0
スキルドレイン,GDB1-JP036,nomal,0
リビングデッドの呼び声,GDB1-JP037,nomal,0
神の宣告,GDB1-JP038,nomal,0
魔法の筒,GDB1-JP039,nomal,0
炸裂装甲,GDB1-JP040,nomal,0
闇の仮面,GDB1-JP041,nomal,0
霊滅術師 カイクウ,GDB1-JP042,nomal,0
お注射天使リリー,GDB1-JP043,nomal,0
異次元の女戦士,GDB1-JP044,nomal,0
カオス・ソーサラー,GDB1-JP045,nomal,0
炎帝テスタロス,GDB1-JP046,nomal,0
ライトロード・ハンター ライコウ,GDB1-JP047,nomal,0
キメラテック・フォートレス・ドラゴン,GDB1-JP048,nomal,0
氷結界の龍 グングニール,GDB1-JP049,nomal,0
氷結界の龍 トリシューラ,GDB1-JP050,nomal,0
抹殺の使徒,GDB1-JP051,nomal,0
ブラック・ホール,GDB1-JP052,nomal,0
団結の力,GDB1-JP053,nomal,0
フォース,GDB1-JP054,nomal,0
終焉の焔,GDB1-JP055,nomal,0
砂塵の大竜巻,GDB1-JP056,nomal,0
停戦協定,GDB1-JP057,nomal,0
落とし穴,GDB1-JP058,nomal,0
強制脱出装置,GDB1-JP059,nomal,0
万能地雷グレイモヤ,GDB1-JP060,nomal,0
カオスポッド,GDB1-JP061,nomal,0
昇霊術師 ジョウゲン,GDB1-JP062,nomal,0
溶岩魔神ラヴァ・ゴーレム,GDB1-JP063,nomal,0
カオス・ソルジャー －開闢の使者－,GDB1-JP064,nomal,0
雷帝ザボルグ,GDB1-JP065,nomal,0
Ｄ.Ｄ.クロウ,GDB1-JP066,nomal,0
終末の騎士,GDB1-JP067,nomal,0
ローンファイア・ブロッサム,GDB1-JP068,nomal,0
スターダスト・ドラゴン,GDB1-JP069,nomal,0
発条機雷ゼンマイン,GDB1-JP070,nomal,0
魂の解放,GDB1-JP071,nomal,0
強制転移,GDB1-JP072,nomal,0
王家の眠る谷－ネクロバレー,GDB1-JP073,nomal,0
エネミーコントローラー,GDB1-JP074,nomal,0
強欲で謙虚な壺,GDB1-JP075,nomal,0
グラヴィティ・バインド－超重力の網－,GDB1-JP076,nomal,0
ウィジャ盤,GDB1-JP077,nomal,0
ゴッドバードアタック,GDB1-JP078,nomal,0
次元幽閉,GDB1-JP079,nomal,0
スターライト・ロード,GDB1-JP080,nomal,0
