name,card_id,rare,stock
ＢＦ－熱風のギブリ,TSHD-JP001,nomal,0
ＢＦ－逆風のガスト,TSHD-JP002,Rare,0
ＢＦ－そよ風のブリーズ,TSHD-JP003,Super,0
チェンジ・シンクロン,TSHD-JP004,nomal,0
カード・ブレイカー,TSHD-JP005,Rare,0
セカンド・ブースター,TSHD-JP006,nomal,0
インターセプト・デーモン,TSHD-JP007,nomal,0
ドレッド・ドラゴン,TSHD-JP008,Rare,0
トラスト・ガーディアン,TSHD-JP009,Super,0
フレア・リゾネーター,TSHD-JP010,nomal,0
シンクロ・マグネーター,TSHD-JP011,nomal,0
インフェルニティ・ミラージュ,TSHD-JP012,nomal,0
インフェルニティ・リローダー,TSHD-JP013,nomal,0
インフェルニティ・ビートル,TSHD-JP014,nomal,0
インフェルニティ・リベンジャー,TSHD-JP015,Rare,0
返り咲く薔薇の大輪,TSHD-JP016,Rare,0
Ｄ・クリーナン,TSHD-JP017,Rare,0
ローズ・バード,TSHD-JP018,Super,0
スポーア,TSHD-JP019,nomal,0
フェアリー・アーチャー,TSHD-JP020,nomal,0
バイオファルコン,TSHD-JP021,nomal,0
プチトマボー,TSHD-JP022,Rare,0
マジドッグ,TSHD-JP023,Super,0
光霊使いライナ,TSHD-JP024,nomal,0
エレキリン,TSHD-JP025,Super,0
エレキツネ,TSHD-JP026,nomal,0
エレキツツキ,TSHD-JP027,nomal,0
コアキメイル・サンドマン,TSHD-JP028,Rare,0
記憶破壊王,TSHD-JP029,nomal,0
デルタトライ,TSHD-JP030,Rare,0
トライゴン,TSHD-JP031,nomal,0
かつて神と呼ばれた亀,TSHD-JP032,N-Rare,0
粋カエル,TSHD-JP033,Rare,0
電池メン－単四型,TSHD-JP034,nomal,0
燃料電池メン,TSHD-JP035,Rare,0
キーマウス,TSHD-JP036,nomal,0
Ａ・Ｏ・Ｊ コアデストロイ,TSHD-JP037,nomal,0
黒羽を狩る者,TSHD-JP038,N-Rare,0
神光の宣告者,TSHD-JP039,Super,0
ブラックフェザー・ドラゴン,TSHD-JP040,Ultra,0
ブラックフェザー・ドラゴン,TSHD-JP040,Ultimate,0
ブラックフェザー・ドラゴン,TSHD-JP040,Holographic,0
デーモン・カオス・キング,TSHD-JP041,Ultra,0
デーモン・カオス・キング,TSHD-JP041,Ultimate,0
インフェルニティ・デス・ドラゴン,TSHD-JP042,Ultra,0
インフェルニティ・デス・ドラゴン,TSHD-JP042,Ultimate,0
スプレンディッド・ローズ,TSHD-JP043,Ultra,0
スプレンディッド・ローズ,TSHD-JP043,Ultimate,0
カオス・ゴッデス－混沌の女神－,TSHD-JP044,Ultra,0
カオス・ゴッデス－混沌の女神－,TSHD-JP044,Ultimate,0
ブラックフェザー・シュート,TSHD-JP045,nomal,0
黒羽の宝札,TSHD-JP046,Rare,0
ＺＥＲＯ－ＭＡＸ,TSHD-JP047,Rare,0
インフェルニティガン,TSHD-JP048,nomal,0
無の煉獄,TSHD-JP049,Rare,0
妨害電波,TSHD-JP050,Super,0
奇跡のピラミッド,TSHD-JP051,nomal,0
天空の泉,TSHD-JP052,nomal,0
ドラゴンレーザー,TSHD-JP053,nomal,0
エレキューブ,TSHD-JP054,nomal,0
電磁シールド,TSHD-JP055,nomal,0
ワーム・コール,TSHD-JP056,nomal,0
氷結界の三方陣,TSHD-JP057,nomal,0
鋼核初期化,TSHD-JP058,nomal,0
宣告者の預言,TSHD-JP059,nomal,0
墓地封印,TSHD-JP060,Rare,0
シャイニング・アブソーブ,TSHD-JP061,nomal,0
苦痛の回廊,TSHD-JP062,N-Rare,0
パワー・フレーム,TSHD-JP063,Super,0
ＢＦ－バックフラッシュ,TSHD-JP064,nomal,0
ＢＦ－アンカー,TSHD-JP065,nomal,0
ブラック・サンダー,TSHD-JP066,nomal,0
ボム・ガード,TSHD-JP067,Rare,0
インフェルニティ・リフレクター,TSHD-JP068,nomal,0
インフェルニティ・ブレイク,TSHD-JP069,nomal,0
ダメージ・ゲート,TSHD-JP070,Super,0
インフェルニティ・インフェルノ,TSHD-JP071,Rare,0
ハンドレス・フェイク,TSHD-JP072,nomal,0
アサルト・スピリッツ,TSHD-JP073,nomal,0
ブロッサム・ボンバー,TSHD-JP074,nomal,0
Ｄ・スクランブル,TSHD-JP075,nomal,0
パワー・ブレイク,TSHD-JP076,nomal,0
コアキメイルの障壁,TSHD-JP077,nomal,0
異次元への隙間,TSHD-JP078,Rare,0
シンクロ・イジェクション,TSHD-JP079,nomal,0
混沌の落とし穴,TSHD-JP080,N-Rare,0
