name,card_id,rare,stock
アルラウネ,,nomal,0
アンモ・ナイト,,nomal,0
ウンディーネ,,nomal,0
大食いグール,,nomal,0
クレイジー・フィッシュ,,nomal,0
ケンタウロス,,nomal,0
トゥーン・アリゲーター,,nomal,0
東方の英雄,,nomal,0
呪われし魔剣,,nomal,0
プリヴェント・ラット,,nomal,0
マーダーサーカス・ゾンビ,,nomal,0
闇・道化師のサギー,,nomal,0
レインボー・フィッシュ,,nomal,0
レッド・エース,,nomal,0
アイアン・ハート,,nomal,0
幻想師・ノー・フェイス,,nomal,0
機械の兵隊,,nomal,0
ギガント,,nomal,0
巨大な怪鳥,,nomal,0
キラー・マシーン,,nomal,0
クラッシュマン,,nomal,0
ゲート・キーパー,,nomal,0
ダーク・キメラ,,nomal,0
振り子刃の拷問機械,,nomal,0
密林の黒竜王,,nomal,0
鎧武者斬鬼,,nomal,0
ロイヤルガード,,nomal,0
ＴＭ－１ランチャースパイダー,,nomal,0
異次元の戦士,,Super,0
雷仙人,,nomal,0
クリボー,,N-Rare,0
ダーク・エルフ,,nomal,0
剣の女王,,Rare,0
薄幸の美少女,,Super,0
マタンゴ,,nomal,0
カタパルト・タートル,,Super,0
サンダー・ドラゴン,,Rare,0
バーバリアン１号,,nomal,0
バーバリアン２号,,nomal,0
リボルバー・ドラゴン,,Ultra,0
双頭の雷龍,,Ultra,0
ミノケンタウロス,,nomal,0
迷宮の魔戦車,,nomal,0
メカ・ザウルス,,nomal,0
火炎地獄,,Rare,0
『攻撃』封じ,,nomal,0
細菌感染,,Rare,0
しびれ薬,,Rare,0
執念の剣,,nomal,0
右手に盾を左手に剣を,,Ultra,0
追い剥ぎゴブリン,,Super,0
聖なるバリア －ミラーフォース－,,Secret,0
聖なるバリア －ミラーフォース－,,Parallel,0
