name,card_id,rare,stock
アナザー・バース・ドラゴン,WPP5-JP000,Quarter Century Secret,0
闘炎の剣士,WPP5-JP001,Super,0
闘炎の剣士,WPP5-JP001,Secret,0
飛龍炎サラマンドラ,WPP5-JP002,Rare,0
幻炎の剣士－ミラージュ・ソードマン－,WPP5-JP003,nomal,0
極炎の剣士,WPP5-JP004,Ultra,0
極炎の剣士,WPP5-JP004,Secret,0
闘気炎斬龍,WPP5-JP005,nomal,0
炎の剣域,WPP5-JP006,Rare,0
サラマンドラ・フュージョン,WPP5-JP007,nomal,0
闘気炎斬剣,WPP5-JP008,Super,0
闘気炎斬剣,WPP5-JP008,Secret,0
鎖付き飛龍炎刃,WPP5-JP009,nomal,0
炎の剣舞,WPP5-JP010,nomal,0
炎の剣士,WPP5-JP011,Normal,0
炎の剣士,WPP5-JP011,Secret,0
黒炎の騎士－ブラック・フレア・ナイト－,WPP5-JP012,nomal,0
幻影の騎士－ミラージュ・ナイト－,WPP5-JP013,nomal,0
結晶神ティスティナ,WPP5-JP014,Super,0
結晶神ティスティナ,WPP5-JP014,Secret,0
ティスティナの半神,WPP5-JP015,Rare,0
ティスティナの歩哨,WPP5-JP016,Rare,0
ティスティナの猟犬,WPP5-JP017,nomal,0
ティスティナの落とし仔,WPP5-JP018,Rare,0
ティスティナの還り仔,WPP5-JP019,nomal,0
ティスティナの瘴神,WPP5-JP020,nomal,0
神蝕む光 ティスティナ,WPP5-JP021,Ultra,0
神蝕む光 ティスティナ,WPP5-JP021,Secret,0
神域 バ＝ティスティナ,WPP5-JP022,Super,0
神域 バ＝ティスティナ,WPP5-JP022,Secret,0
ティスティナの戯れ,WPP5-JP023,nomal,0
ティスティナの息吹,WPP5-JP024,Rare,0
ティスティナの胎動,WPP5-JP025,nomal,0
ティスティナの抱擁,WPP5-JP026,nomal,0
ティスティナの変晶,WPP5-JP027,nomal,0
滅亡龍 ヴェイドス,WPP5-JP028,Super,0
滅亡龍 ヴェイドス,WPP5-JP028,Secret,0
灰滅せし都の王,WPP5-JP029,nomal,0
灰滅せし都の英雄,WPP5-JP030,Rare,0
灰滅せし都の巫女,WPP5-JP031,Super,0
灰滅せし都の巫女,WPP5-JP031,Secret,0
灰滅せし都の呪術師,WPP5-JP032,nomal,0
灰滅せし都の先懸,WPP5-JP033,nomal,0
滅亡き闇 ヴェイドス,WPP5-JP034,Ultra,0
滅亡き闇 ヴェイドス,WPP5-JP034,Secret,0
灰滅せし成れの果て,WPP5-JP035,Rare,0
灰滅の都 オブシディム,WPP5-JP036,Rare,0
ヴェイドスの目覚め,WPP5-JP037,Super,0
ヴェイドスの目覚め,WPP5-JP037,Secret,0
灰滅の復燃,WPP5-JP038,nomal,0
灰滅の憤怒,WPP5-JP039,nomal,0
終わりなき灰滅,WPP5-JP040,nomal,0
果てなき灰滅,WPP5-JP041,nomal,0
竜葬主－ヴィブリアル,WPP5-JP042,Ultra,0
竜葬主－ヴィブリアル,WPP5-JP042,Secret,0
屍界塔フィニステラ,WPP5-JP043,nomal,0
密林に潜む者,WPP5-JP044,nomal,0
半纏鳥官－コンバード,WPP5-JP045,nomal,0
アセット・マウンティス,WPP5-JP046,nomal,0
黄鉄の愚騎士,WPP5-JP047,Rare,0
クリシュナード・ウィッチ,WPP5-JP048,Super,0
クリシュナード・ウィッチ,WPP5-JP048,Secret,0
狂愛の竜娘アイザ,WPP5-JP049,nomal,0
ムカデの進軍,WPP5-JP050,nomal,0
毘龍之謙,WPP5-JP051,nomal,0
虎菱之玄,WPP5-JP052,nomal,0
サイコ・プロセッサー,WPP5-JP053,nomal,0
ズットモザウルス,WPP5-JP054,nomal,0
響魔従トライコーン,WPP5-JP055,Rare,0
脚納母艦ブラキオーバー,WPP5-JP056,nomal,0
帯刃龍 カイベルト,WPP5-JP057,Rare,0
ピットナイト・フィル,WPP5-JP058,Rare,0
盛悴のリザルドーズ,WPP5-JP059,Rare,0
エレキック・ファイティング・ポーター,WPP5-JP060,nomal,0
大電脳兵廠,WPP5-JP061,nomal,0
サンセット・ビート,WPP5-JP062,nomal,0
スワローズ・カウリー,WPP5-JP063,nomal,0
エクシーズ・フォース,WPP5-JP064,nomal,0
バーバリアン・エコーズ,WPP5-JP065,Rare,0
多元宇宙,WPP5-JP066,nomal,0
シンクロ・フォースバック,WPP5-JP067,nomal,0
緊急アポート,WPP5-JP068,nomal,0
想定ＧＵＹＳ,WPP5-JP069,nomal,0
原始生命態ティア,WPP5-JP070,Ultra,0
原始生命態ティア,WPP5-JP070,Secret,0
マインド・キャスリン,WPP5-JP071,Ultra,0
マインド・キャスリン,WPP5-JP071,Secret,0
多層融合,WPP5-JP072,Rare,0
聖域に仕えし練達の魔導師,WPP5-JP073,Ex-Secret,0
臨界竜ゲートブリジオ,WPP5-JP074,Ex-Secret,0
