name,card_id,rare,stock
バトルフットボーラー,304-001,nomal,0
忍犬ワンダードッグ,304-002,nomal,0
アクロバットモンキー,304-003,nomal,0
ウェポンサモナー,304-004,nomal,0
ガーディアン・エルマ,304-005,nomal,0
ガーディアン・シール,304-006,Ultra,0
ガーディアン・シール,304-006,Parallel,0
ガーディアン・グラール,304-007,Ultra,0
ガーディアン・グラール,304-007,Parallel,0
ガーディアン・バオウ,304-008,Rare,0
ガーディアン・ケースト,304-009,nomal,0
ガーディアン・トライス,304-010,Rare,0
サイバー・レイダー,304-011,nomal,0
魔鏡導士リフレクト・バウンダー,304-012,Super,0
リトル・ウィンガード,304-013,nomal,0
デスグレムリン,304-014,Ultra,0
デスグレムリン,304-014,Parallel,0
異次元竜 トワイライトゾーンドラゴン,304-015,N-Rare,0
天界王 シナト,304-016,N-Rare,0
黒炎の騎士－ブラック・フレア・ナイト－,304-017,N-Rare,0
幻影の騎士－ミラージュ・ナイト－,304-018,N-Rare,0
バーサーク・デッド・ドラゴン,304-019,N-Rare,0
エクゾディア・ネクロス,304-020,N-Rare,0
逆ギレパンダ,304-021,Rare,0
盲信するゴブリン,304-022,nomal,0
闇より出でし絶望,304-023,nomal,0
合成魔獣 ガーゼット,304-024,nomal,0
闇よりの恐怖,304-025,Rare,0
黒蠍－逃げ足のチック,304-026,nomal,0
異次元の女戦士,304-027,Super,0
針千本,304-028,nomal,0
奇跡の方舟,304-029,nomal,0
デーモンとの駆け引き,304-030,nomal,0
エクゾディアとの契約,304-031,nomal,0
蝶の短剣－エルマ,304-032,Super,0
流星の弓－シール,304-033,nomal,0
重力の斧－グラール,304-034,nomal,0
破邪の大剣－バオウ,304-035,Super,0
静寂のロッド－ケースト,304-036,nomal,0
閃光の双剣－トライス,304-037,nomal,0
冥界の宝札,304-038,nomal,0
心眼の鉾,304-039,nomal,0
泉の精霊,304-040,nomal,0
トークン収穫祭,304-041,nomal,0
士気高揚,304-042,nomal,0
絶対魔法禁止区域,304-043,nomal,0
異次元隔離マシーン,304-044,Rare,0
最終突撃命令,304-045,nomal,0
立ちはだかる強敵,304-046,nomal,0
おジャマトリオ,304-047,nomal,0
武器庫荒らし,304-048,nomal,0
スキルドレイン,304-049,Rare,0
大成仏,304-050,nomal,0
カイザー・グライダー,304-051,Secret,0
カイザー・グライダー,304-051,Ultimate,0
亜空間物質転送装置,304-052,Secret,0
コストダウン,304-053,Secret,0
カオス・ソルジャー,304-054,Ultimate,0
