name,card_id,rare,stock
幻殻竜,CORE-JP001,Rare,0
召喚師ライズベルト,CORE-JP002,N-Rare,0
相克の魔術師,CORE-JP003,Super,0
相克の魔術師,CORE-JP003,Secret,0
相生の魔術師,CORE-JP004,Super,0
相生の魔術師,CORE-JP004,Secret,0
ＥＭラクダウン,CORE-JP005,nomal,0
ＥＭドラミング・コング,CORE-JP006,nomal,0
超重武者タイマ－２,CORE-JP007,nomal,0
幻奏の音女オペラ,CORE-JP008,nomal,0
幻奏の音女タムタム,CORE-JP009,nomal,0
ファーニマル・マウス,CORE-JP010,nomal,0
ＤＤパンドラ,CORE-JP011,nomal,0
クリスタル・ローズ,CORE-JP012,nomal,0
ＲＲ－ファジー・レイニアス,CORE-JP013,Rare,0
ＲＲ－シンギング・レイニアス,CORE-JP014,nomal,0
Ｅｍダメージ・ジャグラー,CORE-JP015,nomal,0
Ｅｍフレイム・イーター,CORE-JP016,Rare,0
Ｅｍハットトリッカー,CORE-JP017,nomal,0
Ｅｍトリック・クラウン,CORE-JP018,nomal,0
Ｅｍスティルツ・シューター,CORE-JP019,Rare,0
真紅眼の黒炎竜,CORE-JP020,Super,0
真紅眼の黒炎竜,CORE-JP020,Secret,0
伝説の黒石,CORE-JP021,Rare,0
黒鋼竜,CORE-JP022,nomal,0
真紅眼の凶雷皇－エビル・デーモン,CORE-JP023,Super,0
真紅眼の凶雷皇－エビル・デーモン,CORE-JP023,Secret,0
霊廟の守護者,CORE-JP024,nomal,0
竜剣士ラスターＰ,CORE-JP025,Super,0
竜剣士ラスターＰ,CORE-JP025,Secret,0
イグナイト・マグナム,CORE-JP026,nomal,0
イグナイト・イーグル,CORE-JP027,nomal,0
イグナイト・ドラグノフ,CORE-JP028,nomal,0
イグナイト・マスケット,CORE-JP029,nomal,0
イグナイト・ライオット,CORE-JP030,nomal,0
イグナイト・キャリバー,CORE-JP031,nomal,0
イグナイト・アヴェンジャー,CORE-JP032,Rare,0
イグナイト・スティンガー,CORE-JP033,Super,0
イグナイト・スティンガー,CORE-JP033,Secret,0
アロマージ－ジャスミン,CORE-JP034,Super,0
アロマージ－ジャスミン,CORE-JP034,Secret,0
アロマージ－カナンガ,CORE-JP035,nomal,0
アロマージ－ローズマリー,CORE-JP036,nomal,0
アロマージ－ベルガモット,CORE-JP037,Rare,0
アロマポット,CORE-JP038,nomal,0
インフェルノイド・デカトロン,CORE-JP039,Rare,0
獄落鳥,CORE-JP040,nomal,0
マジカル・アブダクター,CORE-JP041,Rare,0
エキセントリック・デーモン,CORE-JP042,nomal,0
トゥーン・サイバー・ドラゴン,CORE-JP043,Rare,0
ブンボーグ００５,CORE-JP044,nomal,0
応戦するＧ,CORE-JP045,N-Rare,0
ＤＤＤ神託王ダルク,CORE-JP046,Rare,0
ジェムナイトレディ・ブリリアント・ダイヤ,CORE-JP047,Rare,0
悪魔竜ブラック・デーモンズ・ドラゴン,CORE-JP048,Ultra,0
悪魔竜ブラック・デーモンズ・ドラゴン,CORE-JP048,Ultimate,0
悪魔竜ブラック・デーモンズ・ドラゴン,CORE-JP048,Secret,0
インフェルノイド・ティエラ,CORE-JP049,Ultra,0
インフェルノイド・ティエラ,CORE-JP049,Ultimate,0
インフェルノイド・ティエラ,CORE-JP049,Secret,0
爆竜剣士イグニスターＰ,CORE-JP050,Ultra,0
爆竜剣士イグニスターＰ,CORE-JP050,Ultimate,0
爆竜剣士イグニスターＰ,CORE-JP050,Secret,0
覇王黒竜オッドアイズ・リベリオン・ドラゴン,CORE-JP051,Ultra,0
覇王黒竜オッドアイズ・リベリオン・ドラゴン,CORE-JP051,Ultimate,0
覇王黒竜オッドアイズ・リベリオン・ドラゴン,CORE-JP051,Secret,0
覇王黒竜オッドアイズ・リベリオン・ドラゴン,CORE-JP051,Holographic,0
ＤＤＤ狙撃王テル,CORE-JP052,Ultra,0
ＤＤＤ狙撃王テル,CORE-JP052,Ultimate,0
ＤＤＤ狙撃王テル,CORE-JP052,Secret,0
Ｅｍトラピーズ・マジシャン,CORE-JP053,Rare,0
真紅眼の鋼炎竜,CORE-JP054,Ultra,0
真紅眼の鋼炎竜,CORE-JP054,Ultimate,0
真紅眼の鋼炎竜,CORE-JP054,Secret,0
ピアニッシモ,CORE-JP055,nomal,0
ブリリアント・フュージョン,CORE-JP056,nomal,0
ＲＵＭ－ラプターズ・フォース,CORE-JP057,Rare,0
バリア・バブル,CORE-JP058,nomal,0
真紅眼融合,CORE-JP059,Rare,0
紅玉の宝札,CORE-JP060,nomal,0
イグニッションＰ,CORE-JP061,nomal,0
アロマガーデン,CORE-JP062,nomal,0
煉獄の虚夢,CORE-JP063,Super,0
煉獄の虚夢,CORE-JP063,Secret,0
一騎加勢,CORE-JP064,nomal,0
捕違い,CORE-JP065,Rare,0
揺れる眼差し,CORE-JP066,nomal,0
チキンレース,CORE-JP067,N-Rare,0
ブリリアント・スパーク,CORE-JP068,nomal,0
ＲＲ－リターン,CORE-JP069,nomal,0
ラプターズ・ガスト,CORE-JP070,nomal,0
トリック・ボックス,CORE-JP071,nomal,0
真紅眼の鎧旋,CORE-JP072,nomal,0
イグナイト・バースト,CORE-JP073,Rare,0
潤いの風,CORE-JP074,nomal,0
渇きの風,CORE-JP075,nomal,0
神風のバリア －エア・フォース－,CORE-JP076,Super,0
神風のバリア －エア・フォース－,CORE-JP076,Secret,0
イタチの大暴発,CORE-JP077,nomal,0
裁きの天秤,CORE-JP078,nomal,0
臨時収入,CORE-JP079,Rare,0
副作用？,CORE-JP080,N-Rare,0
矮星竜 プラネター,CORE-JP081,nomal,0
魔神アーク・マキナ,CORE-JP082,nomal,0
