name,card_id,rare,stock
先史遺産アステカ・マスク・ゴーレム,CPZ1-JP001,nomal,0
先史遺産カブレラの投石機,CPZ1-JP002,nomal,0
先史遺産マッドゴーレム・シャコウキ,CPZ1-JP003,nomal,0
先史遺産ソル・モノリス,CPZ1-JP004,nomal,0
ギミック・パペット－ボム・エッグ,CPZ1-JP005,nomal,0
ギミック・パペット－ギア・チェンジャー,CPZ1-JP006,nomal,0
ギミック・パペット－ナイト・ジョーカー,CPZ1-JP007,nomal,0
ギミック・パペット－シザー・アーム,CPZ1-JP008,nomal,0
ギミック・パペット－ナイトメア,CPZ1-JP009,nomal,0
Ｈ・Ｃ アンブッシュ・ソルジャー,CPZ1-JP010,nomal,0
Ｈ・Ｃ クラスプ・ナイフ,CPZ1-JP011,nomal,0
幻蝶の刺客オオルリ,CPZ1-JP012,nomal,0
おもちゃ箱,CPZ1-JP013,nomal,0
腐乱犬,CPZ1-JP014,nomal,0
アイアイアン,CPZ1-JP015,nomal,0
ブリキンギョ,CPZ1-JP016,Rare,0
ネジマキシキガミ,CPZ1-JP017,nomal,0
Ｎｏ.５４ 反骨の闘士ライオンハート,CPZ1-JP018,Ultra,0
Ｎｏ.５４ 反骨の闘士ライオンハート,CPZ1-JP018,Collectors,0
Ｎｏ.１５ ギミック・パペット－ジャイアントキラー,CPZ1-JP019,Rare,0
Ｎｏ.３３ 先史遺産－超兵器マシュ＝マック,CPZ1-JP020,Rare,0
Ｎｏ.４４ 白天馬スカイ・ペガサス,CPZ1-JP021,Ultra,0
Ｎｏ.４４ 白天馬スカイ・ペガサス,CPZ1-JP021,Collectors,0
Ｎｏ.４９ 秘鳥フォーチュンチュン,CPZ1-JP022,Rare,0
Ｎｏ.５７ 奮迅竜トレスラグーン,CPZ1-JP023,Rare,0
Ｎｏ.６３ おしゃもじソルジャー,CPZ1-JP024,Rare,0
Ｎｏ.７４ マジカル・クラウン－ミッシング・ソード,CPZ1-JP025,Super,0
Ｎｏ.７４ マジカル・クラウン－ミッシング・ソード,CPZ1-JP025,Collectors,0
Ｎｏ.８５ クレイジー・ボックス,CPZ1-JP026,Rare,0
Ｎｏ.８７ 雪月花美神クイーン・オブ・ナイツ,CPZ1-JP027,Rare,0
機装天使エンジネル,CPZ1-JP028,nomal,0
ＣＸ 機装魔人エンジェネラル,CPZ1-JP029,Rare,0
ＣＸ 熱血指導神アルティメットレーナー,CPZ1-JP030,Rare,0
風紀宮司ノリト,CPZ1-JP031,Super,0
風紀宮司ノリト,CPZ1-JP031,Collectors,0
ＣＸ 風紀大宮司サイモン,CPZ1-JP032,Ultra,0
ＣＸ 風紀大宮司サイモン,CPZ1-JP032,Collectors,0
ＣＨキング・アーサー,CPZ1-JP033,Rare,0
ＣＸ－ＣＨレジェンド・アーサー,CPZ1-JP034,Super,0
ＣＸ－ＣＨレジェンド・アーサー,CPZ1-JP034,Collectors,0
烈華砲艦ナデシコ,CPZ1-JP035,nomal,0
ＣＸ 激烈華戦艦タオヤメ,CPZ1-JP036,Super,0
ＣＸ 激烈華戦艦タオヤメ,CPZ1-JP036,Collectors,0
超巨大空中宮殿ガンガリディア,CPZ1-JP037,Super,0
超巨大空中宮殿ガンガリディア,CPZ1-JP037,Collectors,0
ＣＸ 超巨大空中要塞バビロン,CPZ1-JP038,Ultra,0
ＣＸ 超巨大空中要塞バビロン,CPZ1-JP038,Collectors,0
フォトン・アレキサンドラ・クィーン,CPZ1-JP039,Super,0
フォトン・アレキサンドラ・クィーン,CPZ1-JP039,Collectors,0
ナイト・バタフライ・アサシン,CPZ1-JP040,nomal,0
虚構王アンフォームド・ボイド,CPZ1-JP041,nomal,0
プリンセス・コロン,CPZ1-JP042,Ultra,0
プリンセス・コロン,CPZ1-JP042,Collectors,0
ブリキの大公,CPZ1-JP043,nomal,0
傀儡儀式－パペット・リチューアル,CPZ1-JP044,Rare,0
ストイック・チャレンジ,CPZ1-JP045,nomal,0
オーバーレイ・キャプチャー,CPZ1-JP046,nomal,0
アイアンコール,CPZ1-JP047,nomal,0
ナンバーズ・ウォール,CPZ1-JP048,nomal,0
紋章の記録,CPZ1-JP049,nomal,0
幻蝶の護り,CPZ1-JP050,nomal,0
