name,card_id,rare,stock
伝説の騎士 ティマイオス,CPL1-JP001,Ultra,0
伝説の騎士 ティマイオス,CPL1-JP001,Collectors,0
クリバンデット,CPL1-JP002,Rare,0
呪符竜,CPL1-JP003,Ultra,0
呪符竜,CPL1-JP003,Collectors,0
竜騎士ブラック・マジシャン・ガール,CPL1-JP004,Ultra,0
竜騎士ブラック・マジシャン・ガール,CPL1-JP004,Collectors,0
ティマイオスの眼,CPL1-JP005,Super,0
ティマイオスの眼,CPL1-JP005,Collectors,0
レジェンド・オブ・ハート,CPL1-JP006,Rare,0
狂戦士の魂,CPL1-JP007,Rare,0
魂のリレー,CPL1-JP008,nomal,0
ガーディアン・エアトス,CPL1-JP009,Super,0
ガーディアン・エアトス,CPL1-JP009,Collectors,0
ガーディアン・デスサイス,CPL1-JP010,Super,0
ガーディアン・デスサイス,CPL1-JP010,Collectors,0
女神の聖剣－エアトス,CPL1-JP011,nomal,0
死神の大鎌－デスサイス,CPL1-JP012,nomal,0
守護神の宝札,CPL1-JP013,nomal,0
ソウル・チャージ,CPL1-JP014,nomal,0
賢者の石－サバティエル,CPL1-JP015,Rare,0
瞬間融合,CPL1-JP016,nomal,0
決闘融合－バトル・フュージョン,CPL1-JP017,nomal,0
決戦融合－ファイナル・フュージョン,CPL1-JP018,nomal,0
ペアサイクロイド,CPL1-JP019,nomal,0
エアーズロック・サンライズ,CPL1-JP020,nomal,0
ドゥーブルパッセ,CPL1-JP021,nomal,0
カーボネドン,CPL1-JP022,nomal,0
マスマティシャン,CPL1-JP023,Super,0
マスマティシャン,CPL1-JP023,Collectors,0
ラーの使徒,CPL1-JP024,nomal,0
神縛りの塚,CPL1-JP025,Rare,0
シューティング・スター,CPL1-JP026,nomal,0
ＢＦ－突風のオロシ,CPL1-JP027,Rare,0
ＢＦ－隠れ蓑のスチーム,CPL1-JP028,Rare,0
ＢＦ－竜巻のハリケーン,CPL1-JP029,nomal,0
ブラック・ソニック,CPL1-JP030,nomal,0
ブラック・リベンジ,CPL1-JP031,nomal,0
シャドー・インパルス,CPL1-JP032,nomal,0
アサルト・ガンドッグ,CPL1-JP033,nomal,0
ゲート・ブロッカー,CPL1-JP034,Rare,0
ギャクタン,CPL1-JP035,nomal,0
勇気機関車ブレイブポッポ,CPL1-JP036,nomal,0
豪腕特急トロッコロッコ,CPL1-JP037,nomal,0
工作列車シグナル・レッド,CPL1-JP038,Rare,0
機関連結,CPL1-JP039,nomal,0
ＣＮｏ.７３ 激瀧瀑神アビス・スープラ,CPL1-JP040,Super,0
ＣＮｏ.７３ 激瀧瀑神アビス・スープラ,CPL1-JP040,Collectors,0
ＲＵＭ－クイック・カオス,CPL1-JP041,Ultra,0
ＲＵＭ－クイック・カオス,CPL1-JP041,Collectors,0
ＣＮｏ.５ 亡朧龍 カオス・キマイラ・ドラゴン,CPL1-JP042,Rare,0
ＲＵＭ－千死蛮巧,CPL1-JP043,Ultra,0
ＲＵＭ－千死蛮巧,CPL1-JP043,Collectors,0
マジック・ハンド,CPL1-JP044,nomal,0
ファイヤー・ハンド,CPL1-JP045,nomal,0
アイス・ハンド,CPL1-JP046,nomal,0
プロミネンス・ハンド,CPL1-JP047,nomal,0
Ｎｏ.１０６ 巨岩掌ジャイアント・ハンド,CPL1-JP048,Super,0
Ｎｏ.１０６ 巨岩掌ジャイアント・ハンド,CPL1-JP048,Collectors,0
オボミ,CPL1-JP049,Rare,0
ホープ剣スラッシュ,CPL1-JP050,Rare,0
