name,card_id,rare,stock
合神竜ティマイオス,CPD1-JP001,Ultra,0
合神竜ティマイオス,CPD1-JP001,Collectors,0
伝説の騎士 クリティウス,CPD1-JP002,Ultra,0
伝説の騎士 クリティウス,CPD1-JP002,Collectors,0
デス・ウイルス・ドラゴン,CPD1-JP003,Rare,0
タイラント・バースト・ドラゴン,CPD1-JP004,Rare,0
ミラーフォース・ドラゴン,CPD1-JP005,Rare,0
クリティウスの牙,CPD1-JP006,Super,0
クリティウスの牙,CPD1-JP006,Collectors,0
タイラント・ウィング,CPD1-JP007,nomal,0
伝説の騎士 ヘルモス,CPD1-JP008,Ultra,0
伝説の騎士 ヘルモス,CPD1-JP008,Collectors,0
タイムマジック・ハンマー,CPD1-JP009,nomal,0
ロケット・ヘルモス・キャノン,CPD1-JP010,Rare,0
女神の聖弓－アルテミス,CPD1-JP011,nomal,0
真紅眼の黒竜剣,CPD1-JP012,nomal,0
ヘルモスの爪,CPD1-JP013,Super,0
ヘルモスの爪,CPD1-JP013,Collectors,0
ルーレット・スパイダー,CPD1-JP014,N-Rare,0
ダブルマジックアームバインド,CPD1-JP015,Super,0
ダブルマジックアームバインド,CPD1-JP015,Collectors,0
ロード・オブ・ザ・レッド,CPD1-JP016,Ultra,0
ロード・オブ・ザ・レッド,CPD1-JP016,Collectors,0
レッドアイズ・トランスマイグレーション,CPD1-JP017,nomal,0
黒竜の聖騎士,CPD1-JP018,Super,0
黒竜の聖騎士,CPD1-JP018,Collectors,0
黒竜降臨,CPD1-JP019,nomal,0
レッドアイズ・スピリッツ,CPD1-JP020,Rare,0
レッドアイズ・バーン,CPD1-JP021,nomal,0
トゥーン・アンティーク・ギアゴーレム,CPD1-JP022,Rare,0
トゥーン・キングダム,CPD1-JP023,Rare,0
トゥーン・ロールバック,CPD1-JP024,nomal,0
シャドー・トゥーン,CPD1-JP025,nomal,0
コミックハンド,CPD1-JP026,nomal,0
コピーキャット,CPD1-JP027,nomal,0
トゥーン・マスク,CPD1-JP028,nomal,0
トゥーンのかばん,CPD1-JP029,nomal,0
占術姫コインノーマ,CPD1-JP030,Rare,0
占術姫ペタルエルフ,CPD1-JP031,nomal,0
占術姫ウィジャモリガン,CPD1-JP032,nomal,0
占術姫アローシルフ,CPD1-JP033,nomal,0
占術姫クリスタルウンディーネ,CPD1-JP034,nomal,0
聖占術姫タロットレイ,CPD1-JP035,Super,0
聖占術姫タロットレイ,CPD1-JP035,Collectors,0
聖占術の儀式,CPD1-JP036,nomal,0
黒猫の睨み,CPD1-JP037,nomal,0
リバース・リユース,CPD1-JP038,N-Rare,0
アクアアクトレス・テトラ,CPD1-JP039,nomal,0
アクアアクトレス・グッピー,CPD1-JP040,nomal,0
アクアアクトレス・アロワナ,CPD1-JP041,nomal,0
水舞台,CPD1-JP042,Rare,0
水舞台装置,CPD1-JP043,nomal,0
水照明,CPD1-JP044,nomal,0
水物語－ウラシマ,CPD1-JP045,Rare,0
