name,card_id,rare,stock
ＥＭファイア・マフライオ,SECE-JP001,nomal,0
ＥＭパートナーガ,SECE-JP002,nomal,0
ＥＭフレンドンキー,SECE-JP003,Rare,0
ＥＭスパイク・イーグル,SECE-JP004,nomal,0
ＥＭプラスタートル,SECE-JP005,nomal,0
ＥＭトランプ・ウィッチ,SECE-JP006,Rare,0
超重武者カゲボウ－Ｃ,SECE-JP007,Super,0
超重武者カゲボウ－Ｃ,SECE-JP007,Secret,0
超重武者ホラガ－Ｅ,SECE-JP008,Rare,0
超重武者装留イワトオシ,SECE-JP009,nomal,0
超重武者装留マカルガエシ,SECE-JP010,nomal,0
ＲＲ－バニシング・レイニアス,SECE-JP011,Rare,0
ジェムナイト・ラピス,SECE-JP012,nomal,0
インフェルノイド・ベルゼブル,SECE-JP013,Rare,0
インフェルノイド・ルキフグス,SECE-JP014,Rare,0
インフェルノイド・アスタロス,SECE-JP015,nomal,0
インフェルノイド・アシュメダイ,SECE-JP016,nomal,0
インフェルノイド・ヴァエル,SECE-JP017,nomal,0
インフェルノイド・アドラメレク,SECE-JP018,nomal,0
インフェルノイド・ネヘモス,SECE-JP019,Ultra,0
インフェルノイド・ネヘモス,SECE-JP019,Ultimate,0
インフェルノイド・ネヘモス,SECE-JP019,Secret,0
クリフォート・アセンブラ,SECE-JP020,Rare,0
クリフォート・アクセス,SECE-JP021,nomal,0
クリフォート・エイリアス,SECE-JP022,nomal,0
アポクリフォート・カーネル,SECE-JP023,Super,0
アポクリフォート・カーネル,SECE-JP023,Secret,0
星因士 カペラ,SECE-JP024,nomal,0
星因士 リゲル,SECE-JP025,nomal,0
妖仙獣 凶旋嵐,SECE-JP026,nomal,0
妖仙獣 辻斬風,SECE-JP027,nomal,0
影霊衣の舞姫,SECE-JP028,nomal,0
精霊獣 ラムペンタ,SECE-JP029,nomal,0
Ｄ・スマホン,SECE-JP030,nomal,0
人造人間－サイコ・ジャッカー,SECE-JP031,nomal,0
熟練の青魔道士,SECE-JP032,nomal,0
コアキメイル・オーバードーズ,SECE-JP033,Rare,0
ジゴバイト,SECE-JP034,nomal,0
怨邪帝ガイウス,SECE-JP035,Super,0
怨邪帝ガイウス,SECE-JP035,Secret,0
大狼雷鳴,SECE-JP036,Super,0
大狼雷鳴,SECE-JP036,Secret,0
避雷神,SECE-JP037,nomal,0
ドラゴンダウザー,SECE-JP038,nomal,0
フロント・オブザーバー,SECE-JP039,nomal,0
ユニゾンビ,SECE-JP040,Rare,0
ブンボーグ００３,SECE-JP041,nomal,0
真魔獣 ガーゼット,SECE-JP042,N-Rare,0
切り盛り隊長,SECE-JP043,N-Rare,0
グングニールの影霊衣,SECE-JP044,Ultra,0
グングニールの影霊衣,SECE-JP044,Ultimate,0
グングニールの影霊衣,SECE-JP044,Secret,0
ルーンアイズ・ペンデュラム・ドラゴン,SECE-JP045,Ultra,0
ルーンアイズ・ペンデュラム・ドラゴン,SECE-JP045,Ultimate,0
ルーンアイズ・ペンデュラム・ドラゴン,SECE-JP045,Secret,0
ルーンアイズ・ペンデュラム・ドラゴン,SECE-JP045,Holographic,0
ジェムナイトレディ・ラピスラズリ,SECE-JP046,Rare,0
エルシャドール・ウェンディゴ,SECE-JP047,Super,0
エルシャドール・ウェンディゴ,SECE-JP047,Secret,0
超重荒神スサノ－Ｏ,SECE-JP048,Ultra,0
超重荒神スサノ－Ｏ,SECE-JP048,Ultimate,0
