name,card_id,rare,stock
無限起動ハーヴェスター,DBIC-JP001,nomal,0
無限起動ロックアンカー,DBIC-JP002,nomal,0
無限起動キャンサークレーン,DBIC-JP003,Super,0
無限起動ドラグショベル,DBIC-JP004,nomal,0
無限起動トレンチャー,DBIC-JP005,nomal,0
無限起動スクレイパー,DBIC-JP006,nomal,0
無限起動リヴァーストーム,DBIC-JP007,Super,0
無限起動コロッサルマウンテン,DBIC-JP008,nomal,0
無限起動アースシェイカー,DBIC-JP009,Ultra,0
無限起動アースシェイカー,DBIC-JP009,Secret,0
無限起動ゴライアス,DBIC-JP010,nomal,0
無限起動要塞メガトンゲイル,DBIC-JP011,Super,0
超接地展開,DBIC-JP012,nomal,0
超信地旋回,DBIC-JP013,nomal,0
ウィッチクラフト・ポトリー,DBIC-JP014,Super,0
ウィッチクラフト・ピットレ,DBIC-JP015,nomal,0
ウィッチクラフト・シュミッタ,DBIC-JP016,nomal,0
ウィッチクラフト・エーデル,DBIC-JP017,Super,0
ウィッチクラフト・ハイネ,DBIC-JP018,Super,0
ウィッチクラフトマスター・ヴェール,DBIC-JP019,Ultra,0
ウィッチクラフトマスター・ヴェール,DBIC-JP019,Secret,0
ウィッチクラフト・クリエイション,DBIC-JP020,Super,0
ウィッチクラフト・サボタージュ,DBIC-JP021,nomal,0
ウィッチクラフト・コラボレーション,DBIC-JP022,nomal,0
ウィッチクラフト・ドレーピング,DBIC-JP023,nomal,0
ウィッチクラフト・バイストリート,DBIC-JP024,nomal,0
ウィッチクラフト・スクロール,DBIC-JP025,nomal,0
ウィッチクラフト・マスターピース,DBIC-JP026,nomal,0
呪眼の死徒 サリエル,DBIC-JP027,Super,0
呪眼の死徒 メドゥサ,DBIC-JP028,nomal,0
呪眼の眷属 カトブレパス,DBIC-JP029,nomal,0
呪眼の眷属 バジリウス,DBIC-JP030,nomal,0
呪眼の王 ザラキエル,DBIC-JP031,Ultra,0
呪眼の王 ザラキエル,DBIC-JP031,Secret,0
セレンの呪眼,DBIC-JP032,Super,0
呪眼領閾－パレイドリア－,DBIC-JP033,Super,0
喚忌の呪眼,DBIC-JP034,nomal,0
惨禍の呪眼,DBIC-JP035,nomal,0
静冠の呪眼,DBIC-JP036,Super,0
妬絶の呪眼,DBIC-JP037,nomal,0
死配の呪眼,DBIC-JP038,Super,0
断罪の呪眼,DBIC-JP039,nomal,0
対峙するＧ,DBIC-JP040,nomal,0
ジュラゲド,DBIC-JP041,nomal,0
アームズ・ホール,DBIC-JP042,nomal,0
魔法族の里,DBIC-JP043,nomal,0
ＲＵＭ－アストラル・フォース,DBIC-JP044,nomal,0
マーシャリング・フィールド,DBIC-JP045,nomal,0
