name,card_id,rare,stock
溟界の滓－ヌル,DBAG-JP001,Super,0
溟界の滓－ナイア,DBAG-JP002,Super,0
溟界の漠－フロギ,DBAG-JP003,nomal,0
溟界の漠－ゾーハ,DBAG-JP004,nomal,0
溟界の黄昏－カース,DBAG-JP005,Super,0
溟界の昏闇－アレート,DBAG-JP006,nomal,0
溟界王－アロン,DBAG-JP007,Super,0
溟界妃－アミュネシア,DBAG-JP008,nomal,0
溟界神－オグドアビス,DBAG-JP009,Ultra,0
溟界神－オグドアビス,DBAG-JP009,Secret,0
溟界の蛇睡蓮,DBAG-JP010,Super,0
溟界の淵源,DBAG-JP011,nomal,0
溟界の虚,DBAG-JP012,nomal,0
溟界の呼び蛟,DBAG-JP013,nomal,0
ドドレミコード・キューティア,DBAG-JP014,Super,0
レドレミコード・ドリーミア,DBAG-JP015,nomal,0
ミドレミコード・エリーティア,DBAG-JP016,nomal,0
ファドレミコード・ファンシア,DBAG-JP017,nomal,0
ソドレミコード・グレーシア,DBAG-JP018,Super,0
ラドレミコード・エンジェリア,DBAG-JP019,nomal,0
シドレミコード・ビューティア,DBAG-JP020,nomal,0
ドドレミコード・クーリア,DBAG-JP021,Ultra,0
ドドレミコード・クーリア,DBAG-JP021,Secret,0
ドレミコード・エレガンス,DBAG-JP022,Super,0
ドレミコード・スケール,DBAG-JP023,nomal,0
ドレミコード・ハルモニア,DBAG-JP024,nomal,0
ドレミコード・ムジカ,DBAG-JP025,nomal,0
ドレミコード・フォーマル,DBAG-JP026,nomal,0
ベアルクティ－ミクポーラ,DBAG-JP027,Super,0
ベアルクティ－ミクタナス,DBAG-JP028,nomal,0
ベアルクティ－ミクビリス,DBAG-JP029,nomal,0
ベアルクティ－メガポーラ,DBAG-JP030,nomal,0
ベアルクティ－メガタナス,DBAG-JP031,nomal,0
ベアルクティ－メガビリス,DBAG-JP032,nomal,0
ベアルクティ－ポラリィ,DBAG-JP033,Super,0
ベアルクティ－セプテン＝トリオン,DBAG-JP034,Ultra,0
ベアルクティ－セプテン＝トリオン,DBAG-JP034,Secret,0
ベアルクティ－グラン＝シャリオ,DBAG-JP035,Super,0
ベアルクティ・ディパーチャー,DBAG-JP036,Super,0
ベアルクティ・スライダー,DBAG-JP037,nomal,0
ベアルクティ・ビッグディッパー,DBAG-JP038,nomal,0
ベアルクティ・クィントチャージ,DBAG-JP039,nomal,0
クリスタル・ガール,DBAG-JP040,nomal,0
キングレムリン,DBAG-JP041,nomal,0
スネーク・レイン,DBAG-JP042,nomal,0
エアーズロック・サンライズ,DBAG-JP043,nomal,0
揺れる眼差し,DBAG-JP044,nomal,0
毒蛇の供物,DBAG-JP045,nomal,0
