name,card_id,rare,stock
魔救の追求者,DBSS-JP001,nomal,0
魔救の探索者,DBSS-JP002,Super,0
魔救の分析者,DBSS-JP003,nomal,0
魔救の奇石－レオナイト,DBSS-JP004,nomal,0
魔救の奇石－ラプタイト,DBSS-JP005,nomal,0
魔救の奇石－ドラガイト,DBSS-JP006,nomal,0
魔救の奇跡－レオナイト,DBSS-JP007,Super,0
魔救の奇跡－ラプタイト,DBSS-JP008,Super,0
魔救の奇跡－ドラガイト,DBSS-JP009,Ultra,0
魔救の奇跡－ドラガイト,DBSS-JP009,Secret,0
アダマシア・ラピュタイト,DBSS-JP010,nomal,0
魔救の息吹,DBSS-JP011,Super,0
魔救の救砕,DBSS-JP012,nomal,0
魔救共振撃,DBSS-JP013,nomal,0
六花のひとひら,DBSS-JP014,nomal,0
六花精プリム,DBSS-JP015,nomal,0
六花精シクラン,DBSS-JP016,nomal,0
六花精ボタン,DBSS-JP017,Super,0
六花精エリカ,DBSS-JP018,nomal,0
六花精スノードロップ,DBSS-JP019,Super,0
六花精ヘレボラス,DBSS-JP020,nomal,0
六花聖カンザシ,DBSS-JP021,Super,0
六花聖ティアドロップ,DBSS-JP022,Ultra,0
六花聖ティアドロップ,DBSS-JP022,Secret,0
六花絢爛,DBSS-JP023,Super,0
六花の風花,DBSS-JP024,nomal,0
六花深々,DBSS-JP025,nomal,0
六花の薄氷,DBSS-JP026,nomal,0
黄金卿エルドリッチ,DBSS-JP027,Ultra,0
黄金卿エルドリッチ,DBSS-JP027,Secret,0
呪われしエルドランド,DBSS-JP028,Super,0
黒き覚醒のエルドリクシル,DBSS-JP029,nomal,0
白き宿命のエルドリクシル,DBSS-JP030,nomal,0
紅き血染めのエルドリクシル,DBSS-JP031,Super,0
黄金郷のガーディアン,DBSS-JP032,nomal,0
黄金郷のワッケーロ,DBSS-JP033,nomal,0
黄金郷のコンキスタドール,DBSS-JP034,Super,0
永久に輝けし黄金郷,DBSS-JP035,Super,0
黄金の征服王,DBSS-JP036,nomal,0
怒気土器,DBSS-JP037,nomal,0
ブロックドラゴン,DBSS-JP038,nomal,0
薔薇恋人,DBSS-JP039,nomal,0
ローンファイア・ブロッサム,DBSS-JP040,nomal,0
椿姫ティタニアル,DBSS-JP041,nomal,0
ユニゾンビ,DBSS-JP042,nomal,0
成金ゴブリン,DBSS-JP043,nomal,0
ギャラクシー・サイクロン,DBSS-JP044,nomal,0
神の宣告,DBSS-JP045,nomal,0
