name,card_id,rare,stock
ヴァリアンツの巫女－東雲,DBTM-JP001,Super,0
ヴァリアンツの弓引－西園,DBTM-JP002,nomal,0
ヴァリアンツの忍者－南月,DBTM-JP003,nomal,0
ヴァリアンツの武者－北条,DBTM-JP004,nomal,0
ヴァリアンツＢ－バロン,DBTM-JP005,nomal,0
ヴァリアンツＶ－ヴァイカント,DBTM-JP006,nomal,0
ヴァリアンツＭ－マーキス,DBTM-JP007,nomal,0
ヴァリアンツＤ－デューク,DBTM-JP008,nomal,0
ヴァリアンツの聚－幻中,DBTM-JP009,Ultra,0
ヴァリアンツの聚－幻中,DBTM-JP009,Secret,0
ヴァリアンツＧ－グランデューク,DBTM-JP010,Super,0
ＶＶ～始まりの地～,DBTM-JP011,nomal,0
ＶＶ－真羅万象,DBTM-JP012,Super,0
ＶＶ－百識公国,DBTM-JP013,Super,0
白銀の城のラビュリンス,DBTM-JP014,Ultra,0
白銀の城のラビュリンス,DBTM-JP014,Secret,0
白銀の城の魔神像,DBTM-JP015,nomal,0
白銀の城の召使い アリアーヌ,DBTM-JP016,Super,0
白銀の城の召使い アリアンナ,DBTM-JP017,Super,0
白銀の城の竜飾灯,DBTM-JP018,nomal,0
白銀の城の火吹炉,DBTM-JP019,nomal,0
白銀の城の狂時計,DBTM-JP020,nomal,0
白銀の迷宮城,DBTM-JP021,Super,0
ラビュリンス・セッティング,DBTM-JP022,nomal,0
ウェルカム・ラビュリンス,DBTM-JP023,Super,0
フェアーウェルカム・ラビュリンス,DBTM-JP024,nomal,0
ラビュリンス・バラージュ,DBTM-JP025,Super,0
悪魔の技,DBTM-JP026,nomal,0
神碑の泉,DBTM-JP027,Ultra,0
神碑の泉,DBTM-JP027,Secret,0
神碑の誑かし,DBTM-JP028,nomal,0
神碑の穂先,DBTM-JP029,Super,0
輝く炎の神碑,DBTM-JP030,Super,0
破壊の神碑,DBTM-JP031,nomal,0
解呪の神碑,DBTM-JP032,nomal,0
凍てつく呪いの神碑,DBTM-JP033,nomal,0
まどろみの神碑,DBTM-JP034,nomal,0
黄金の雫の神碑,DBTM-JP035,nomal,0
怒れる嵐の神碑,DBTM-JP036,nomal,0
神碑の翼フギン,DBTM-JP037,Super,0
神碑の翼ムニン,DBTM-JP038,nomal,0
神碑の牙ゲーリ,DBTM-JP039,nomal,0
ヘビーメタルフォーゼ・エレクトラム,DBTM-JP040,nomal,0
皆既日蝕の書,DBTM-JP041,nomal,0
ポジションチェンジ,DBTM-JP042,nomal,0
スケープ・ゴート,DBTM-JP043,nomal,0
強制脱出装置,DBTM-JP044,nomal,0
トラップトリック,DBTM-JP045,nomal,0
