name,card_id,rare,stock
ヴァンパイアの使い魔,DBDS-JP001,nomal,0
ヴァンパイアの眷属,DBDS-JP002,nomal,0
ヴァンパイア・フロイライン,DBDS-JP003,Super,0
ヴァンパイア・グリムゾン,DBDS-JP004,nomal,0
ヴァンパイア・スカージレット,DBDS-JP005,nomal,0
ヴァンパイア・レッドバロン,DBDS-JP006,nomal,0
交血鬼－ヴァンパイア・シェリダン,DBDS-JP007,Ultra,0
交血鬼－ヴァンパイア・シェリダン,DBDS-JP007,Secret,0
ヴァンパイア・デザイア,DBDS-JP008,nomal,0
ヴァンパイアの領域,DBDS-JP009,nomal,0
ヴァンパイア・アウェイク,DBDS-JP010,nomal,0
ヴァンパイアの支配,DBDS-JP011,Super,0
シャドウ・ヴァンパイア,DBDS-JP012,nomal,0
紅貴士－ヴァンパイア・ブラム,DBDS-JP013,nomal,0
空牙団の撃手 ドンパ,DBDS-JP014,nomal,0
空牙団の飛哨 リコン,DBDS-JP015,nomal,0
空牙団の舵手 ヘルマー,DBDS-JP016,nomal,0
空牙団の剣士 ビート,DBDS-JP017,Super,0
空牙団の参謀 シール,DBDS-JP018,Super,0
空牙団の闘士 ブラーヴォ,DBDS-JP019,nomal,0
空牙団の孤高 サジータ,DBDS-JP020,Super,0
空牙団の豪傑 ダイナ,DBDS-JP021,nomal,0
空牙団の叡智 ウィズ,DBDS-JP022,nomal,0
空牙団の英雄 ラファール,DBDS-JP023,Ultra,0
空牙団の英雄 ラファール,DBDS-JP023,Secret,0
飛竜艇－ファンドラ,DBDS-JP024,nomal,0
烈風の空牙団,DBDS-JP025,Super,0
空牙団の修練,DBDS-JP026,Super,0
閃刀姫－カガリ,DBDS-JP027,Ultra,0
閃刀姫－カガリ,DBDS-JP027,Secret,0
閃刀姫－シズク,DBDS-JP028,Super,0
閃刀姫－レイ,DBDS-JP029,nomal,0
閃刀起動－エンゲージ,DBDS-JP030,Super,0
閃刀術式－アフターバーナー,DBDS-JP031,Super,0
閃刀術式－ジャミングウェーブ,DBDS-JP032,nomal,0
閃刀機－ホーネットビット,DBDS-JP033,nomal,0
閃刀機－ウィドウアンカー,DBDS-JP034,Super,0
閃刀機－イーグルブースター,DBDS-JP035,nomal,0
閃刀機－シャークキャノン,DBDS-JP036,nomal,0
閃刀機構－ハーキュリーベース,DBDS-JP037,nomal,0
閃刀機関－マルチロール,DBDS-JP038,Super,0
閃刀空域－エリアゼロ,DBDS-JP039,nomal,0
終末の騎士,DBDS-JP040,nomal,0
ゾンビキャリア,DBDS-JP041,nomal,0
マッド・リローダー,DBDS-JP042,nomal,0
魔法石の採掘,DBDS-JP043,nomal,0
帝王の烈旋,DBDS-JP044,nomal,0
波紋のバリア －ウェーブ・フォース－,DBDS-JP045,nomal,0
