name,card_id,rare,stock
ネフティスの悟り手,DBHS-JP001,nomal,0
ネフティスの祈り手,DBHS-JP002,Super,0
ネフティスの語り手,DBHS-JP003,nomal,0
ネフティスの護り手,DBHS-JP004,nomal,0
ネフティスの祀り手,DBHS-JP005,Super,0
ネフティスの蒼凰神,DBHS-JP006,Super,0
守護神－ネフティス,DBHS-JP007,Super,0
焔凰神－ネフティス,DBHS-JP008,Ultra,0
焔凰神－ネフティス,DBHS-JP008,Secret,0
ネフティスの輪廻,DBHS-JP009,nomal,0
ネフティスの希望,DBHS-JP010,nomal,0
ネフティスの覚醒,DBHS-JP011,nomal,0
ネフティスの鳳凰神,DBHS-JP012,nomal,0
ネフティスの導き手,DBHS-JP013,nomal,0
プランキッズ・パルス,DBHS-JP014,nomal,0
プランキッズ・ランプ,DBHS-JP015,nomal,0
プランキッズ・ドロップ,DBHS-JP016,nomal,0
プランキッズ・ロケット,DBHS-JP017,Super,0
プランキッズ・ウェザー,DBHS-JP018,nomal,0
プランキッズ・ハウスバトラー,DBHS-JP019,Ultra,0
プランキッズ・ハウスバトラー,DBHS-JP019,Secret,0
プランキッズ・ドゥードゥル,DBHS-JP020,nomal,0
プランキッズ・バウワウ,DBHS-JP021,nomal,0
プランキッズ・ロアゴン,DBHS-JP022,Super,0
プランキッズ・ハウス,DBHS-JP023,Super,0
プランキッズ・プランク,DBHS-JP024,nomal,0
プランキッズの大暴走,DBHS-JP025,nomal,0
プランキッズの大作戦,DBHS-JP026,nomal,0
麗の魔妖－妲姫,DBHS-JP027,Super,0
毒の魔妖－束脛,DBHS-JP028,nomal,0
翼の魔妖－波旬,DBHS-JP029,Super,0
轍の魔妖－俥夫,DBHS-JP030,nomal,0
骸の魔妖－夜叉,DBHS-JP031,nomal,0
轍の魔妖－朧車,DBHS-JP032,nomal,0
毒の魔妖－土蜘蛛,DBHS-JP033,nomal,0
翼の魔妖－天狗,DBHS-JP034,nomal,0
麗の魔妖－妖狐,DBHS-JP035,Ultra,0
麗の魔妖－妖狐,DBHS-JP035,Secret,0
骸の魔妖－餓者髑髏,DBHS-JP036,Super,0
氷の魔妖－雪女,DBHS-JP037,Super,0
魔妖廻天,DBHS-JP038,Super,0
魔妖変生,DBHS-JP039,nomal,0
ナイトエンド・ソーサラー,DBHS-JP040,nomal,0
妖刀－不知火,DBHS-JP041,nomal,0
儀式の準備,DBHS-JP042,nomal,0
超越融合,DBHS-JP043,nomal,0
シンクロキャンセル,DBHS-JP044,nomal,0
鳳翼の爆風,DBHS-JP045,nomal,0
