name,card_id,rare,stock
ゼノ・メテオロス,DBWS-JP001,Super,0
超越竜メテオロス,DBWS-JP002,Ultra,0
超越竜メテオロス,DBWS-JP002,Secret,0
超越竜ギガントザウラー,DBWS-JP003,Super,0
超越竜グレイスザウルス,DBWS-JP004,nomal,0
超越竜ドリルグナトゥス,DBWS-JP005,nomal,0
グラウンド・ゼノ,DBWS-JP006,Super,0
超越天翔,DBWS-JP007,nomal,0
フロストザウルス,DBWS-JP008,nomal,0
究極伝導恐獣,DBWS-JP009,nomal,0
ジャイアント・レックス,DBWS-JP010,nomal,0
幻創のミセラサウルス,DBWS-JP011,nomal,0
魂喰いオヴィラプター,DBWS-JP012,nomal,0
ベビケラサウルス,DBWS-JP013,nomal,0
プチラノドン,DBWS-JP014,nomal,0
エヴォルカイザー・ソルデ,DBWS-JP015,nomal,0
ＶＳ ラゼン,DBWS-JP016,Super,0
ＶＳ パンテラ,DBWS-JP017,nomal,0
ＶＳ ヘヴィ・ボーガー,DBWS-JP018,Super,0
ＶＳ Ｄｒ.マッドラヴ,DBWS-JP019,Super,0
ＶＳ プルトンＨＧ,DBWS-JP020,nomal,0
ＶＳ 龍帝ヴァリウス,DBWS-JP021,Ultra,0
ＶＳ 龍帝ヴァリウス,DBWS-JP021,Secret,0
闘神の虚像,DBWS-JP022,nomal,0
Ｓｔａｋｅ Ｙｏｕｒ Ｓｏｕｌ！,DBWS-JP023,Super,0
ＶＳ 螺旋流辻風,DBWS-JP024,nomal,0
ＶＳ コンティニュー,DBWS-JP025,nomal,0
ＶＳ トリニティ・バースト,DBWS-JP026,Super,0
ＶＳ 龍帝ノ槍,DBWS-JP027,nomal,0
炎舞－「天キ」,DBWS-JP028,nomal,0
ブエリヤベース・ド・ヌーベルズ,DBWS-JP029,nomal,0
コンフィラス・ド・ヌーベルズ,DBWS-JP030,nomal,0
ポワレティス・ド・ヌーベルズ,DBWS-JP031,Super,0
フォアグラシャ・ド・ヌーベルズ,DBWS-JP032,nomal,0
バラムニエル・ド・ヌーベルズ,DBWS-JP033,Super,0
バグリエル・ド・ヌーベルズ,DBWS-JP034,Ultra,0
バグリエル・ド・ヌーベルズ,DBWS-JP034,Secret,0
Ｎｏｕｖｅｌｌｅｚ Ａｕｂｅｒｇｅ 『Ａ Ｔａｂｌｅ』,DBWS-JP035,Super,0
Ｖｏｉｃｉ ｌａ Ｃａｒｔｅ～メニューはこちら～,DBWS-JP036,Super,0
Ｒｅｃｅｔｔｅ ｄｅ Ｐｏｉｓｓｏｎ～魚料理のレシピ～,DBWS-JP037,nomal,0
Ｒｅｃｅｔｔｅ ｄｅ Ｖｉａｎｄｅ～肉料理のレシピ～,DBWS-JP038,nomal,0
Ｒｅｃｅｔｔｅ ｄｅ Ｐｅｒｓｏｎｎｅｌ～賄いのレシピ～,DBWS-JP039,nomal,0
Ｒｅｃｅｔｔｅ ｄｅ Ｓｐｅｃｉａｌｉｔｅ～料理長自慢のレシピ～,DBWS-JP040,nomal,0
ハングリーバーガー,DBWS-JP041,nomal,0
ハンバーガーのレシピ,DBWS-JP042,nomal,0
魔神儀－キャンドール,DBWS-JP043,nomal,0
魔神儀－タリスマンドラ,DBWS-JP044,nomal,0
儀式の準備,DBWS-JP045,nomal,0
