name,card_id,rare,stock
冥骸合竜－メメントラル・テクトリカ,DBVS-JP001,Ultra,0
冥骸合竜－メメントラル・テクトリカ,DBVS-JP001,Secret,0
メメント・ホーン・ドラゴン,DBVS-JP002,nomal,0
メメント・シーホース,DBVS-JP003,Super,0
メメント・ダークソード,DBVS-JP004,Super,0
メメント・エンウィッチ,DBVS-JP005,Super,0
メメント・エンウィッチ,DBVS-JP005,Quarter Century Secret,0
メメント・メイス,DBVS-JP006,Normal,0
メメント・メイス,DBVS-JP006,N-Parallel,0
メメント・メイス,DBVS-JP006,Secret,0
メメント・ゴブリン,DBVS-JP007,nomal,0
冥骸府－メメントラン,DBVS-JP008,nomal,0
メメント・ボーン・パーティー,DBVS-JP009,Super,0
メメント・ボーン・バック,DBVS-JP010,nomal,0
メメント・フラクチャー・ダンス,DBVS-JP011,nomal,0
メメント・クレニアム・バースト,DBVS-JP012,nomal,0
テラ・フォーミング,DBVS-JP013,nomal,0
補給部隊,DBVS-JP014,nomal,0
センサー万別,DBVS-JP015,nomal,0
重騎士プリメラ,DBVS-JP016,Super,0
重騎士プリメラ,DBVS-JP016,Quarter Century Secret,0
従騎士トゥルーデア,DBVS-JP017,Super,0
重騎兵エメトＶＩ,DBVS-JP018,Normal,0
重騎兵エメトＶＩ,DBVS-JP018,N-Parallel,0
重騎兵エメトＶＩ,DBVS-JP018,Secret,0
騎士皇レガーティア,DBVS-JP019,Super,0
スタンドアップ・センチュリオン！,DBVS-JP020,Super,0
誓いのエンブレーマ,DBVS-JP021,Ultra,0
誓いのエンブレーマ,DBVS-JP021,Secret,0
騎士の絆,DBVS-JP022,nomal,0
騎士魔防陣,DBVS-JP023,nomal,0
騎士皇爆誕,DBVS-JP024,nomal,0
召喚僧サモンプリースト,DBVS-JP025,nomal,0
天威の龍鬼神,DBVS-JP026,nomal,0
ハーピィ・レディ・ＳＣ,DBVS-JP027,nomal,0
マジック・プランター,DBVS-JP028,nomal,0
シンクロ・トランスミッション,DBVS-JP029,nomal,0
重力崩壊,DBVS-JP030,nomal,0
天使の聲,DBVS-JP031,Normal,0
天使の聲,DBVS-JP031,N-Parallel,0
天使の聲,DBVS-JP031,Secret,0
悪魔の聲,DBVS-JP032,Normal,0
悪魔の聲,DBVS-JP032,N-Parallel,0
悪魔の聲,DBVS-JP032,Secret,0
ヴァルモニカの異神－ジュラルメ,DBVS-JP033,Super,0
ヴァルモニカの神異－ゼブフェーラ,DBVS-JP034,Super,0
天魔の聲選器－『ヴァルモニカ』,DBVS-JP035,nomal,0
ヴァルモニカ・シェルタ,DBVS-JP036,Ultra,0
ヴァルモニカ・シェルタ,DBVS-JP036,Quarter Century Secret,0
ヴァルモニカ・ヴェルサーレ,DBVS-JP037,Super,0
ヴァルモニカ・イントナーレ,DBVS-JP038,Super,0
律導のヴァルモニカ,DBVS-JP039,nomal,0
選律のヴァルモニカ,DBVS-JP040,nomal,0
守護天霊ロガエス,DBVS-JP041,nomal,0
Ｅｍトリック・クラウン,DBVS-JP042,nomal,0
儚無みずき,DBVS-JP043,nomal,0
Ｎｏ.４１ 泥睡魔獣バグースカ,DBVS-JP044,nomal,0
聖邪のステンドグラス,DBVS-JP045,nomal,0
