name,card_id,rare,stock
ＢＦ－疾風のゲイル,DP11-JP001,Rare,0
ＢＦ－黒槍のブラスト,DP11-JP002,Rare,0
ＢＦ－極北のブリザード,DP11-JP003,nomal,0
ＢＦ－蒼炎のシュラ,DP11-JP004,Rare,0
ＢＦ－漆黒のエルフェン,DP11-JP005,Rare,0
ＢＦ－銀盾のミストラル,DP11-JP006,nomal,0
ＢＦ－鉄鎖のフェーン,DP11-JP007,nomal,0
ＢＦ－熱風のギブリ,DP11-JP008,nomal,0
ＢＦ－逆風のガスト,DP11-JP009,nomal,0
ＢＦ－東雲のコチ,DP11-JP010,Rare,0
ＢＦ－蒼天のジェット,DP11-JP011,Ultra,0
ＢＦ－精鋭のゼピュロス,DP11-JP012,Ultra,0
ＢＦ－アーマード・ウィング,DP11-JP013,Super,0
ＢＦ－アームズ・ウィング,DP11-JP014,Rare,0
ＢＦ－孤高のシルバー・ウィンド,DP11-JP015,Rare,0
ブラックフェザー・ドラゴン,DP11-JP016,Super,0
フェザー・ウィンド・アタック,DP11-JP017,nomal,0
アゲインスト・ウィンド,DP11-JP018,nomal,0
ブラックフェザー・シュート,DP11-JP019,nomal,0
黒羽の宝札,DP11-JP020,nomal,0
ブラック・アロー,DP11-JP021,nomal,0
デルタ・クロウ－アンチ・リバース,DP11-JP022,nomal,0
レベル・リチューナー,DP11-JP023,nomal,0
フェイク・フェザー,DP11-JP024,nomal,0
ＢＦ－バックフラッシュ,DP11-JP025,nomal,0
ＢＦ－アンカー,DP11-JP026,nomal,0
ブラック・サンダー,DP11-JP027,nomal,0
ボム・ガード,DP11-JP028,nomal,0
黒羽の導き,DP11-JP029,Super,0
ブラック・リターン,DP11-JP030,Super,0
