name,card_id,rare,stock
サイバー・ドラゴン,DP04-JP001,Rare,0
サイバー・バリア・ドラゴン,DP04-JP002,Rare,0
サイバー・レーザー・ドラゴン,DP04-JP003,Rare,0
プロト・サイバー・ドラゴン,DP04-JP004,nomal,0
サイバー・ジラフ,DP04-JP005,nomal,0
サイバー・フェニックス,DP04-JP006,nomal,0
サイバー・ダーク・ホーン,DP04-JP007,nomal,0
サイバー・ダーク・エッジ,DP04-JP008,nomal,0
サイバー・ダーク・キール,DP04-JP009,nomal,0
ヘル・ドラゴン,DP04-JP010,Ultra,0
サイバー・ツイン・ドラゴン,DP04-JP011,Rare,0
サイバー・エンド・ドラゴン,DP04-JP012,Rare,0
キメラテック・オーバー・ドラゴン,DP04-JP013,Rare,0
鎧黒竜－サイバー・ダーク・ドラゴン,DP04-JP014,Super,0
サイクロン,DP04-JP015,nomal,0
リミッター解除,DP04-JP016,nomal,0
融合解除,DP04-JP017,nomal,0
強制転移,DP04-JP018,nomal,0
タイムカプセル,DP04-JP019,nomal,0
パワー・ボンド,DP04-JP020,Rare,0
フォトン・ジェネレーター・ユニット,DP04-JP021,nomal,0
オーバーロード・フュージョン,DP04-JP022,nomal,0
未来融合－フューチャー・フュージョン,DP04-JP023,nomal,0
無情の抹殺,DP04-JP024,Super,0
リビングデッドの呼び声,DP04-JP025,nomal,0
トラップ・ジャマー,DP04-JP026,nomal,0
アタック・リフレクター・ユニット,DP04-JP027,nomal,0
リターンソウル,DP04-JP028,Super,0
ダメージ・ポラリライザー,DP04-JP029,Ultra,0
フュージョン・ガード,DP04-JP030,Super,0
