name,card_id,rare,stock
ブラック・マジシャン・ガール,DP23-JP000,Holographic,0
超魔導師－ブラック・マジシャンズ,DP23-JP001,Ultra,0
マジシャンズ・ソウルズ,DP23-JP002,Super,0
魂のしもべ,DP23-JP003,Super,0
黒魔術の秘儀,DP23-JP004,Rare,0
マジシャンズ・コンビネーション,DP23-JP005,Rare,0
マジシャン・オブ・ブラック・イリュージョン,DP23-JP006,nomal,0
幻想の見習い魔導師,DP23-JP007,nomal,0
マジシャンズ・ロッド,DP23-JP008,nomal,0
黒の魔導陣,DP23-JP009,nomal,0
イリュージョン・マジック,DP23-JP010,nomal,0
マジシャンズ・ナビゲート,DP23-JP011,nomal,0
Ｅ・ＨＥＲＯ サンライザー,DP23-JP012,Ultra,0
Ｅ・ＨＥＲＯ リキッドマン,DP23-JP013,Super,0
ジェネレーション・ネクスト,DP23-JP014,Super,0
フェイバリット・ヒーロー,DP23-JP015,Rare,0
マジスタリー・アルケミスト,DP23-JP016,Rare,0
ハネクリボー,DP23-JP017,nomal,0
Ｎ・アクア・ドルフィン,DP23-JP018,nomal,0
Ｅ・ＨＥＲＯ オネスティ・ネオス,DP23-JP019,nomal,0
ミラクル・フュージョン,DP23-JP020,nomal,0
摩天楼 －スカイスクレイパー－,DP23-JP021,nomal,0
ヒーローアライブ,DP23-JP022,nomal,0
サテライト・ウォリアー,DP23-JP023,Ultra,0
ジャンク・コンバーター,DP23-JP024,Super,0
サテライト・シンクロン,DP23-JP025,Rare,0
シンクロ・チェイス,DP23-JP026,Rare,0
くず鉄のシグナル,DP23-JP027,Rare,0
アクセル・シンクロン,DP23-JP028,nomal,0
コズミック・ブレイザー・ドラゴン,DP23-JP029,nomal,0
ジェット・シンクロン,DP23-JP030,nomal,0
ドッペル・ウォリアー,DP23-JP031,nomal,0
クイック・シンクロン,DP23-JP032,nomal,0
調律,DP23-JP033,nomal,0
ガガガガマジシャン,DP23-JP034,Ultra,0
ズバババンチョー－ＧＣ,DP23-JP035,Rare,0
ドドドドワーフ－ＧＧ,DP23-JP036,Rare,0
オノマト選択,DP23-JP037,Super,0
フューチャー・ドライブ,DP23-JP038,Rare,0
ＦＮｏ.０ 未来皇ホープ,DP23-JP039,nomal,0
ガガガザムライ,DP23-JP040,nomal,0
ゴゴゴジャイアント,DP23-JP041,nomal,0
ドドドバスター,DP23-JP042,nomal,0
オノマト連携,DP23-JP043,nomal,0
マスター・ピース,DP23-JP044,nomal,0
ＥＭ天空の魔術師,DP23-JP045,Ultra,0
オッドアイズ・ウィザード・ドラゴン,DP23-JP046,Super,0
ＥＭポップアップ,DP23-JP047,Rare,0
スマイル・アクション,DP23-JP048,Rare,0
ペンデュラム・ディメンション,DP23-JP049,Rare,0
ＥＭドクロバット・ジョーカー,DP23-JP050,nomal,0
ＥＭペンデュラム・マジシャン,DP23-JP051,nomal,0
アストログラフ・マジシャン,DP23-JP052,nomal,0
調弦の魔術師,DP23-JP053,nomal,0
覇王眷竜スターヴ・ヴェノム,DP23-JP054,nomal,0
螺旋のストライクバースト,DP23-JP055,nomal,0
