name,card_id,rare,stock
Ｖ－タイガー・ジェット,DP2-JP001,nomal,0
おジャマ・グリーン,DP2-JP002,nomal,0
おジャマ・イエロー,DP2-JP003,nomal,0
おジャマ・ブラック,DP2-JP004,nomal,0
Ｘ－ヘッド・キャノン,DP2-JP005,nomal,0
Ｙ－ドラゴン・ヘッド,DP2-JP006,nomal,0
Ｚ－メタル・キャタピラー,DP2-JP007,nomal,0
Ｗ－ウィング・カタパルト,DP2-JP008,nomal,0
炎獄魔人ヘル・バーナー,DP2-JP009,Rare,0
アームド・ドラゴン ＬＶ３,DP2-JP010,nomal,0
アームド・ドラゴン ＬＶ５,DP2-JP011,nomal,0
アームド・ドラゴン ＬＶ７,DP2-JP012,Super,0
アームド・ドラゴン ＬＶ１０,DP2-JP013,Ultra,0
ＸＹＺ－ドラゴン・キャノン,DP2-JP014,Rare,0
おジャマ・キング,DP2-JP015,nomal,0
ＶＷ－タイガー・カタパルト,DP2-JP016,Rare,0
ＶＷＸＹＺ－ドラゴン・カタパルトキャノン,DP2-JP017,Rare,0
おジャマ・デルタハリケーン！！,DP2-JP018,nomal,0
レベル調整,DP2-JP019,Rare,0
おジャマジック,DP2-JP020,Rare,0
おジャマッスル,DP2-JP021,Rare,0
ヘル・アライアンス,DP2-JP022,nomal,0
アームド・チェンジャー,DP2-JP023,nomal,0
打ち出の小槌,DP2-JP024,Super,0
地獄の暴走召喚,DP2-JP025,Super,0
防御輪,DP2-JP026,Ultra,0
おジャマトリオ,DP2-JP027,nomal,0
ヘル・ブラスト,DP2-JP028,nomal,0
ヘル・ポリマー,DP2-JP029,nomal,0
復活の墓穴,DP2-JP030,Super,0
