name,card_id,rare,stock
Ｎ・エア・ハミングバード,DP06-JP001,nomal,0
Ｎ・グラン・モール,DP06-JP002,nomal,0
Ｎ・グロー・モス,DP06-JP003,nomal,0
Ｅ・ＨＥＲＯ キャプテン・ゴールド,DP06-JP004,nomal,0
ネクロ・ガードナー,DP06-JP005,nomal,0
Ｅ・ＨＥＲＯ アナザー・ネオス,DP06-JP006,Rare,0
Ｅ－ＨＥＲＯ マリシャス・エッジ,DP06-JP007,Rare,0
Ｅ－ＨＥＲＯ ヘル・ゲイナー,DP06-JP008,nomal,0
Ｅ－ＨＥＲＯ ヘル・ブラット,DP06-JP009,Super,0
アーマー・ブレイカー,DP06-JP010,Super,0
Ｅ・ＨＥＲＯ プラズマヴァイスマン,DP06-JP011,Rare,0
Ｅ－ＨＥＲＯ インフェルノ・ウィング,DP06-JP012,Rare,0
Ｅ－ＨＥＲＯ ライトニング・ゴーレム,DP06-JP013,nomal,0
Ｅ－ＨＥＲＯ ダーク・ガイア,DP06-JP014,Rare,0
Ｅ－ＨＥＲＯ ワイルド・サイクロン,DP06-JP015,Super,0
Ｅ－ＨＥＲＯ ヘル・スナイパー,DP06-JP016,Ultra,0
Ｅ－ＨＥＲＯ マリシャス・デビル,DP06-JP017,Ultra,0
摩天楼２－ヒーローシティ,DP06-JP018,nomal,0
ホープ・オブ・フィフス,DP06-JP019,nomal,0
リバース・オブ・ネオス,DP06-JP020,nomal,0
コンバート・コンタクト,DP06-JP021,nomal,0
思い出のブランコ,DP06-JP022,nomal,0
ダーク・フュージョン,DP06-JP023,nomal,0
ダーク・コーリング,DP06-JP024,Rare,0
融合破棄,DP06-JP025,Rare,0
ヒーロー・メダル,DP06-JP026,nomal,0
異次元トンネル－ミラーゲート－,DP06-JP027,nomal,0
ヒーロー逆襲,DP06-JP028,nomal,0
オーバーリミット,DP06-JP029,nomal,0
ヒーローズルール２,DP06-JP030,Super,0
