name,card_id,rare,stock
Ｅ・ＨＥＲＯ フェザーマン,DP1-JP001,nomal,0
Ｅ・ＨＥＲＯ バーストレディ,DP1-JP002,nomal,0
Ｅ・ＨＥＲＯ クレイマン,DP1-JP003,nomal,0
Ｅ・ＨＥＲＯ スパークマン,DP1-JP004,nomal,0
ハネクリボー,DP1-JP005,Rare,0
ハネクリボー ＬＶ１０,DP1-JP006,Rare,0
フレンドッグ,DP1-JP007,nomal,0
ダーク・カタパルター,DP1-JP008,nomal,0
Ｅ・ＨＥＲＯ バブルマン,DP1-JP009,nomal,0
Ｅ・ＨＥＲＯ フレイム・ウィングマン,DP1-JP010,Super,0
Ｅ・ＨＥＲＯ サンダー・ジャイアント,DP1-JP011,Rare,0
Ｅ・ＨＥＲＯ ランパートガンナー,DP1-JP012,Rare,0
Ｅ・ＨＥＲＯ スチーム・ヒーラー,DP1-JP013,Ultra,0
融合,DP1-JP014,nomal,0
融合賢者,DP1-JP015,nomal,0
戦士の生還,DP1-JP016,nomal,0
フェザー・ショット,DP1-JP017,nomal,0
進化する翼,DP1-JP018,nomal,0
バブル・シャッフル,DP1-JP019,nomal,0
スパークガン,DP1-JP020,nomal,0
摩天楼 －スカイスクレイパー－,DP1-JP021,Rare,0
バースト・リターン,DP1-JP022,Super,0
バブル・ショット,DP1-JP023,Super,0
バブルイリュージョン,DP1-JP024,Ultra,0
ヒーロー見参,DP1-JP025,nomal,0
ドレインシールド,DP1-JP026,nomal,0
攻撃の無力化,DP1-JP027,Rare,0
ヒーロー・シグナル,DP1-JP028,nomal,0
フェザー・ウィンド,DP1-JP029,Rare,0
クレイ・チャージ,DP1-JP030,Super,0
