name,card_id,rare,stock
ラーの翼神竜－球体形,DP16-JP001,Ultra,0
ジュラゲド,DP16-JP002,Rare,0
魔道化リジョン,DP16-JP003,Rare,0
封魔の矢,DP16-JP004,Ultra,0
死なばもろとも,DP16-JP005,Ultra,0
カオス・ソルジャー,DP16-JP006,Super,0
カオスの儀式,DP16-JP007,nomal,0
ブラック・マジシャン,DP16-JP008,Super,0
ブラック・マジシャン・ガール,DP16-JP009,Super,0
バスター・ブレイダー,DP16-JP010,Rare,0
暗黒魔族ギルファー・デーモン,DP16-JP011,nomal,0
ジャックス・ナイト,DP16-JP012,nomal,0
クィーンズ・ナイト,DP16-JP013,nomal,0
キングス・ナイト,DP16-JP014,nomal,0
青眼の白龍,DP16-JP015,Ultra,0
ロード・オブ・ドラゴン－ドラゴンの支配者－,DP16-JP016,nomal,0
ドラゴンを呼ぶ笛,DP16-JP017,nomal,0
エネミーコントローラー,DP16-JP018,nomal,0
死のデッキ破壊ウイルス,DP16-JP019,Rare,0
真紅眼の黒竜,DP16-JP020,Super,0
鉄の騎士 ギア・フリード,DP16-JP021,nomal,0
ロケット戦士,DP16-JP022,nomal,0
時の魔術師,DP16-JP023,nomal,0
おろかな埋葬,DP16-JP024,nomal,0
インセクト女王,DP16-JP025,nomal,0
人造人間－サイコ・ショッカー,DP16-JP026,Super,0
伝説のフィッシャーマン,DP16-JP027,nomal,0
墓穴の道連れ,DP16-JP028,nomal,0
アポピスの化神,DP16-JP029,Rare,0
仮面魔獣マスクド・ヘルレイザー,DP16-JP030,Rare,0
仮面魔獣の儀式,DP16-JP031,nomal,0
ダーク・ネクロフィア,DP16-JP032,Rare,0
溶岩魔神ラヴァ・ゴーレム,DP16-JP033,Super,0
魔法石の採掘,DP16-JP034,nomal,0
邪神の大災害,DP16-JP035,nomal,0
ハーピィ・レディ三姉妹,DP16-JP036,nomal,0
万華鏡－華麗なる分身－,DP16-JP037,nomal,0
ヒステリック・パーティー,DP16-JP038,nomal,0
リボルバー・ドラゴン,DP16-JP039,Rare,0
スフィア・ボム 球体時限爆弾,DP16-JP040,nomal,0
ブルーアイズ・トゥーン・ドラゴン,DP16-JP041,nomal,0
トゥーン・ブラック・マジシャン・ガール,DP16-JP042,Rare,0
トゥーン・ヂェミナイ・エルフ,DP16-JP043,nomal,0
トゥーン・ワールド,DP16-JP044,nomal,0
トゥーンのもくじ,DP16-JP045,Rare,0
