name,card_id,rare,stock
Ｎｏ.１０１ Ｓ・Ｈ・Ａｒｋ Ｋｎｉｇｈｔ,DP26-JP000,Holographic,0
アビス・シャーク,DP26-JP001,Super,0
アビス・シャーク,DP26-JP001,Secret,0
クリスタル・シャーク,DP26-JP002,Super,0
クリスタル・シャーク,DP26-JP002,Secret,0
Ｎ・Ａｓ・Ｈ Ｋｎｉｇｈｔ,DP26-JP003,Ultra,0
Ｎ・Ａｓ・Ｈ Ｋｎｉｇｈｔ,DP26-JP003,Secret,0
ＣＸ－Ｎ・Ａｓ・Ｃｈ Ｋｎｉｇｈｔ,DP26-JP004,Ultra,0
ＣＸ－Ｎ・Ａｓ・Ｃｈ Ｋｎｉｇｈｔ,DP26-JP004,Secret,0
バリアンズ・カオス・ドロー,DP26-JP005,Rare,0
七皇昇格,DP26-JP006,Super,0
七皇昇格,DP26-JP006,Secret,0
不朽の七皇,DP26-JP007,Rare,0
サイレント・アングラー,DP26-JP008,nomal,0
エクシーズ・リモーラ,DP26-JP009,nomal,0
ＣＮｏ.１０１ Ｓ・Ｈ・Ｄａｒｋ Ｋｎｉｇｈｔ,DP26-JP010,nomal,0
バハムート・シャーク,DP26-JP011,nomal,0
ＦＡ－ブラック・レイ・ランサー,DP26-JP012,nomal,0
Ｎｏ.７１ リバリアン・シャーク,DP26-JP013,nomal,0
ＲＵＭ－七皇の剣,DP26-JP014,nomal,0
ＲＵＭ－クイック・カオス,DP26-JP015,nomal,0
大要塞クジラ,DP26-JP016,Ultra,0
大要塞クジラ,DP26-JP016,Secret,0
海竜神－リバイアサン,DP26-JP017,Rare,0
デス・クラーケン,DP26-JP018,Rare,0
電気海月－フィサリア－,DP26-JP019,Super,0
電気海月－フィサリア－,DP26-JP019,Secret,0
魚群探知機,DP26-JP020,Super,0
魚群探知機,DP26-JP020,Secret,0
潜海奇襲ＩＩ,DP26-JP021,Rare,0
暗岩の海竜神,DP26-JP022,Rare,0
伝説のフィッシャーマン,DP26-JP023,nomal,0
伝説のフィッシャーマン二世,DP26-JP024,nomal,0
伝説のフィッシャーマン三世,DP26-JP025,nomal,0
城塞クジラ,DP26-JP026,nomal,0
海竜神の怒り,DP26-JP027,nomal,0
海竜神の激昂,DP26-JP028,nomal,0
激流葬,DP26-JP029,nomal,0
潜海奇襲,DP26-JP030,nomal,0
海晶乙女スプリンガール,DP26-JP031,Super,0
海晶乙女スプリンガール,DP26-JP031,Secret,0
海晶乙女スリーピーメイデン,DP26-JP032,Rare,0
海晶乙女コーラルトライアングル,DP26-JP033,Ultra,0
海晶乙女コーラルトライアングル,DP26-JP033,Secret,0
海晶乙女アクア・アルゴノート,DP26-JP034,Ultra,0
海晶乙女アクア・アルゴノート,DP26-JP034,Secret,0
海晶乙女の潜逅,DP26-JP035,Super,0
海晶乙女の潜逅,DP26-JP035,Secret,0
海晶乙女環流,DP26-JP036,Rare,0
海晶乙女渦輪,DP26-JP037,Rare,0
海晶乙女シーホース,DP26-JP038,nomal,0
海晶乙女パスカルス,DP26-JP039,nomal,0
海晶乙女シーエンジェル,DP26-JP040,nomal,0
海晶乙女コーラルアネモネ,DP26-JP041,nomal,0
海晶乙女クリスタルハート,DP26-JP042,nomal,0
海晶乙女ワンダーハート,DP26-JP043,nomal,0
海晶乙女の闘海,DP26-JP044,nomal,0
海晶乙女波動,DP26-JP045,nomal,0
