name,card_id,rare,stock
沈黙の剣士－サイレント・ソードマン,DP17-JP001,Ultra,0
沈黙の魔術師－サイレント・マジシャン,DP17-JP002,Ultra,0
沈黙の剣,DP17-JP003,Super,0
サイレント・バーニング,DP17-JP004,Super,0
マグネット・リバース,DP17-JP005,Rare,0
マグネット・フォース,DP17-JP006,Super,0
アルティメット・バースト,DP17-JP007,Ultra,0
天声の服従,DP17-JP008,Ultra,0
埋葬されし生け贄,DP17-JP009,Super,0
ダーク・サンクチュアリ,DP17-JP010,Rare,0
究極竜騎士,DP17-JP011,Rare,0
混沌の黒魔術師,DP17-JP012,Super,0
光と闇の洗礼,DP17-JP013,nomal,0
デビルズ・サンクチュアリ,DP17-JP014,Rare,0
永遠の魂,DP17-JP015,Rare,0
サイレント・ソードマン ＬＶ３,DP17-JP016,nomal,0
サイレント・ソードマン ＬＶ５,DP17-JP017,nomal,0
サイレント・ソードマン ＬＶ７,DP17-JP018,nomal,0
サイレント・マジシャン ＬＶ４,DP17-JP019,nomal,0
サイレント・マジシャン ＬＶ８,DP17-JP020,nomal,0
グリーン・ガジェット,DP17-JP021,nomal,0
レッド・ガジェット,DP17-JP022,nomal,0
イエロー・ガジェット,DP17-JP023,nomal,0
機動砦 ストロング・ホールド,DP17-JP024,nomal,0
黒・魔・導・爆・裂・破,DP17-JP025,nomal,0
黒・爆・裂・破・魔・導,DP17-JP026,nomal,0
青眼の究極竜,DP17-JP027,Rare,0
青眼の光龍,DP17-JP028,nomal,0
ＹＺ－キャタピラー・ドラゴン,DP17-JP029,Rare,0
龍の鏡,DP17-JP030,Rare,0
竜の霊廟,DP17-JP031,Rare,0
銀龍の轟咆,DP17-JP032,nomal,0
竜魂の城,DP17-JP033,nomal,0
地獄詩人ヘルポエマー,DP17-JP034,nomal,0
メタル・リフレクト・スライム,DP17-JP035,Rare,0
生贄の抱く爆弾,DP17-JP036,nomal,0
現世と冥界の逆転,DP17-JP037,nomal,0
聖獣セルケト,DP17-JP038,nomal,0
王家の神殿,DP17-JP039,nomal,0
ウィジャ盤,DP17-JP040,nomal,0
死のメッセージ「Ｅ」,DP17-JP041,nomal,0
死のメッセージ「Ａ」,DP17-JP042,nomal,0
死のメッセージ「Ｔ」,DP17-JP043,nomal,0
死のメッセージ「Ｈ」,DP17-JP044,nomal,0
サウザンド・アイズ・サクリファイス,DP17-JP045,Super,0
