name,card_id,rare,stock
パワー・ツール・ドラゴン,DP27-JP000,Holographic,0
Ｄ・テレホン,DP27-JP001,Rare,0
Ｄ・スキャナン,DP27-JP002,Rare,0
ガジェット・ゲーマー,DP27-JP003,Super,0
ガジェット・ゲーマー,DP27-JP003,Secret,0
Ｄ・イヤホン,DP27-JP004,Ultra,0
Ｄ・イヤホン,DP27-JP004,Secret,0
パワー・ツール・ブレイバー・ドラゴン,DP27-JP005,Ultra,0
パワー・ツール・ブレイバー・ドラゴン,DP27-JP005,Secret,0
Ｄ・コンバートユニット,DP27-JP006,Super,0
Ｄ・コンバートユニット,DP27-JP006,Secret,0
命の奇跡,DP27-JP007,Rare,0
Ｄ・モバホン,DP27-JP008,nomal,0
Ｄ・スマホン,DP27-JP009,nomal,0
Ｄ・リモコン,DP27-JP010,nomal,0
Ｄ・ボードン,DP27-JP011,nomal,0
ガジェット・トレーラー,DP27-JP012,nomal,0
ガジェット・ドライバー,DP27-JP013,nomal,0
ライフ・ストリーム・ドラゴン,DP27-JP014,nomal,0
機械竜 パワー・ツール,DP27-JP015,nomal,0
ジャンクＢＯＸ,DP27-JP016,nomal,0
Ｄ・リペアユニット,DP27-JP017,nomal,0
ダブルツールＤ＆Ｃ,DP27-JP018,nomal,0
Ｄ・フィールド,DP27-JP019,nomal,0
パワー・ブレイク,DP27-JP020,nomal,0
宿神像ケルドウ,DP27-JP021,Super,0
宿神像ケルドウ,DP27-JP021,Secret,0
剣神官ムドラ,DP27-JP022,Rare,0
古尖兵ケルベク,DP27-JP023,Super,0
古尖兵ケルベク,DP27-JP023,Secret,0
古衛兵アギド,DP27-JP024,Super,0
古衛兵アギド,DP27-JP024,Secret,0
墓守の罠,DP27-JP025,Ultra,0
墓守の罠,DP27-JP025,Secret,0
絶望と希望の逆転,DP27-JP026,Rare,0
運命の抱く爆弾,DP27-JP027,Rare,0
予見者ゾルガ,DP27-JP028,nomal,0
現世と冥界の逆転,DP27-JP029,nomal,0
アマゾネスの金鞭使い,DP27-JP030,Rare,0
アマゾネスの銀剣使い,DP27-JP031,Rare,0
アマゾネスの戦士長,DP27-JP032,Super,0
アマゾネスの戦士長,DP27-JP032,Secret,0
アマゾネス霊術師,DP27-JP033,Super,0
アマゾネス霊術師,DP27-JP033,Secret,0
アマゾネス女帝王,DP27-JP034,Ultra,0
アマゾネス女帝王,DP27-JP034,Secret,0
アマゾネスペット虎獅王,DP27-JP035,Ultra,0
アマゾネスペット虎獅王,DP27-JP035,Secret,0
アマゾネスの秘術,DP27-JP036,Rare,0
アマゾネス女王,DP27-JP037,nomal,0
アマゾネス王女,DP27-JP038,nomal,0
アマゾネスペット虎,DP27-JP039,nomal,0
アマゾネスペット仔虎,DP27-JP040,nomal,0
アマゾネスの斥候,DP27-JP041,nomal,0
アマゾネス女帝,DP27-JP042,nomal,0
アマゾネスペット虎獅子,DP27-JP043,nomal,0
融合,DP27-JP044,nomal,0
アマゾネスの叫声,DP27-JP045,nomal,0
