name,card_id,rare,stock
スターダスト・ドラゴン／バスター,DP09-JP001,Super,0
ロード・シンクロン,DP09-JP002,Rare,0
ターレット・ウォリアー,DP09-JP003,Rare,0
デブリ・ドラゴン,DP09-JP004,nomal,0
ハイパー・シンクロン,DP09-JP005,nomal,0
ロックストーン・ウォリアー,DP09-JP006,Rare,0
レベル・ウォリアー,DP09-JP007,nomal,0
救世竜 セイヴァー・ドラゴン,DP09-JP008,nomal,0
マックス・ウォリアー,DP09-JP009,Rare,0
クイック・シンクロン,DP09-JP010,nomal,0
レベル・スティーラー,DP09-JP011,nomal,0
ゼロ・ガードナー,DP09-JP012,nomal,0
ガントレット・ウォリアー,DP09-JP013,Ultra,0
エキセントリック・ボーイ,DP09-JP014,Super,0
ロード・ウォリアー,DP09-JP015,Rare,0
ジャンク・アーチャー,DP09-JP016,Ultra,0
プリベント・スター,DP09-JP017,nomal,0
ワン・フォー・ワン,DP09-JP018,Rare,0
拘束解放波,DP09-JP019,nomal,0
白銀の翼,DP09-JP020,nomal,0
アドバンスドロー,DP09-JP021,nomal,0
バスター・モード,DP09-JP022,nomal,0
スピリット・フォース,DP09-JP023,nomal,0
ロスト・スター・ディセント,DP09-JP024,nomal,0
奇跡の軌跡,DP09-JP025,nomal,0
スキル・サクセサー,DP09-JP026,Rare,0
トゥルース・リインフォース,DP09-JP027,nomal,0
スリップ・サモン,DP09-JP028,nomal,0
強制終了,DP09-JP029,Super,0
チューナーズ・バリア,DP09-JP030,Super,0
