name,card_id,rare,stock
ジャンク・シンクロン,DP08-JP001,nomal,0
スピード・ウォリアー,DP08-JP002,nomal,0
ワンショット・ブースター,DP08-JP003,nomal,0
ニトロ・シンクロン,DP08-JP004,Rare,0
ボルト・ヘッジホッグ,DP08-JP005,Rare,0
デッド・ガードナー,DP08-JP006,nomal,0
シールド・ウォリアー,DP08-JP007,nomal,0
ヒール・ウェーバー,DP08-JP008,nomal,0
ターボ・シンクロン,DP08-JP009,nomal,0
マッシブ・ウォリアー,DP08-JP010,Super,0
チューニング・サポーター,DP08-JP011,Ultra,0
ジャンク・ウォリアー,DP08-JP012,nomal,0
ニトロ・ウォリアー,DP08-JP013,Rare,0
スターダスト・ドラゴン,DP08-JP014,Super,0
ターボ・ウォリアー,DP08-JP015,Rare,0
アームズ・エイド,DP08-JP016,Ultra,0
ファイティング・スピリッツ,DP08-JP017,nomal,0
ドミノ,DP08-JP018,nomal,0
ジャンク・アタック,DP08-JP019,nomal,0
カード・フリッパー,DP08-JP020,nomal,0
イクイップ・シュート,DP08-JP021,nomal,0
エンジェル・リフト,DP08-JP022,Rare,0
ガード・ブロック,DP08-JP023,Rare,0
悲劇の引き金,DP08-JP024,nomal,0
バトルマニア,DP08-JP025,nomal,0
コンフュージョン・チャフ,DP08-JP026,nomal,0
緊急同調,DP08-JP027,Rare,0
シンクロ・ストライク,DP08-JP028,nomal,0
ギブ＆テイク,DP08-JP029,Super,0
リミッター・ブレイク,DP08-JP030,Super,0
