name,card_id,rare,stock
ゴゴゴゴーレム,DP14-JP001,Normal,0
ゴゴゴゴーレム,DP14-JP001,N-Parallel,0
ゴゴゴジャイアント,DP14-JP002,Rare,0
ゴゴゴゴースト,DP14-JP003,nomal,0
ゴゴゴギガース,DP14-JP004,nomal,0
ゴゴゴゴーレム－ＧＦ,DP14-JP005,Ultra,0
ドドドウォリアー,DP14-JP006,nomal,0
ドドドボット,DP14-JP007,nomal,0
ドドドバスター,DP14-JP008,Normal,0
ドドドバスター,DP14-JP008,N-Parallel,0
ドドドウィッチ,DP14-JP009,Rare,0
ドドドガッサー,DP14-JP010,Ultra,0
トイナイト,DP14-JP011,Rare,0
バク団,DP14-JP012,Normal,0
バク団,DP14-JP012,N-Parallel,0
護封剣の剣士,DP14-JP013,Super,0
トラブル・ダイバー,DP14-JP014,Rare,0
ズババナイト,DP14-JP015,nomal,0
ズバババスター,DP14-JP016,nomal,0
カードカー・Ｄ,DP14-JP017,Super,0
アマリリース,DP14-JP018,nomal,0
Ｎｏ.１７ リバイス・ドラゴン,DP14-JP019,Super,0
交響魔人マエストローク,DP14-JP020,Rare,0
Ｈ－Ｃ エクスカリバー,DP14-JP021,Super,0
ガントレット・シューター,DP14-JP022,nomal,0
エクシーズ・ギフト,DP14-JP023,nomal,0
最強の盾,DP14-JP024,nomal,0
レベル・マイスター,DP14-JP025,Rare,0
ゴゴゴ護符,DP14-JP026,Normal,0
ゴゴゴ護符,DP14-JP026,N-Parallel,0
バトル・ブレイク,DP14-JP027,nomal,0
ピンポイント・ガード,DP14-JP028,nomal,0
ハーフ・アンブレイク,DP14-JP029,Rare,0
魂の一撃,DP14-JP030,Normal,0
魂の一撃,DP14-JP030,N-Parallel,0
