name,card_id,rare,stock
ズババナイト,DP12-JP001,Rare,0
ガンバラナイト,DP12-JP002,nomal,0
ガガガマジシャン,DP12-JP003,Rare,0
ゴゴゴゴーレム,DP12-JP004,nomal,0
アチャチャアーチャー,DP12-JP005,nomal,0
ゴブリンドバーグ,DP12-JP006,Rare,0
針剣士,DP12-JP007,nomal,0
カゲトカゲ,DP12-JP008,nomal,0
コロボックリ,DP12-JP009,nomal,0
マツボックル,DP12-JP010,nomal,0
ドドドウォリアー,DP12-JP011,Super,0
Ｎｏ.３９ 希望皇ホープ,DP12-JP012,Super,0
ベビー・トラゴン,DP12-JP013,Rare,0
Ｎｏ.８３ ギャラクシー・クィーン,DP12-JP014,Rare,0
Ｎｏ.６１ ヴォルカザウルス,DP12-JP015,Ultra,0
Ｎｏ.１９ フリーザードン,DP12-JP016,Ultra,0
破天荒な風,DP12-JP017,Rare,0
ワンダー・ワンド,DP12-JP018,nomal,0
ダブル・アップ・チャンス,DP12-JP019,nomal,0
サンダー・ショート,DP12-JP020,nomal,0
虚栄巨影,DP12-JP021,nomal,0
モンスター・スロット,DP12-JP022,nomal,0
ガガガバック,DP12-JP023,Super,0
油断大敵,DP12-JP024,nomal,0
痛恨の訴え,DP12-JP025,Rare,0
燃える闘志,DP12-JP026,nomal,0
ダメージ・ダイエット,DP12-JP027,nomal,0
コピー・ナイト,DP12-JP028,nomal,0
聖なる鎧 －ミラーメール－,DP12-JP029,nomal,0
ガガガシールド,DP12-JP030,Super,0
