name,card_id,rare,stock
ギゴバイト,309-001,nomal,0
もけもけ,309-002,nomal,0
コザッキー,309-003,N-Rare,0
デビルスコーピオン,309-004,nomal,0
ファラオのしもべ,309-005,nomal,0
王家の守護者,309-006,nomal,0
スピリッツ・オブ・ファラオ,309-007,Ultra,0
スピリッツ・オブ・ファラオ,309-007,Parallel,0
スピリッツ・オブ・ファラオ,309-007,Ultimate,0
ナイトメアテーベ,309-008,Rare,0
アスワンの亡霊,309-009,nomal,0
神殿を守る者,309-010,nomal,0
ヌビアガード,309-011,nomal,0
レガシーハンター,309-012,Super,0
砂バク,309-013,nomal,0
サンド・ギャンブラー,309-014,nomal,0
みつこぶラクーダ,309-015,nomal,0
ジャッカルの霊騎士,309-016,Ultra,0
ジャッカルの霊騎士,309-016,Parallel,0
吸収天児,309-017,nomal,0
恵みの像,309-018,nomal,0
災いの像,309-019,nomal,0
魂を呼ぶ者,309-020,nomal,0
冥界の使者,309-021,Super,0
グレイヴ・キーパー,309-022,nomal,0
ダブルコストン,309-023,Rare,0
再生ミイラ,309-024,nomal,0
深淵の暗殺者,309-025,nomal,0
人投げトロール,309-026,nomal,0
沼地の魔神王,309-027,nomal,0
オアシスの使者,309-028,nomal,0
スペシャルハリケーン,309-029,Rare,0
突撃指令,309-030,nomal,0
魂喰らいの魔刀,309-031,nomal,0
砂塵の結界,309-032,nomal,0
リバースソウル,309-033,nomal,0
魔力倹約術,309-034,Rare,0
ナイルの恵み,309-035,nomal,0
７,309-036,nomal,0
レベル制限Ｂ地区,309-037,nomal,0
魔の試着部屋,309-038,nomal,0
弱肉一色,309-039,nomal,0
黒・魔・導,309-040,Ultra,0
黒・魔・導,309-040,Parallel,0
デルタ・アタッカー,309-041,nomal,0
サウザンドエナジー,309-042,nomal,0
トライアングルパワー,309-043,nomal,0
第三の棺,309-044,nomal,0
第二の棺,309-045,nomal,0
第一の棺,309-046,Super,0
運命のドラ,309-047,nomal,0
砂漠の裁き,309-048,nomal,0
人海戦術,309-049,nomal,0
アヌビスの呪い,309-050,Super,0
砂漠の光,309-051,nomal,0
デスカウンター,309-052,Rare,0
悪夢の迷宮,309-053,nomal,0
蘇りし魂,309-054,Rare,0
玉砕指令,309-055,nomal,0
エンド・オブ・アヌビス,309-056,Secret,0
竜騎士ガイア,309-057,Ultimate,0
