name,card_id,rare,stock
ＥＭスカイ・マジシャン,MACR-JP001,Ultra,0
ＥＭスカイ・マジシャン,MACR-JP001,Ultimate,0
ＥＭスカイ・マジシャン,MACR-JP001,Secret,0
ＥＭスカイ・ピューピル,MACR-JP002,Rare,0
ＥＭレビュー・ダンサー,MACR-JP003,nomal,0
ＥＭユーゴーレム,MACR-JP004,nomal,0
ＥＭ小判竜,MACR-JP005,Rare,0
ＳＲビードロ・ドクロ,MACR-JP006,nomal,0
ＳＲアクマグネ,MACR-JP007,nomal,0
ＳＲ５６プレーン,MACR-JP008,Rare,0
捕食植物オフリス・スコーピオ,MACR-JP009,Rare,0
捕食植物ダーリング・コブラ,MACR-JP010,nomal,0
捕食植物コーディセップス,MACR-JP011,nomal,0
ＬＬ－コバルト・スパロー,MACR-JP012,nomal,0
ＬＬ－サファイア・スワロー,MACR-JP013,nomal,0
ＬＬ－ターコイズ・ワーブラー,MACR-JP014,nomal,0
ＤＤゴースト,MACR-JP015,nomal,0
ダブル・リゾネーター,MACR-JP016,nomal,0
覇王門零,MACR-JP017,Rare,0
覇王門無限,MACR-JP018,Rare,0
覇王眷竜ダークヴルム,MACR-JP019,nomal,0
真竜導士マジェスティＭ,MACR-JP020,nomal,0
真竜戦士イグニスＨ,MACR-JP021,nomal,0
真竜拳士ダイナマイトＫ,MACR-JP022,nomal,0
真竜騎将ドライアスＩＩＩ世,MACR-JP023,nomal,0
真竜剣皇マスターＰ,MACR-JP024,Super,0
真竜剣皇マスターＰ,MACR-JP024,Secret,0
真竜機兵ダースメタトロン,MACR-JP025,Ultra,0
真竜機兵ダースメタトロン,MACR-JP025,Ultimate,0
真竜機兵ダースメタトロン,MACR-JP025,Secret,0
真竜凰マリアムネ,MACR-JP026,Super,0
真竜凰マリアムネ,MACR-JP026,Secret,0
十二獣クックル,MACR-JP027,nomal,0
幻煌龍 スパイラル,MACR-JP028,Rare,0
電子光虫－ＬＥＤバグ,MACR-JP029,nomal,0
智天の神星龍,MACR-JP030,Ultra,0
智天の神星龍,MACR-JP030,Ultimate,0
智天の神星龍,MACR-JP030,Secret,0
