name,card_id,rare,stock
降竜の魔術師,RATE-JP001,Rare,0
ＥＭリターンタンタン,RATE-JP002,nomal,0
ＥＭダグ・ダガーマン,RATE-JP003,nomal,0
ＥＭラフメイカー,RATE-JP004,Rare,0
ＳＲ－ＯＭＫガム,RATE-JP005,nomal,0
ＳＲバンブー・ホース,RATE-JP006,nomal,0
ＷＷ－アイス・ベル,RATE-JP007,nomal,0
ＷＷ－スノウ・ベル,RATE-JP008,nomal,0
パラサイト・フュージョナー,RATE-JP009,Rare,0
サイバー・チュチュボン,RATE-JP010,nomal,0
光波異邦臣,RATE-JP011,nomal,0
花札衛－桜に幕－,RATE-JP012,nomal,0
古代の機械猟犬,RATE-JP013,nomal,0
十二獣モルモラット,RATE-JP014,Rare,0
十二獣ラビーナ,RATE-JP015,nomal,0
十二獣ヴァイパー,RATE-JP016,nomal,0
十二獣サラブレード,RATE-JP017,Super,0
十二獣サラブレード,RATE-JP017,Secret,0
十二獣ラム,RATE-JP018,nomal,0
真竜皇リトスアジムＤ,RATE-JP019,Super,0
真竜皇リトスアジムＤ,RATE-JP019,Secret,0
水晶機巧－リオン,RATE-JP020,Rare,0
水晶機巧－サルファフナー,RATE-JP021,Rare,0
霊魂鳥－忍鴉,RATE-JP022,nomal,0
霊魂鳥－巫鶴,RATE-JP023,nomal,0
霊魂鳥－伝鳩,RATE-JP024,nomal,0
混沌の使者,RATE-JP025,Rare,0
精霊獣使い ウィンダ,RATE-JP026,Rare,0
創星神 ｔｉｅｒｒａ,RATE-JP027,Super,0
創星神 ｔｉｅｒｒａ,RATE-JP027,Secret,0
幻創のミセラサウルス,RATE-JP028,nomal,0
見習い魔笛使い,RATE-JP029,nomal,0
河伯,RATE-JP030,nomal,0
横綱犬,RATE-JP031,nomal,0
百万喰らいのグラットン,RATE-JP032,nomal,0
ワイトプリンセス,RATE-JP033,nomal,0
メトロンノーム,RATE-JP034,N-Rare,0
妖精伝姫－シンデレラ,RATE-JP035,N-Rare,0
サイバー・エンジェル－那沙帝弥－,RATE-JP036,Rare,0
霊魂鳥神－姫孔雀,RATE-JP037,Rare,0
霊魂鳥神－彦孔雀,RATE-JP038,Rare,0
ブレイブアイズ・ペンデュラム・ドラゴン,RATE-JP039,Ultra,0
ブレイブアイズ・ペンデュラム・ドラゴン,RATE-JP039,Ultimate,0
ブレイブアイズ・ペンデュラム・ドラゴン,RATE-JP039,Secret,0
ＷＷ－クリスタル・ベル,RATE-JP040,Rare,0
古代の機械混沌巨人,RATE-JP041,Ultra,0
古代の機械混沌巨人,RATE-JP041,Ultimate,0
古代の機械混沌巨人,RATE-JP041,Secret,0
古代の機械魔神,RATE-JP042,nomal,0
ＷＷ－ウィンター・ベル,RATE-JP043,Rare,0
超重忍者シノビ－Ａ・Ｃ,RATE-JP044,Super,0
超重忍者シノビ－Ａ・Ｃ,RATE-JP044,Secret,0
花札衛－五光－,RATE-JP045,Super,0
花札衛－五光－,RATE-JP045,Secret,0
水晶機巧－グリオンガンド,RATE-JP046,Ultra,0
水晶機巧－グリオンガンド,RATE-JP046,Ultimate,0
水晶機巧－グリオンガンド,RATE-JP046,Secret,0
炎神－不知火,RATE-JP047,Rare,0
覇王烈竜オッドアイズ・レイジング・ドラゴン,RATE-JP048,Ultra,0
覇王烈竜オッドアイズ・レイジング・ドラゴン,RATE-JP048,Ultimate,0
覇王烈竜オッドアイズ・レイジング・ドラゴン,RATE-JP048,Secret,0
覇王烈竜オッドアイズ・レイジング・ドラゴン,RATE-JP048,Holographic,0
超銀河眼の光波龍,RATE-JP049,Ultra,0
超銀河眼の光波龍,RATE-JP049,Ultimate,0
超銀河眼の光波龍,RATE-JP049,Secret,0
重装甲列車アイアン・ヴォルフ,RATE-JP050,Super,0
重装甲列車アイアン・ヴォルフ,RATE-JP050,Secret,0
十二獣ブルホーン,RATE-JP051,Super,0
十二獣ブルホーン,RATE-JP051,Secret,0
十二獣タイグリス,RATE-JP052,nomal,0
十二獣ドランシア,RATE-JP053,Ultra,0
十二獣ドランシア,RATE-JP053,Ultimate,0
十二獣ドランシア,RATE-JP053,Secret,0
十二獣ワイルドボウ,RATE-JP054,Rare,0
機械天使の絶対儀式,RATE-JP055,nomal,0
ＲＵＭ－光波昇華,RATE-JP056,nomal,0
札再生,RATE-JP057,nomal,0
ゾディアックＳ,RATE-JP058,nomal,0
十二獣の会局,RATE-JP059,Rare,0
霊魂の降神,RATE-JP060,nomal,0
霊魂の拠所,RATE-JP061,nomal,0
超戦士の萌芽,RATE-JP062,nomal,0
超量必殺アルファンボール,RATE-JP063,nomal,0
霊獣の誓還,RATE-JP064,nomal,0
おろかな副葬,RATE-JP065,Super,0
おろかな副葬,RATE-JP065,Secret,0
隣の芝刈り,RATE-JP066,Super,0
隣の芝刈り,RATE-JP066,Secret,0
端末世界ＮＥＸＴ,RATE-JP067,N-Rare,0
迷い風,RATE-JP068,nomal,0
光波分光,RATE-JP069,nomal,0
古代の機械蘇生,RATE-JP070,Rare,0
十二獣の方合,RATE-JP071,nomal,0
霊魂の円環,RATE-JP072,nomal,0
天地開闢,RATE-JP073,nomal,0
不知火流 輪廻の陣,RATE-JP074,nomal,0
マジェスペクター・ガスト,RATE-JP075,nomal,0
煉獄の狂宴,RATE-JP076,nomal,0
魂源への影劫回帰,RATE-JP077,nomal,0
影のデッキ破壊ウイルス,RATE-JP078,Super,0
影のデッキ破壊ウイルス,RATE-JP078,Secret,0
スウィッチヒーロー,RATE-JP079,Rare,0
肥大化,RATE-JP080,N-Rare,0
