name,card_id,rare,stock
達人キョンシー,301-001,nomal,0
大くしゃみのカバザウルス,301-002,nomal,0
大木人１８,301-003,nomal,0
ダークジェロイド,301-004,Super,0
ニュードリュア,301-005,Super,0
地獄詩人ヘルポエマー,301-006,Ultra,0
地獄詩人ヘルポエマー,301-006,Parallel,0
墓守の偵察者,301-007,nomal,0
墓守の呪術師,301-008,nomal,0
墓守の番兵,301-009,nomal,0
墓守の長槍兵,301-010,nomal,0
墓守の従者,301-011,nomal,0
墓守の監視者,301-012,Rare,0
墓守の長,301-013,Super,0
墓守の大筒持ち,301-014,nomal,0
墓守の暗殺者,301-015,nomal,0
ウジャト眼を持つ男,301-016,nomal,0
ジャッカルの聖戦士,301-017,Ultra,0
ジャッカルの聖戦士,301-017,Parallel,0
不幸を告げる黒猫,301-018,nomal,0
黄泉へ渡る船,301-019,nomal,0
有翼賢者ファルコス,301-020,Rare,0
幸運を告げるフクロウ,301-021,nomal,0
シャブティのお守り,301-022,nomal,0
スネークポット,301-023,Rare,0
魂を削る死霊,301-024,nomal,0
ナイトメア・ホース,301-025,nomal,0
ナイトメアを駆る死霊,301-026,N-Rare,0
闇の指名者,301-027,Rare,0
ショット・ガン・シャッフル,301-028,nomal,0
名推理,301-029,nomal,0
悪夢の拷問部屋,301-030,Rare,0
タイムカプセル,301-031,nomal,0
王家の眠る谷－ネクロバレー,301-032,Ultra,0
王家の眠る谷－ネクロバレー,301-032,Parallel,0
バスターランチャー,301-033,nomal,0
ヒエログリフの石版,301-034,nomal,0
黒蛇病,301-035,nomal,0
テラ・フォーミング,301-036,nomal,0
勇気の旗印,301-037,nomal,0
突然変異,301-038,nomal,0
王家の生け贄,301-039,nomal,0
大逆転クイズ,301-040,nomal,0
棺桶売り,301-041,Super,0
老化の呪い,301-042,nomal,0
地獄の扉越し銃,301-043,nomal,0
サンダー・ブレイク,301-044,nomal,0
狭き通路,301-045,nomal,0
攪乱作戦,301-046,nomal,0
黒板消しの罠,301-047,Rare,0
降霊の儀式,301-048,nomal,0
絶対不可侵領域,301-049,nomal,0
竜の血族,301-050,nomal,0
溶岩魔神ラヴァ・ゴーレム,301-051,Secret,0
溶岩魔神ラヴァ・ゴーレム,301-051,Ultimate,0
バイサー・ショック,301-052,Secret,0
バイサー・ショック,301-052,Ultimate,0
クイズ,301-053,Secret,0
命の綱,301-054,Secret,0
拷問車輪,301-055,Secret,0
真紅眼の黒竜,301-056,Ultimate,0
