name,card_id,rare,stock
ギガ・ガガギゴ,307-001,nomal,0
暗黒の狂犬,307-002,nomal,0
ネオバグ,307-003,nomal,0
暗黒の海竜兵,307-004,nomal,0
ジェノサイドキングサーモン,307-005,nomal,0
火炎木人１８,307-006,nomal,0
燃える藻,307-007,nomal,0
火口に潜む者,307-008,nomal,0
灼熱ゾンビ,307-009,nomal,0
混沌の黒魔術師,307-010,Ultra,0
混沌の黒魔術師,307-010,Parallel,0
混沌の黒魔術師,307-010,Ultimate,0
幻影のゴラ亀,307-011,nomal,0
暗黒のマンティコア,307-012,Rare,0
ステルスバード,307-013,nomal,0
聖鳥クレイン,307-014,nomal,0
激昂のミノタウルス,307-015,nomal,0
首領亀,307-016,nomal,0
バルーン・リザード,307-017,nomal,0
暗黒ドリケラトプス,307-018,nomal,0
ハイパーハンマーヘッド,307-019,nomal,0
暗黒恐獣,307-020,Ultra,0
暗黒恐獣,307-020,Parallel,0
対空放花,307-021,nomal,0
棘の妖精,307-022,nomal,0
代打バッター,307-023,nomal,0
髑髏顔 天道虫,307-024,nomal,0
インセクト・プリンセス,307-025,Ultra,0
インセクト・プリンセス,307-025,Parallel,0
水陸両用バグロス Ｍｋ－３,307-026,nomal,0
魚雷魚,307-027,nomal,0
海竜－ダイダロス,307-028,Super,0
暗黒大要塞鯱,307-029,Rare,0
砲弾ヤリ貝,307-030,nomal,0
不意打ち又佐,307-031,nomal,0
守護天使 ジャンヌ,307-032,Super,0
マンジュ・ゴッド,307-033,nomal,0
月風魔,307-034,N-Rare,0
龍骨鬼,307-035,nomal,0
グリフォンの羽根帚,307-036,nomal,0
迷える仔羊,307-037,Rare,0
地砕き,307-038,nomal,0
次元融合,307-039,Super,0
光と闇の洗礼,307-040,Super,0
サルベージ,307-041,nomal,0
超進化薬,307-042,nomal,0
アリの増殖,307-043,nomal,0
大地讃頌,307-044,nomal,0
翡翠の蟲笛,307-045,nomal,0
破壊指輪,307-046,nomal,0
悪魔の手鏡,307-047,nomal,0
強制脱出装置,307-048,nomal,0
ヒーロー見参,307-049,nomal,0
自爆スイッチ,307-050,nomal,0
暗黒の呪縛,307-051,Rare,0
門前払い,307-052,nomal,0
ＤＮＡ移植手術,307-053,nomal,0
追い剥ぎゾンビ,307-054,Rare,0
トラップ・ジャマー,307-055,Rare,0
暗黒の侵略者,307-056,Secret,0
封印されしエクゾディア,307-057,Ultimate,0
