name,card_id,rare,stock
おジャマ・イエロー,306-001,nomal,0
おジャマ・ブラック,306-002,nomal,0
魂虎,306-003,nomal,0
ビッグ・コアラ,306-004,nomal,0
デス・カンガルー,306-005,nomal,0
赤い忍者,306-006,nomal,0
速攻の黒い忍者,306-007,Ultra,0
速攻の黒い忍者,306-007,Parallel,0
爆風トカゲ,306-008,nomal,0
強欲な壺の精霊,306-009,nomal,0
凶悪犯－チョップマン,306-010,nomal,0
大盤振舞侍,306-011,N-Rare,0
異次元の偵察機,306-012,Rare,0
怒れる類人猿,306-013,nomal,0
放浪の勇者 フリード,306-014,Super,0
鬼ゴブリン,306-015,nomal,0
混沌の呪術師,306-016,nomal,0
カオス・ネクロマンサー,306-017,nomal,0
カオスライダー グスタフ,306-018,Super,0
インフェルノ,306-019,nomal,0
フェンリル,306-020,nomal,0
ギガンテス,306-021,nomal,0
シルフィード,306-022,nomal,0
カオス・ソーサラー,306-023,nomal,0
紅蓮魔獣 ダ・イーザ,306-024,nomal,0
カオス・ソルジャー －開闢の使者－,306-025,Ultra,0
カオス・ソルジャー －開闢の使者－,306-025,Parallel,0
カオス・ソルジャー －開闢の使者－,306-025,Ultimate,0
ドリラゴ,306-026,Rare,0
レクンガ,306-027,Rare,0
ロードポイズン,306-028,nomal,0
ボーガニアン,306-029,nomal,0
グラナドラ,306-030,nomal,0
風魔手裏剣,306-031,Rare,0
凡骨の意地,306-032,nomal,0
野性解放,306-033,Rare,0
おジャマ・デルタハリケーン！！,306-034,nomal,0
つまずき,306-035,nomal,0
カオス・エンド,306-036,nomal,0
カオス・シールド,306-037,nomal,0
カオス・グリード,306-038,nomal,0
異次元の指名者,306-039,Super,0
異次元の境界線,306-040,nomal,0
リサイクル,306-041,nomal,0
原初の種,306-042,nomal,0
サンダー・クラッシュ,306-043,nomal,0
次元の歪み,306-044,nomal,0
リロード,306-045,nomal,0
魂吸収,306-046,nomal,0
大火葬,306-047,Super,0
残骸爆破,306-048,nomal,0
封魔の呪印,306-049,nomal,0
バベル・タワー,306-050,nomal,0
宇宙の収縮,306-051,nomal,0
連鎖除外,306-052,Rare,0
重力解除,306-053,nomal,0
邪悪なるバリア －ダーク・フォース－,306-054,Ultra,0
邪悪なるバリア －ダーク・フォース－,306-054,Parallel,0
エナジー・ドレイン,306-055,nomal,0
混沌帝龍 －終焉の使者－,306-056,Secret,0
マジシャン・オブ・ブラックカオス,306-057,Ultimate,0
