name,card_id,rare,stock
時の魔術師,ME-00,Secret,0
ベビードラゴン,ME-01,nomal,0
暗黒の竜王,ME-02,nomal,0
バーバリアン２号,ME-03,nomal,0
牛魔人,ME-04,nomal,0
闇・道化師のサギー,ME-05,nomal,0
壺魔人,ME-06,nomal,0
幻想師・ノー・フェイス,ME-07,nomal,0
クリッター,ME-08,Rare,0
グレート・モス,ME-09,Super,0
クリボー,ME-10,Rare,0
千年竜,ME-11,Ultra,0
海月－ジェリーフィッシュ－,ME-12,nomal,0
闇晦ましの城,ME-13,nomal,0
闇魔界の覇王,ME-14,nomal,0
カタパルト・タートル,ME-15,Rare,0
ケンタウロス,ME-16,nomal,0
ミノケンタウロス,ME-17,nomal,0
マーダーサーカス,ME-18,nomal,0
ゴースト王－パンプキング－,ME-19,nomal,0
ドリーム・ピエロ,ME-20,nomal,0
悪魔の知恵,ME-21,nomal,0
魔天老,ME-22,nomal,0
冥界の番人,ME-23,nomal,0
プリヴェント・ラット,ME-24,nomal,0
アイルの小剣士,ME-25,nomal,0
剣の女王,ME-26,Rare,0
王座の守護者,ME-27,nomal,0
火炎地獄,ME-28,Rare,0
地雷蜘蛛,ME-29,nomal,0
シャドウ・グール,ME-30,Rare,0
迷宮の魔戦車,ME-31,nomal,0
ガーゴイル・パワード,ME-32,nomal,0
デビル・ボックス,ME-33,nomal,0
魔導騎士ギルティア,ME-34,nomal,0
ＴＭ－１ランチャースパイダー,ME-35,nomal,0
ギガテック・ウルフ,ME-36,nomal,0
サンダー・ドラゴン,ME-37,nomal,0
レインボー・フィッシュ,ME-38,nomal,0
雷仙人,ME-39,nomal,0
裁きの鷹,ME-40,nomal,0
空の昆虫兵,ME-41,nomal,0
スーパースター,ME-42,nomal,0
音楽家の帝王,ME-43,nomal,0
ヤドカリュー,ME-44,nomal,0
メカ・ザウルス,ME-45,nomal,0
キャノン・ソルジャー,ME-46,Rare,0
ムカムカ,ME-47,Rare,0
悪魔の調理師,ME-48,nomal,0
スター・ボーイ,ME-49,nomal,0
ミリス・レディエント,ME-50,nomal,0
フレイム・ケルベロス,ME-51,nomal,0
コケ,ME-52,nomal,0
ダーク・エルフ,ME-53,nomal,0
マタンゴ,ME-54,nomal,0
バーバリアン１号,ME-55,nomal,0
黒き森のウィッチ,ME-56,Rare,0
リトル・キメラ,ME-57,nomal,0
ブレードフライ,ME-58,nomal,0
ハイ・プリーステス,ME-59,nomal,0
双頭の雷龍,ME-60,Super,0
見習い魔女,ME-61,nomal,0
冠を戴く蒼き翼,ME-62,nomal,0
スカルビショップ,ME-63,nomal,0
ガーネシア・エレファンティス,ME-64,Ultra,0
リボルバー・ドラゴン,ME-65,Ultra,0
神の宣告,ME-66,Super,0
マジック・ジャマー,ME-67,Super,0
盗賊の七つ道具,ME-68,Super,0
昇天の角笛,ME-69,Super,0
右手に盾を左手に剣を,ME-70,Super,0
執念の剣,ME-71,nomal,0
『攻撃』封じ,ME-72,nomal,0
薄幸の美少女,ME-73,Rare,0
追い剥ぎゴブリン,ME-74,Rare,0
細菌感染,ME-75,nomal,0
しびれ薬,ME-76,nomal,0
聖なるバリア －ミラーフォース－,ME-77,Ultra,0
磁力の指輪,ME-78,nomal,0
痛み分け,ME-79,nomal,0
ドーピング,ME-80,nomal,0
大嵐,ME-81,nomal,0
グリフォンの翼,ME-82,nomal,0
幻獣王ガゼル,ME-83,Secret,0
