name,card_id,rare,stock
ガガギゴ,305-001,nomal,0
異次元トレーナー,305-002,nomal,0
おジャマ・グリーン,305-003,nomal,0
デーモン・ソルジャー,305-004,nomal,0
地獄の番熊,305-005,nomal,0
言語道断侍,305-006,nomal,0
黒蠍－強力のゴーグ,305-007,nomal,0
黒蠍－棘のミーネ,305-008,nomal,0
迷犬マロン,305-009,N-Rare,0
偉大魔獣 ガーゼット,305-010,nomal,0
名工 虎鉄,305-011,nomal,0
強欲ゴブリン,305-012,nomal,0
地獄将軍・メフィスト,305-013,Rare,0
ヘルポーンデーモン,305-014,nomal,0
シャドウナイトデーモン,305-015,nomal,0
ダークビショップデーモン,305-016,Super,0
デスルークデーモン,305-017,nomal,0
インフェルノクインデーモン,305-018,Rare,0
ジェノサイドキングデーモン,305-019,Ultra,0
ジェノサイドキングデーモン,305-019,Parallel,0
ジェノサイドキングデーモン,305-019,Ultimate,0
迅雷の魔王－スカル・デーモン,305-020,Ultra,0
迅雷の魔王－スカル・デーモン,305-020,Parallel,0
メタル化寄生生物－ルナタイト,305-021,Rare,0
月読命,305-022,Rare,0
ムドラ,305-023,Super,0
ケルドウ,305-024,nomal,0
ケルベク,305-025,nomal,0
ゾルガ,305-026,nomal,0
アギド,305-027,nomal,0
伝説の爆炎使い,305-028,Super,0
闇の支配者－ゾーク,305-029,Ultra,0
闇の支配者－ゾーク,305-029,Parallel,0
魔法再生,305-030,nomal,0
墓穴の道連れ,305-031,nomal,0
灼熱の試練,305-032,nomal,0
奈落との契約,305-033,Rare,0
闇の支配者との契約,305-034,nomal,0
堕落,305-035,nomal,0
ディスカバード・アタック,305-036,nomal,0
ダグラの剣,305-037,nomal,0
終焉のカウントダウン,305-038,nomal,0
デーモンの宣告,305-039,nomal,0
黒蠍団召集,305-040,nomal,0
万魔殿－悪魔の巣窟－,305-041,nomal,0
生贄の祭壇,305-042,nomal,0
魂の氷結,305-043,nomal,0
血の刻印,305-044,nomal,0
必殺！黒蠍コンビネーション,305-045,Rare,0
デーモンの雄叫び,305-046,nomal,0
リバースダイス,305-047,nomal,0
呪術抹消,305-048,Super,0
炸裂装甲,305-049,nomal,0
希望の光,305-050,nomal,0
生贄の抱く爆弾,305-051,Secret,0
アヌビスの裁き,305-052,Secret,0
暗黒魔族ギルファー・デーモン,305-053,Ultimate,0
