name,card_id,rare,stock
エルフの剣士,LB-00,Secret,0
青眼の白龍,LB-01,Ultra,0
サイクロプス,LB-02,nomal,0
炎の剣士,LB-03,Ultra,0
ワイト,LB-04,nomal,0
ブラック・マジシャン,LB-05,Ultra,0
暗黒騎士ガイア,LB-06,Ultra,0
昆虫人間,LB-07,nomal,0
マンモスの墓場,LB-08,nomal,0
シルバー・フォング,LB-09,nomal,0
ダーク・グレイ,LB-10,nomal,0
地獄の裁判,LB-11,Rare,0
眠り子,LB-12,nomal,0
１３人目の埋葬者,LB-13,Rare,0
炎の騎士 キラー,LB-14,nomal,0
炎を操る者,LB-15,nomal,0
モンスター・エッグ,LB-16,nomal,0
火炎草,LB-17,nomal,0
暗黒火炎龍,LB-18,nomal,0
深淵の冥王,LB-19,Rare,0
ミラージュ,LB-20,nomal,0
フュージョニスト,LB-21,nomal,0
タートル・タイガー,LB-22,Rare,0
プチリュウ,LB-23,nomal,0
プチテンシ,LB-24,nomal,0
スティング,LB-25,nomal,0
アクア・マドール,LB-26,Rare,0
紫炎の影武者,LB-27,nomal,0
フレイム・ゴースト,LB-28,nomal,0
二つの口を持つ闇の支配者,LB-29,nomal,0
マグマン,LB-30,nomal,0
ルート・ウォーター,LB-31,nomal,0
怒りの海王,LB-32,nomal,0
緑樹の霊王,LB-33,nomal,0
北風と太陽,LB-34,nomal,0
キング・スモーク,LB-35,nomal,0
スリーピィ,LB-36,nomal,0
伝説の剣豪 ＭＡＳＡＫＩ,LB-37,nomal,0
ドレイク,LB-38,nomal,0
伝説の剣,LB-39,nomal,0
猛獣の歯,LB-40,nomal,0
紫水晶,LB-41,nomal,0
秘術の書,LB-42,nomal,0
ポセイドンの力,LB-43,nomal,0
ドラゴン族・封印の壺,LB-44,nomal,0
森,LB-45,Rare,0
荒野,LB-46,Rare,0
山,LB-47,Rare,0
草原,LB-48,Rare,0
海,LB-49,Rare,0
闇,LB-50,Rare,0
ブラック・ホール,LB-51,Super,0
サンダー・ボルト,LB-52,Super,0
レッド・ポーション,LB-53,nomal,0
火の粉,LB-54,nomal,0
ファイヤー・ボール,LB-55,nomal,0
地割れ,LB-56,Super,0
落とし穴,LB-57,Super,0
融合,LB-58,Super,0
罠はずし,LB-59,nomal,0
はさみ撃ち,LB-60,nomal,0
